RANK,MOVEMENT,PLAYER_ID,PLAYER,%,GREENS HIT,TOTAL HOLES,RELATIVE TO PAR
171,0,02170,Hal Sutton,76.92,80,104,-0.38
173,0,19958,Miguel Angel Jiménez,76.74,66,86,-0.44
174,0,24937,Jess Daley,76.67,115,150,-0.45
174,0,23903,Stephen Gangluff,76.67,115,150,-0.30
174,0,02257,Brian Watts,76.67,69,90,-0.35
177,0,06332,Neal Lancaster,76.65,128,167,-0.40
177,0,01941,Tom Pernice Jr.,76.65,128,167,-0.43
179,0,19817,Michael Muehr,76.53,75,98,-0.35
179,0,21949,Joe Ogilvie,76.53,75,98,-0.36
181,0,02110,Jerry Smith,76.28,119,156,-0.34
182,0,07223,Brian Bateman,76.25,122,160,-0.49
183,0,19881,Robert Damron,76.05,127,167,-0.54
184,0,01514,Eduardo Herrera,75.21,91,121,-0.31
185,0,01249,John Daly,75.00,66,88,-0.68
185,0,21259,Jason Hill,75.00,78,104,-0.45
187,0,01035,Tommy Armour III,74.83,107,143,-0.37
188,0,08553,Lee Porter,74.64,103,138,-0.33
189,0,10117,Bob Heintz,74.56,85,114,-0.49
190,0,23800,Bryce Molder,74.40,93,125,-0.51
191,0,01313,Steve Elkington,74.19,92,124,-0.43
192,0,06016,Brad Lardon,74.04,77,104,-0.36
193,0,23541,Ben Crane,73.78,121,164,-0.49
194,0,02099,Scott Simpson,73.63,67,91,-0.39
195,0,08535,Gary Nicklaus,73.53,75,102,-0.37
196,0,06036,Scott Dunlap,73.39,91,124,-0.38
197,0,26289,Boo Weekley,73.02,92,126,-0.42
198,0,10213,Dicky Pride,71.72,71,99,-0.37
199,0,06575,Dudley Hart,71.67,86,120,-0.42
200,0,08993,Franklin Langham,71.63,101,141,-0.32
201,0,19972,José Coceres,70.89,56,79,-0.39
202,0,01185,Brandel Chamblee,68.46,89,130,-0.52
