course_id,label,value,detail,secondary_detail
505,Design,William Flynn,,
745,Par,71,,
745,Yardage,"7,319",,
745,Record,254,Dustin Johnson,2020
745,Fairway,Bentgrass/Ryegrass,,
745,Rough,Kentucky Bluegrass,,
745,Green,Bentgrass,,
745,Established,1929,,
745,Design,A.W. Tillinghast,,
642,Par,70,,
642,Yardage,"7,153",,
642,Record,258,Rory McIlroy,2019
642,Fairway,Bentgrass/Poa annua,,
642,Rough,Kentucky Bluegrass,,
642,Green,Bentgrass,,
642,Established,1959,,
642,Design,Dick Wilson,,
724,Par,72,,
724,Yardage,"7,312",,
724,Record,264,Henrik Stenson,2016
775,Par,71,,
775,Yardage,"7,379",,
775,Record,262,Jamie Lovemark,2009
775,Fairway,Perennial Ryegrass/Poa Annua,,
775,Rough,Bluegrass/Ryegrass,,
775,Green,Dominant Plus Bentgrass,,
775,Established,1999,,
775,Design,Robert Trent Jones Jr,,
762,Par,71,,
762,Yardage,"7,353",,
762,Record,254,Dustin Johnson,2020
762,Fairway,Bentgrass,,
762,Rough,Kentucky Bluegrass,,
762,Green,Bentgrass,,
762,Established,2006,,
762,Design,Robert E. Cupp - Tom Kite,,
558,Par,70,,
558,Yardage,"7,163",,
558,Record,263,Xander Schauffele,2024
558,Design, ,,
542,Par,71,,
542,Yardage,"7,030",,
542,Record,264,Henrik Stenson,2016
609,Par,72,,
609,Yardage,"7,202",,
609,Record,263,Dan Halldorson,1986
609,Fairway,Bermudagrass,,
609,Rough,Bermudagrass,,
609,Green,Bermudagrass,,
609,Established,2006,,
609,Design,Jack Nicklaus,,
555,Par,70,,
555,Yardage,"6,996",,
555,Record,268,Rory McIlroy,2011
555,Design, ,,
045,Par,72,,
045,Yardage,"7,516",,
045,Fairway,419 Bermudagrass,,
045,Rough,419 Bermudagrass,,
045,Green,Tifeagle Bermudagrass,,
045,Established,1971,,
045,Design,Joe Lee,,
145,Par,72,,
145,Yardage,"7,011",,
145,Fairway,419 Bermudagrass,,
145,Rough,419 Bermudagrass,,
145,Green,Tifeagle Bermudagrass,,
145,Established,1971,,
145,Design,Joe Lee,,
694,Par,70,,
694,Yardage,"6,966",,
694,Record,258,Rory McIlroy,2019
694,Fairway,Bentgrass/Poa annua,,
694,Rough,Bentgrass/Ryegrass,,
694,Green,Bentgrass/Poa annua,,
694,Design, ,,
539,Par,70,,
539,Yardage,"7,086",,
539,Record,264,Henrik Stenson,2016
651,Par,70,,
651,Yardage,"7,170",,
651,Record,268,Rory McIlroy,2011
