RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL BALL SPEED,TOTAL ATTEMPTS
121,0,53165,Doc Redman,169.27,49425.47,292
122,0,25818,Scott Piercy,169.18,111153.96,657
123,0,31557,Jim Herman,169.15,39243.29,232
124,0,24924,Bill Haas,169.13,25538.96,151
125,0,32254,Xinjun Zhang,169.11,32806.53,194
126,0,25900,Lucas Glover,169.05,51221.05,303
127,0,26329,Louis Oosthuizen,168.99,35488.90,210
128,0,34466,Peter Malnati,168.85,48966.08,290
128,0,46441,Robby Shelton,168.85,48460.42,287
130,0,35506,Mackenzie Hughes,168.62,45191.41,268
130,0,37455,Si Woo Kim,168.62,58175.16,345
130,0,50525,Collin Morikawa,168.62,37264.68,221
133,0,39975,Michael Kim,168.47,35379.27,210
133,0,23788,D.J. Trahan,168.47,32850.92,195
135,0,29479,Scott Brown,168.43,44297.25,263
136,0,47128,Richy Werenski,168.39,61629.47,366
137,0,47993,Denny McCarthy,168.38,52872.27,314
138,0,27214,Kevin Streelman,168.26,54851.84,326
139,0,33399,Adam Hadwin,168.09,50259.46,299
140,0,32448,James Hahn,168.05,44028.44,262
141,0,49298,Kramer Hickok,167.96,43669.61,260
142,0,25686,Jason Dufner,167.72,57863.25,345
143,0,33122,Russell Knox,167.59,60165.86,359
144,0,32640,Troy Merritt,167.54,51266.17,306
145,0,29908,C.T. Pan,167.40,48880.46,292
146,0,33404,Chris Baker,167.32,25934.30,155
147,0,52375,Doug Ghim,167.27,48676.32,291
148,0,27330,Josh Teater,167.23,26589.24,159
149,0,23623,Bo Van Pelt,167.17,33600.34,201
150,0,35532,Tom Hoge,167.12,57988.97,347
151,0,39953,Chase Seiffert,167.08,42103.52,252
152,0,27974,Sung Kang,167.00,48095.46,288
153,0,26499,Rafa Cabrera Bello,166.95,36729.08,220
154,0,34076,Joel Dahmen,166.91,45231.30,271
155,0,29221,Webb Simpson,166.84,31700.14,190
156,0,34098,Russell Henley,166.69,50340.09,302
157,0,25493,Nick Taylor,166.60,57142.95,343
158,0,22056,Cameron Percy,166.59,49309.71,296
159,0,27556,Ted Potter Jr.,166.41,41269.42,248
160,0,35449,Adam Long,166.18,47028.32,283
161,0,33490,Bo Hoag,166.17,53008.41,319
162,0,30926,Chris Kirk,166.11,55148.03,332
163,0,35230,Nelson Ledesma,165.85,26370.35,159
164,0,45526,Abraham Ancer,165.72,54687.01,330
165,0,30110,Kyle Stanley,165.62,51840.26,313
166,0,39324,J.J. Spaun,165.38,36548.63,221
167,0,33120,Mark Anderson,165.28,26610.38,161
168,0,29478,Kevin Kisner,165.21,40807.51,247
168,0,28775,Nate Lashley,165.21,40971.30,248
170,0,24138,Ian Poulter,165.18,37329.63,226
171,0,45609,Tyler Duncan,165.04,50998.76,309
172,0,25396,Kevin Na,165.02,49010.54,297
173,0,34174,John Huh,164.87,35281.76,214
174,0,29535,Brice Garnett,164.76,47779.57,290
175,0,36801,Mark Hubbard,164.58,65010.30,395
176,0,27644,Brian Harman,164.49,66452.69,404
177,0,23621,Rory Sabbatini,164.33,46011.09,280
178,0,46435,Austin Cook,164.16,59262.81,361
179,0,34256,Andrew Putnam,164.02,51502.92,314
180,0,33410,Andrew Landry,163.73,43061.20,263
