RANK,MOVEMENT,PLAYER_ID,PLAYER,%,PAR OR BETTER,MISSED GIR
130,0,20472,Alex Cejka,56.42,268,475
131,0,10885,Robert Allenby,56.37,239,424
132,0,28158,Steve Marino,56.33,267,474
133,0,11123,Chris Couch,56.28,224,398
134,0,24663,Y.E. Yang,56.18,241,429
135,0,20850,Daniel Chopra,56.16,287,511
135,0,22046,Geoff Ogilvy,56.16,196,349
137,0,26695,Michael Letzig,56.08,272,485
138,0,26679,Kevin Stadler,56.00,252,450
139,0,30925,Dustin Johnson,55.81,264,473
140,0,27120,Troy Matteson,55.79,241,432
141,0,08537,J.P. Hayes,55.77,256,459
141,0,01724,Jeff Maggert,55.77,227,407
143,0,20663,Brenden Pappas,55.61,208,374
144,0,23320,Ryan Palmer,55.56,290,522
145,0,23638,Brendon de Jonge,55.52,317,571
146,0,27095,Nick Watney,55.51,267,481
147,0,01766,Billy Mayfair,55.50,212,382
147,0,25804,Bubba Watson,55.50,242,436
149,0,24490,George McNeill,55.49,268,483
150,0,08375,Paul Stankowski,55.48,157,283
151,0,30946,Alex Prugh,55.35,269,486
152,0,20436,Garrett Willis,55.32,234,423
153,0,20848,Ángel Cabrera,55.15,214,388
154,0,07457,Steve Flesch,55.04,273,496
155,0,06643,Paul Goydos,55.02,263,478
156,0,32640,Troy Merritt,54.98,287,522
157,0,23788,D.J. Trahan,54.83,261,476
158,0,27613,David Lutterus,54.81,222,405
159,0,25818,Scott Piercy,54.79,280,511
160,0,23349,Charles Warren,54.58,161,295
161,0,21209,Sergio Garcia,54.57,173,317
162,0,24227,Justin Bolli,54.52,169,310
163,0,31560,Brian Stuard,54.45,257,472
164,0,29285,Brent Delahoussaye,54.43,166,305
165,0,01706,Davis Love III,54.37,230,423
166,0,23307,Roger Tambellini,54.26,204,376
167,0,20574,Mathew Goggin,54.21,251,463
168,0,23613,Rich Barcelo,54.20,239,441
169,0,25900,Lucas Glover,54.15,235,434
170,0,28087,Kris Blanks,54.06,233,431
171,0,24502,Adam Scott,54.03,201,372
172,0,28500,Martin Flores,54.00,243,450
173,0,26392,Chris Wilson,53.85,210,390
174,0,01249,John Daly,53.53,182,340
175,0,27302,Garth Mulroy,53.41,141,264
176,0,22122,Andrew McLardy,53.40,157,294
177,0,06012,Greg Kraft,53.37,174,326
178,0,33419,Cameron Tringale,53.23,140,263
179,0,20691,Greg Owen,52.73,203,385
180,0,21959,Ted Purdy,52.44,279,532
181,0,09011,David Duval,52.26,220,421
182,0,24358,Robert Garrigus,51.98,197,379
183,0,25892,Steve Wheatcroft,51.84,225,434
184,0,06514,Kevin Johnson,51.32,194,378
185,0,01161,Mark Calcavecchia,50.96,133,261
186,0,32617,Jerod Turner,50.88,173,340
187,0,12755,Vance Veazey,50.72,177,349
188,0,01707,Steve Lowery,50.38,197,391
189,0,20105,Jeff Gove,50.36,140,278
190,0,22946,Henrik Bjornstad,49.59,182,367
191,0,28780,Nicholas Thompson,49.38,240,486
192,0,01329,Brad Faxon,47.49,189,398
