"year","tournament_id","tournament_name"
"2014","R2014003","Waste Management Phoenix Open"
"2014","R2014004","Farmers Insurance Open"
"2014","R2014002","Humana Challenge in partnership with the Clinton Foundation"
"2014","R2014006","Sony Open in Hawaii"
"2014","R2014016","Hyundai Tournament of Champions"
"2014","R2014457","OHL Classic at Mayakoba"
"2014","R2014493","The McGladrey Classic"
"2014","R2014489","World Golf Championships-HSBC Champions"
"2014","R2014494","CIMB Classic"
"2014","R2014047","Shriners Hospitals for Children Open"
"2014","R2014464","Frys.com Open"
"2013","R2013060","TOUR Championship by Coca-Cola"
"2013","R2013028","BMW Championship"
"2013","R2013505","Deutsche Bank Championship"
"2013","R2013027","The Barclays"
"2013","R2013013","Wyndham Championship"
"2013","R2013033","PGA Championship"
"2013","R2013476","World Golf Championships-Bridgestone Invitational"
"2013","R2013032","RBC Canadian Open"
"2013","R2013100","The Open Championship"
"2013","R2013054","Sanderson Farms Championship"
"2013","R2013030","John Deere Classic"
"2013","R2013490","The Greenbrier Classic"
"2013","R2013471","AT&T National"
"2013","R2013034","Travelers Championship"
"2013","R2013026","U.S. Open"
"2013","R2013025","FedEx St. Jude Classic"
"2013","R2013023","the Memorial Tournament presented by Nationwide Insurance"
"2013","R2013021","Crowne Plaza Invitational at Colonial"
"2013","R2013019","HP Byron Nelson Championship"
"2013","R2013011","THE PLAYERS Championship"
"2013","R2013480","Wells Fargo Championship"
"2013","R2013018","Zurich Classic of New Orleans"
"2013","R2013012","RBC Heritage"
"2013","R2013014","Masters Tournament"
"2013","R2013041","Valero Texas Open"
"2013","R2013020","Shell Houston Open"
"2013","R2013009","Arnold Palmer Invitational presented by MasterCard"
"2013","R2013475","Tampa Bay Championship presented by EverBank"
"2013","R2013483","Puerto Rico Open presented by seepuertorico.com"
"2013","R2013473","World Golf Championships-Cadillac Championship"
"2013","R2013010","The Honda Classic"
"2013","R2013007","Northern Trust Open"
"2013","R2013005","AT&T Pebble Beach National Pro-Am"
"2013","R2013003","Waste Management Phoenix Open"
"2013","R2013004","Farmers Insurance Open"
"2013","R2013002","Humana Challenge in partnership with the Clinton Foundation"
"2013","R2013006","Sony Open in Hawaii"
"2013","R2013016","Hyundai Tournament of Champions"
"2012","R2012045","Children's Miracle Network Hospitals Classic"
"2012","R2012493","The McGladrey Classic"
"2012","R2012464","Frys.com Open"
"2012","R2012047","Justin Timberlake Shriners Hospitals for Children Open"
