RANK,MOVEMENT,PLAYER_ID,PLAYER,NUMBER OF HOLES
94,0,02256,Tom Watson,3
94,0,02257,Brian Watts,3
94,0,02267,D.A. Weibring,3
94,0,07753,Kevin Wentworth,3
94,0,23322,Brett Wetterich,3
94,0,21129,Chris Wollmann,3
94,0,20944,Tsuyoshi Yoneyama,3
94,0,08681,Manny Zerman,3
94,0,02322,Richard Zokol,3
249,0,01006,John Adams,2
249,0,06197,Michael Allen,2
249,0,01051,Seve Ballesteros,2
249,0,24846,Ricky Barnes,2
249,0,01060,Dave Barr,2
249,0,12661,Todd Barranger,2
249,0,01078,Jim Benepe,2
249,0,07003,David Berganio Jr.,2
249,0,22858,Rich Bin,2
249,0,10944,Thomas Bjørn,2
249,0,06214,Guy Boros,2
249,0,06721,Bob Borowicz,2
249,0,20764,Desvonde Botes,2
249,0,01118,Gordon Brand Jr.,2
249,0,01156,Curt Byrum,2
249,0,07143,Chris Campbell,2
249,0,07569,Mark Carnevale,2
249,0,20828,José Manuel Carriles,2
249,0,12387,Michael Christie,2
249,0,01196,Brian Claar,2
249,0,01197,Bobby Clampett,2
249,0,19825,Darren Clarke,2
249,0,24494,Erik Compton,2
249,0,10195,Tim Conley,2
249,0,08659,James Contreras,2
249,0,01235,Ben Crenshaw,2
249,0,22621,Ben Curtis,2
249,0,06034,Marco Dawson,2
249,0,01284,Mike Donald,2
249,0,07529,Tim Dunlavey,2
249,0,24512,Simon Dyson,2
249,0,01302,R.W. Eaks,2
249,0,20590,Paul Eales,2
249,0,23225,Paul Earnest,2
249,0,01313,Steve Elkington,2
249,0,20823,Gary Emerson,2
249,0,20721,Darren Fichardt,2
249,0,01346,Ed Fiori,2
249,0,01355,Raymond Floyd,2
249,0,01361,Dan Forsman,2
249,0,11048,Angel Franco,2
249,0,01370,Will Frantz,2
249,0,06795,Jeff Freeman,2
249,0,25047,Kent Fukushima,2
249,0,20763,Pierre Fulke,2
249,0,06270,Bobby Gage,2
249,0,06064,Jeff Gallagher,2
249,0,23903,Stephen Gangluff,2
249,0,01414,Bob Gilder,2
249,0,25052,Derek Gillespie,2
249,0,20157,Retief Goosen,2
249,0,23338,David Gossett,2
249,0,21806,Paul Gow,2
249,0,01468,Gary Hallberg,2
249,0,01469,Dan Halldorson,2
249,0,01495,Morris Hatalsky,2
249,0,01499,Mark Hayes,2
249,0,08337,Mike Heinen,2
249,0,12716,Charley Hoffman,2
249,0,01549,Mike Hulbert,2
249,0,22034,Yasuharu Imano,2
249,0,01560,David Ishii,2
249,0,10821,Toshi Izawa,2
249,0,01593,Philip Jonas,2
249,0,01604,Steve Jurgensen,2
249,0,19970,Robert Karlsson,2
249,0,06320,Tony Kelley,2
249,0,23689,Korky Kemp,2
249,0,01624,Darrell Kestner,2
249,0,01633,Tom Kite,2
249,0,10881,Brian Kontak,2
249,0,01666,Bernhard Langer,2
249,0,19904,Paul Lawrie,2
249,0,10565,Ian Leggatt,2
249,0,24940,Edward Loar,2
249,0,24781,Hunter Mahan,2
249,0,22372,Paul Marantz,2
249,0,20060,Bradley Martin,2
249,0,20128,John Mason,2
249,0,23590,Joey Maxon,2
249,0,01783,Mark McCumber,2
249,0,24490,George McNeill,2
249,0,01796,Mark McNulty,2
249,0,25031,Andy Miller,2
249,0,23800,Bryce Molder,2
249,0,20650,Jarrod Moseley,2
249,0,01869,Jack Nicklaus,2
249,0,21185,Takao Nogami,2
249,0,21593,Keith Nolan,2
249,0,01876,Greg Norman,2
249,0,01883,Christy O'Connor,2
249,0,22348,Nick O'Hern,2
249,0,20691,Greg Owen,2
249,0,20505,Lucas Parsons,2
249,0,01958,Dan Pohl,2
249,0,01960,Don Pooley,2
249,0,08553,Lee Porter,2
249,0,01964,Greg Powers,2
249,0,01984,Sam Randolph,2
249,0,20239,Jake Reeves,2
249,0,24849,Clark Renner,2
249,0,01998,Jack Renner,2
249,0,20385,Dean Robertson,2
249,0,02020,Eduardo Romero,2
249,0,02023,Clarence Rose,2
249,0,06731,Jeff Roth,2
249,0,20387,Jarmo Sandelin,2
249,0,02049,Gene Sauers,2
249,0,07775,Jeff Schmid,2
249,0,10217,Warren Schutte,2
249,0,24502,Adam Scott,2
249,0,20820,Patrik Sjöland,2
249,0,24729,Bill Skorheim,2
249,0,20881,Jamie Spence,2
249,0,02135,Mike Standly,2
249,0,02148,Ray Stewart,2
249,0,02155,Stan Stopa,2
249,0,02159,Curtis Strange,2
249,0,18883,Jim Sullivan,2
249,0,02167,Mike Sullivan,2
249,0,20548,Hidemichi Tanaka,2
249,0,12714,Chris Tidland,2
249,0,07393,Chris Toulson,2
249,0,02224,Greg Twiggs,2
249,0,02230,Stan Utley,2
249,0,20812,Tjaart van der Walt,2
249,0,02242,Lanny Wadkins,2
249,0,20396,Lee Westwood,2
249,0,06130,Jeffrey Wilson,2
249,0,22652,Brent Winston,2
249,0,02294,Willie Wood,2
249,0,02298,Jim Woodward,2
249,0,02300,Ian Woosnam,2
249,0,24509,Wei-tze Yeh,2
249,0,22746,Steven Young,2
249,0,02321,Fuzzy Zoeller,2
385,0,01001,Tommy Aaron,1
385,0,01003,Bob Ackerman,1
385,0,20051,Joe Acosta Jr.,1
385,0,20607,Paul Affleck,1
385,0,24734,Lionel Alexandre,1
385,0,20771,Steven Alker,1
385,0,24845,Colin Amaral,1
385,0,01021,Chris Anderson,1
385,0,01039,Perry Arthur,1
385,0,24450,Greg Avant,1
