"course_id","facility_name","course_name","city","state","course_details_path"
"2793","Las Positas GC","Las Positas GC","Livermore","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2793"
"33897","Las Positas GC","Las Positas GC - Links 9","Livermore","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=33897"
"2746","Lemoore GC","Lemoore GC","Lemoore","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2746"
"17971","Likely Links","Likely Links - Likely Place Golf & RV Resort","Likely","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=17971"
"2762","Lincoln Hills GC","Lincoln Hills GC - Hills","Lincoln","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2762"
"2749","Lincoln Hills GC","Lincoln Hills GC - Orchard","Lincoln","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2749"
"2668","Lincoln Park GC","Lincoln Park GC","San Francisco","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2668"
"2723","Little River Inn GC","Little River Inn GC","Little River","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2723"
"2506","Lomas Santa Fe Country Club","Lomas Santa Fe Country Club","Solana Beach","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2506"
"5678","Lomas Santa Fe Executive Golf Course","Lomas Santa Fe Executive Golf Course","Solana Beach","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=5678"
"14279","Lone Tree GC","Lone Tree GC","Antioch","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=14279"
"14233","Los Altos GCC","Los Altos GCC","Los Altos","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=14233"
"3653","Los Amigos Golf Course","Los Amigos Golf Course","Downey","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=3653"
"2383","Los Coyotes Country Club","Los Coyotes Country Club - Lake/Valley","Buena Park","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2383"
"2381","Los Coyotes Country Club","Los Coyotes Country Club - Valley/Vista","Buena Park","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2381"
"2382","Los Coyotes Country Club","Los Coyotes Country Club - Vista/Lake","Buena Park","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2382"
"24006","Los Feliz 3-Par Golf Course","Los Feliz 3-Par Golf Course","Los Angeles","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=24006"
"2662","Los Lagos GC","Los Lagos GC","San Jose","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2662"
"3650","Los Robles Greens Golf Course","Los Robles Greens Golf Course","Thousand Oaks","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=3650"
"14479","Los Serranos Golf Club","Los Serranos Golf Club - NORTH","Chino Hills","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=14479"
"2159","Los Serranos Golf Club","Los Serranos Golf Club - SOUTH","Chino Hills","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2159"
"3597","Los Verdes Golf Course","Los Verdes Golf Course","Rancho Palos Verdes","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=3597"
"26592","Mace Meadows GC","Mace Meadows GC - Mace Meadow","Pioneer","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=26592"
"7767","Madera GCC","Madera GCC","Madera","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=7767"
"13977","Madera Municipal GC","Madera Municipal GC","Madera","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=13977"
"3952","Maderas Golf Club","Maderas Golf Club","Poway","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=3952"
"18057","Maggie Hathaway Golf Course","Maggie Hathaway Golf Course","Los Angeles","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=18057"
"2721","Manteca Park GC","Manteca Park GC","Manteca","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2721"
"2484","Marbella Country Club","Marbella Country Club","San Juan Capistrano","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2484"
"7789","Marin CC","Marin CC","Novato","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=7789"
"5658","Marine Memorial Golf Course Barstow","Marine Memorial Golf Course Barstow","Barstow","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=5658"
"3935","Marine Memorial Golf Course Camp Pendleton","Marine Memorial Golf Course Camp Pendleton","Camp Pendleton","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=3935"
"14230","Mariners Point","Mariners Point","Foster City","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=14230"
"2483","Marrakesh Country Club","Marrakesh Country Club","Palm Desert","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2483"
"2587","Marriott's Shadow Ridge Golf Club","Marriott's Shadow Ridge Golf Club","Palm Desert","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2587"
"2182","Marshall Canyon Golf Course","Marshall Canyon Golf Course","La Verne","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2182"
"7742","Martis Camp","Martis Camp","Truckee","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=7742"
"2819","Mather GC","Mather GC","Mather","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=2819"
"7810","Mayacama GC","Mayacama GC","Santa Rosa","CA","https://ncrdb.usga.org/courseTeeInfo?CourseID=7810"
