RANK,MOVEMENT,PLAYER_ID,PLAYER,%,ATTEMPTS,NON-ATTEMPTS,RTP-GOING FOR THE GREEN,RTP-NOT GOING FOR THE GRN
34,0,34046,Jordan Spieth,60.85,157,101,-92,-8
35,0,46601,Trey Mullinax,60.64,151,98,-87,+8
36,0,24781,Hunter Mahan,60.59,123,80,-67,+1
37,0,46732,Rick Lamb,59.84,76,51,-35,-7
38,0,29720,Andres Gonzales,59.30,118,81,-70,+4
39,0,30110,Kyle Stanley,59.27,195,134,-114,-20
40,0,40009,Dominic Bozzelli,59.07,114,79,-47,-13
41,0,35300,Andrew Loupe,58.93,99,69,-56,+20
41,0,23621,Rory Sabbatini,58.93,99,69,-53,-8
43,0,25364,Paul Casey,58.87,156,109,-78,-11
44,0,24502,Adam Scott,58.86,93,65,-41,-8
45,0,48822,Sebastián Muñoz,58.70,81,57,-39,+4
46,0,34021,Bud Cauley,58.42,177,126,-93,-5
47,0,40026,Daniel Berger,58.40,153,109,-78,-15
48,0,33141,Keegan Bradley,58.38,202,144,-94,+6
49,0,32102,Rickie Fowler,58.23,138,99,-83,-19
50,0,29926,Danny Lee,57.79,152,111,-66,+5
51,0,28252,Seamus Power,57.63,136,100,-76,-17
