YEAR,MOVEMENT,PLAYER_ID,PLAYER,%,# OF SAVES,# OF BUNKERS
2022,0,36884,Ben Kohles,42.86,18,42
2022,0,33419,Cameron Tringale,42.62,26,61
2022,0,34563,Chesson Hadley,42.55,20,47
2022,0,33486,Roger Sloan,41.86,18,43
2022,0,32816,Satoshi Kodaira,41.67,15,36
2022,0,35310,Lanto Griffin,41.27,26,63
2022,0,47856,Seth Reeves,40.91,18,44
2022,0,25900,Lucas Glover,40.0,24,60
2022,0,34098,Russell Henley,40.0,16,40
2022,0,35617,Martin Trainer,39.47,15,38
2022,0,27770,Camilo Villegas,38.78,19,49
2022,0,49964,Aaron Wise,38.46,25,65
2022,0,40006,Erik van Rooyen,33.33,14,42
2022,0,34255,Joseph Bramlett,32.0,16,50
2022,0,47347,Adam Schenk,32.0,24,75
2022,0,28114,Dawie van der Walt,30.0,9,30
2022,0,37212,Paul Barjon,25.71,18,70
2021,0,35891,Cameron Smith,70.83,51,72
2021,0,27770,Camilo Villegas,70.83,34,48
2021,0,46550,Brandon Hagy,70.37,38,54
2021,0,23108,Matt Kuchar,70.37,38,54
2021,0,51766,Wyndham Clark,68.25,43,63
2021,0,29479,Scott Brown,67.92,36,53
2021,0,34563,Chesson Hadley,67.57,25,37
2021,0,24361,Pat Perez,67.21,41,61
2021,0,24024,Zach Johnson,66.67,36,54
2021,0,27644,Brian Harman,66.23,51,77
2021,0,29221,Webb Simpson,66.1,39,59
2021,0,34360,Patrick Reed,65.79,50,76
2021,0,29725,Tony Finau,65.71,46,70
2021,0,34099,Harris English,65.57,40,61
2021,0,34098,Russell Henley,64.91,37,57
2021,0,29970,Dylan Frittelli,64.58,31,48
2021,0,33419,Cameron Tringale,64.18,43,67
2021,0,20229,Stewart Cink,63.79,37,58
2021,0,30926,Chris Kirk,63.75,51,80
2021,0,24138,Ian Poulter,63.64,28,44
2021,0,29518,Brendan Steele,63.24,43,68
2021,0,26851,Marc Leishman,63.16,36,57
2021,0,35104,Tom Lewis,63.16,36,57
2021,0,32139,Danny Willett,62.96,17,27
2021,0,25396,Kevin Na,62.86,44,70
2021,0,34256,Andrew Putnam,62.5,30,48
2021,0,30927,Brendon Todd,62.5,45,72
2021,0,40026,Daniel Berger,62.12,41,66
2021,0,22405,Justin Rose,62.07,18,29
2021,0,23621,Rory Sabbatini,62.07,36,58
2021,0,34466,Peter Malnati,62.0,31,50
2021,0,48081,Xander Schauffele,62.0,31,50
2021,0,19803,Ryan Armour,61.9,26,42
2021,0,28252,Seamus Power,61.9,13,21
2021,0,33948,Byeong Hun An,61.76,42,68
2021,0,34363,Tyrrell Hatton,61.29,19,31
2021,0,31323,Gary Woodland,61.22,30,49
2021,0,25364,Paul Casey,61.11,22,36
2021,0,35450,Patrick Cantlay,60.98,25,41
2021,0,26499,Rafa Cabrera Bello,60.78,31,51
2021,0,26329,Louis Oosthuizen,60.78,31,51
2021,0,34174,John Huh,60.71,34,56
2021,0,49766,Hank Lebioda,60.47,26,43
2021,0,24357,K.J. Choi,60.42,29,48
2021,0,46970,Jon Rahm,60.34,35,58
2021,0,48822,Sebastián Muñoz,60.29,41,68
2021,0,34431,Robert Streb,60.0,39,65
2021,0,48887,Matt Wallace,60.0,21,35
2021,0,26300,Matt Jones,59.74,46,77
2021,0,27554,Scott Harrington,59.42,41,69
2021,0,24924,Bill Haas,59.38,19,32
2021,0,48119,Ben Taylor,59.26,16,27
2021,0,46402,Talor Gooch,59.09,39,66
2021,0,46441,Robby Shelton,59.04,49,83
2021,0,49298,Kramer Hickok,59.02,36,61
2021,0,25900,Lucas Glover,58.82,40,68
2021,0,37455,Si Woo Kim,58.82,40,68
2021,0,27330,Josh Teater,58.82,10,17
2021,0,39324,J.J. Spaun,58.33,21,36
2021,0,34046,Jordan Spieth,58.18,32,55
2021,0,39975,Michael Kim,58.14,25,43
2021,0,30911,Tommy Fleetwood,57.89,22,38
2021,0,36689,Brooks Koepka,57.89,22,38
2021,0,24140,Sean O'Hair,57.69,15,26
2021,0,28679,Fabián Gómez,57.58,19,33
2021,0,1810,Phil Mickelson,57.53,42,73
2021,0,45526,Abraham Ancer,57.38,35,61
2021,0,25493,Nick Taylor,57.38,35,61
2021,0,35310,Lanto Griffin,57.35,39,68
2021,0,27349,Alex Noren,57.35,39,68
2021,0,49771,J.T. Poston,57.32,47,82
2021,0,52375,Doug Ghim,57.14,28,49
2021,0,36801,Mark Hubbard,57.14,52,91
2021,0,33597,Harry Higgs,56.94,41,72
2021,0,37189,Harold Varner III,56.92,37,65
2021,0,47993,Denny McCarthy,56.9,33,58
2021,0,46442,Maverick McNealy,56.86,29,51
2021,0,53165,Doc Redman,56.86,29,51
2021,0,47959,Bryson DeChambeau,56.6,30,53
2021,0,30110,Kyle Stanley,56.52,39,69
2021,0,33399,Adam Hadwin,56.34,40,71
2021,0,28237,Rory McIlroy,56.34,40,71
2021,0,32448,James Hahn,56.25,27,48
2021,0,47504,Sam Burns,56.0,42,75
2021,0,28089,Jason Day,56.0,28,50
2021,0,45609,Tyler Duncan,55.56,35,63
2021,0,32791,K.H. Lee,55.56,50,90
2021,0,29478,Kevin Kisner,55.38,36,65
2021,0,27942,Rob Oppenheim,55.32,26,47
2021,0,40098,Matt Fitzpatrick,55.17,32,58
2021,0,26331,Charl Schwartzel,55.17,32,58
2021,0,50525,Collin Morikawa,55.0,22,40
2021,0,25632,Jimmy Walker,55.0,33,60
2021,0,32757,Patton Kizzire,54.93,39,71
2021,0,28775,Nate Lashley,54.9,28,51
2021,0,21209,Sergio Garcia,54.84,34,62
2021,0,30925,Dustin Johnson,54.76,23,42
2021,0,29926,Danny Lee,54.55,30,55
2021,0,23325,Vaughn Taylor,54.55,30,55
2021,0,23623,Bo Van Pelt,54.55,24,44
2021,0,35617,Martin Trainer,54.35,25,46
2021,0,27129,Luke List,54.17,39,72
2021,0,46435,Austin Cook,54.1,33,61
2021,0,32254,Xinjun Zhang,54.0,27,50
2021,0,47128,Richy Werenski,53.95,41,76
2021,0,31646,Emiliano Grillo,53.85,28,52
2021,0,21961,Charles Howell III,53.85,21,39
2021,0,32640,Troy Merritt,53.85,42,78
2021,0,33490,Bo Hoag,53.73,36,67
2021,0,25686,Jason Dufner,53.7,29,54
2021,0,33486,Roger Sloan,53.66,22,41
2021,0,12716,Charley Hoffman,53.62,37,69
2021,0,35506,Mackenzie Hughes,53.62,37,69
2021,0,25818,Scott Piercy,53.57,30,56
2021,0,46717,Viktor Hovland,53.33,32,60
2021,0,23983,Luke Donald,53.13,17,32
2021,0,29268,Bronson Burgoon,52.94,27,51
2021,0,47483,Will Zalatoris,52.94,27,51
2021,0,23320,Ryan Palmer,52.78,38,72
2021,0,33120,Mark Anderson,52.63,10,19
2021,0,39977,Max Homa,52.63,30,57
2021,0,27974,Sung Kang,52.63,40,76
2021,0,33448,Justin Thomas,52.63,30,57
2021,0,32333,Kevin Tway,52.63,20,38
2021,0,32070,Rafael Campos,52.5,21,40
2021,0,33204,Shane Lowry,52.5,21,40
2021,0,49964,Aaron Wise,52.5,21,40
2021,0,39997,Corey Conners,52.46,32,61
2021,0,29420,Billy Horschel,52.38,33,63
2021,0,45157,Cam Davis,52.27,46,88
2021,0,47347,Adam Schenk,51.67,31,60
2021,0,29908,C.T. Pan,51.61,32,62
2021,0,45486,Joaquin Niemann,51.32,39,76
2021,0,27936,Martin Laird,51.16,22,43
2021,0,29535,Brice Garnett,51.02,25,49
2021,0,24781,Hunter Mahan,50.98,26,51
2021,0,36871,Matthew NeSmith,50.94,27,53
2021,0,29974,Branden Grace,50.91,28,55
2021,0,26476,Chez Reavie,50.91,28,55
2021,0,27064,Jhonattan Vegas,50.88,29,57
2021,0,40006,Erik van Rooyen,50.85,30,59
2021,0,35461,Beau Hossler,50.82,31,61
2021,0,39971,Sungjae Im,50.55,46,91
2021,0,26758,David Hearn,50.0,13,26
2021,0,31420,Anirban Lahiri,50.0,24,48
2021,0,32150,Michael Thompson,50.0,27,54
2021,0,51894,Vince Whaley,50.0,28,56
2021,0,46046,Scottie Scheffler,49.32,36,73
2021,0,33122,Russell Knox,49.21,31,63
2021,0,19846,Brian Gay,49.02,25,51
2021,0,20396,Lee Westwood,48.94,23,47
2021,0,23788,D.J. Trahan,48.78,20,41
2021,0,32839,Hideki Matsuyama,48.57,34,70
2021,0,30163,Henrik Norlander,48.39,30,62
2021,0,30692,Scott Stallings,48.28,28,58
2021,0,33413,Ben Martin,48.15,13,27
2021,0,35449,Adam Long,47.76,32,67
2021,0,33410,Andrew Landry,47.73,21,44
2021,0,28420,Ryan Brehm,47.62,10,21
2021,0,56762,Will Gordon,47.62,30,63
2021,0,32662,Michael Gligic,47.22,17,36
2021,0,34213,Grayson Murray,47.06,16,34
2021,0,34264,Hudson Swafford,46.94,23,49
2021,0,35532,Tom Hoge,46.91,38,81
2021,0,31560,Brian Stuard,46.91,38,81
2021,0,49960,Sepp Straka,46.75,36,77
2021,0,30944,Jason Kokrak,46.67,21,45
2021,0,31557,Jim Herman,46.34,19,41
2021,0,33667,Carlos Ortiz,46.03,29,63
2021,0,33141,Keegan Bradley,46.0,23,50
2021,0,27214,Kevin Streelman,45.9,28,61
2021,0,48045,Michael Gellerman,45.83,11,24
2021,0,24502,Adam Scott,45.76,27,59
2021,0,40042,Tyler McCumber,45.28,24,53
2021,0,22371,Aaron Baddeley,44.83,13,29
2021,0,22056,Cameron Percy,44.74,17,38
2021,0,27556,Ted Potter Jr.,44.19,19,43
2021,0,27649,Brandt Snedeker,44.12,30,68
2021,0,32102,Rickie Fowler,44.0,22,50
2021,0,56278,Matthew Wolff,43.9,18,41
2021,0,35658,Kris Ventura,43.4,23,53
2021,0,27095,Nick Watney,42.86,15,35
2021,0,27141,J.B. Holmes,42.5,17,40
2021,0,32618,Rhein Gibson,42.31,11,26
2021,0,37275,Sam Ryder,42.0,21,50
2021,0,33404,Chris Baker,41.67,10,24
2021,0,39953,Chase Seiffert,41.3,19,46
2021,0,34314,Sebastian Cappelen,40.82,20,49
2021,0,34076,Joel Dahmen,40.74,22,54
2021,0,52372,Cameron Champ,38.6,22,57
2021,0,39546,Keith Mitchell,38.1,24,63
2021,0,25804,Bubba Watson,38.1,16,42
2021,0,32816,Satoshi Kodaira,37.78,17,45
2021,0,36699,Patrick Rodgers,35.85,19,53
2021,0,35230,Nelson Ledesma,33.33,10,30
2021,0,34255,Joseph Bramlett,31.82,14,44
2020,0,52375,Doug Ghim,75.0,12,16
2020,0,28089,Jason Day,74.47,35,47
2020,1,27963,Chris Stroud,70.73,29,41
2020,2,34021,Bud Cauley,70.18,40,57
2020,-2,30927,Brendon Todd,69.49,41,59
2020,2,46550,Brandon Hagy,69.23,18,26
2020,2,33399,Adam Hadwin,69.09,38,55
2020,2,27942,Rob Oppenheim,68.29,28,41
2020,2,48887,Matt Wallace,67.39,31,46
2020,2,28252,Seamus Power,66.67,10,15
2020,2,27644,Brian Harman,66.15,43,65
2020,2,45157,Cam Davis,65.85,27,41
2020,-6,35891,Cameron Smith,64.91,37,57
2020,2,24361,Pat Perez,64.44,29,45
2020,32,46970,Jon Rahm,64.15,34,53
2020,1,33122,Russell Knox,64.1,25,39
2020,1,29974,Branden Grace,64.0,16,25
2020,3,21209,Sergio Garcia,63.64,21,33
2020,3,26476,Chez Reavie,63.64,35,55
2020,15,40026,Daniel Berger,63.46,33,52
2020,3,49771,J.T. Poston,63.46,33,52
2020,2,35450,Patrick Cantlay,63.41,26,41
2020,-3,35506,Mackenzie Hughes,63.33,38,60
2020,1,32139,Danny Willett,62.86,22,35
2020,10,47959,Bryson DeChambeau,62.75,32,51
2020,0,28679,Fabián Gómez,62.5,20,32
2020,4,25396,Kevin Na,62.5,40,64
2020,0,27649,Brandt Snedeker,62.5,30,48
2020,-10,39971,Sungjae Im,62.34,48,77
2020,-1,33204,Shane Lowry,62.16,23,37
2020,1,26300,Matt Jones,61.64,45,73
2020,1,21407,Arjun Atwal,61.54,8,13
2020,-2,34360,Patrick Reed,61.43,43,70
2020,0,27214,Kevin Streelman,61.11,33,54
2020,3,46442,Maverick McNealy,60.71,34,56
2020,15,48081,Xander Schauffele,60.34,35,58
2020,20,45526,Abraham Ancer,60.0,27,45
2020,3,33448,Justin Thomas,60.0,33,55
2020,0,25900,Lucas Glover,59.62,31,52
2020,0,27349,Alex Noren,59.18,29,49
2020,1,32791,K.H. Lee,59.09,39,66
2020,1,27095,Nick Watney,59.09,13,22
2020,-6,45486,Joaquin Niemann,58.93,33,56
2020,1,53165,Doc Redman,58.93,33,56
2020,0,29268,Bronson Burgoon,58.82,20,34
2020,0,22405,Justin Rose,58.82,20,34
2020,2,29221,Webb Simpson,58.62,17,29
2020,1,23788,D.J. Trahan,58.62,17,29
2020,0,34098,Russell Henley,58.33,21,36
2020,12,35310,Lanto Griffin,57.83,48,83
2020,1,22056,Cameron Percy,57.69,15,26
2020,1,23108,Matt Kuchar,57.5,23,40
2020,1,34046,Jordan Spieth,57.5,23,40
2020,1,31560,Brian Stuard,57.45,27,47
2020,1,40058,Zac Blair,57.38,35,61
2020,14,50525,Collin Morikawa,57.33,43,75
2020,0,22371,Aaron Baddeley,57.14,24,42
2020,0,32618,Rhein Gibson,57.14,12,21
2020,0,21961,Charles Howell III,57.14,24,42
2020,0,31420,Anirban Lahiri,57.14,12,21
2020,2,49960,Sepp Straka,56.9,33,58
2020,2,33120,Mark Anderson,56.82,25,44
2020,2,27129,Luke List,56.82,25,44
2020,2,27554,Scott Harrington,56.72,38,67
2020,2,36699,Patrick Rodgers,56.6,30,53
2020,2,32150,Michael Thompson,56.6,30,53
2020,4,12716,Charley Hoffman,56.25,27,48
2020,4,46402,Talor Gooch,56.16,41,73
2020,4,47128,Richy Werenski,56.1,23,41
2020,16,34363,Tyrrell Hatton,56.0,14,25
2020,13,29725,Tony Finau,55.93,33,59
2020,2,25349,Tim Wilkinson,55.56,15,27
2020,2,34076,Joel Dahmen,55.38,36,65
2020,2,1810,Phil Mickelson,55.36,31,56
2020,2,23621,Rory Sabbatini,55.32,26,47
2020,4,56278,Matthew Wolff,55.17,32,58
2020,19,32839,Hideki Matsuyama,54.93,39,71
2020,3,20229,Stewart Cink,54.9,28,51
2020,3,32102,Rickie Fowler,54.84,17,31
2020,3,24502,Adam Scott,54.84,17,31
2020,3,51766,Wyndham Clark,54.55,30,55
2020,-3,48822,Sebastián Muñoz,54.17,39,72
2020,-5,30925,Dustin Johnson,53.85,21,39
2020,3,24138,Ian Poulter,53.66,22,41
2020,3,36871,Matthew NeSmith,53.49,23,43
2020,3,56762,Will Gordon,53.33,8,15
2020,3,25686,Jason Dufner,53.19,25,47
2020,3,33141,Keegan Bradley,53.03,35,66
2020,3,29484,Peter Uihlein,52.94,9,17
2020,4,30692,Scott Stallings,52.5,21,40
2020,4,10809,Jim Furyk,52.38,22,42
2020,5,40009,Dominic Bozzelli,52.17,12,23
2020,-24,26851,Marc Leishman,52.08,25,48
2020,5,32366,Kevin Chappell,52.0,13,25
2020,5,39324,J.J. Spaun,51.92,27,52
2020,5,33667,Carlos Ortiz,51.85,28,54
2020,5,33948,Byeong Hun An,51.72,30,58
2020,-5,34099,Harris English,51.72,30,58
2020,5,24924,Bill Haas,51.72,15,29
2020,5,49964,Aaron Wise,51.61,16,31
2020,5,34255,Joseph Bramlett,51.52,17,33
2020,5,32662,Michael Gligic,51.52,17,33
2020,6,29970,Dylan Frittelli,51.39,37,72
2020,6,33419,Cameron Tringale,51.28,20,39
2020,6,33410,Andrew Landry,51.11,23,45
2020,-9,29478,Kevin Kisner,51.02,25,49
2020,6,25632,Jimmy Walker,51.02,25,49
2020,5,32254,Xinjun Zhang,50.85,30,59
2020,5,33404,Chris Baker,50.0,13,26
2020,5,29479,Scott Brown,50.0,16,32
2020,5,28307,Matt Every,50.0,21,42
2020,5,30911,Tommy Fleetwood,50.0,11,22
2020,5,39977,Max Homa,50.0,24,48
2020,5,49766,Hank Lebioda,50.0,19,38
2020,5,29926,Danny Lee,50.0,31,62
2020,5,34466,Peter Malnati,50.0,18,36
2020,5,33413,Ben Martin,50.0,10,20
2020,5,32640,Troy Merritt,50.0,22,44
2020,5,35732,Wes Roach,50.0,8,16
2020,5,35617,Martin Trainer,50.0,14,28
2020,5,27064,Jhonattan Vegas,50.0,17,34
2020,6,47993,Denny McCarthy,49.28,34,69
2020,6,37455,Si Woo Kim,49.25,33,67
2020,12,29420,Billy Horschel,49.18,30,61
2020,5,31557,Jim Herman,49.09,27,55
2020,6,40098,Matt Fitzpatrick,48.94,23,47
2020,6,29535,Brice Garnett,48.65,18,37
2020,6,29908,C.T. Pan,48.65,18,37
2020,6,39953,Chase Seiffert,48.57,17,35
2020,1,23320,Ryan Palmer,48.39,30,62
2020,5,30944,Jason Kokrak,48.21,27,56
2020,6,35449,Adam Long,47.89,34,71
2020,6,31646,Emiliano Grillo,47.83,22,46
2020,6,24024,Zach Johnson,47.83,22,46
2020,6,35461,Beau Hossler,47.62,20,42
2020,6,47347,Adam Schenk,47.5,19,40
2020,6,27330,Josh Teater,47.37,9,19
2020,6,29518,Brendan Steele,47.06,24,51
2020,6,25804,Bubba Watson,47.06,24,51
2020,6,31323,Gary Woodland,46.81,22,47
2020,6,34256,Andrew Putnam,46.67,14,30
2020,6,36801,Mark Hubbard,46.58,34,73
2020,6,25364,Paul Casey,46.43,13,28
2020,6,35532,Tom Hoge,46.38,32,69
2020,6,32757,Patton Kizzire,46.34,19,41
2020,6,45609,Tyler Duncan,46.3,25,54
2020,10,46046,Scottie Scheffler,46.27,31,67
2020,5,34563,Chesson Hadley,46.15,18,39
2020,5,36689,Brooks Koepka,46.15,18,39
2020,14,46717,Viktor Hovland,46.03,29,63
2020,4,33597,Harry Higgs,45.83,33,72
2020,4,33486,Roger Sloan,45.71,16,35
2020,16,28237,Rory McIlroy,45.45,20,44
2020,4,33449,Zack Sucher,45.45,10,22
2020,4,28775,Nate Lashley,45.16,14,31
2020,4,48119,Ben Taylor,45.0,9,20
2020,4,34213,Grayson Murray,44.83,13,29
2020,4,23325,Vaughn Taylor,44.83,26,58
2020,4,26499,Rafa Cabrera Bello,44.44,16,36
2020,5,37189,Harold Varner III,44.23,23,52
2020,5,37275,Sam Ryder,44.12,15,34
2020,5,19846,Brian Gay,44.0,22,50
2020,5,34431,Robert Streb,44.0,11,25
2020,6,30163,Henrik Norlander,43.75,21,48
2020,7,52372,Cameron Champ,43.55,27,62
2020,6,35230,Nelson Ledesma,42.86,9,21
2020,6,25572,Graeme McDowell,42.86,15,35
2020,7,19803,Ryan Armour,42.42,14,33
2020,7,32448,James Hahn,42.31,11,26
2020,7,26329,Louis Oosthuizen,41.3,19,46
2020,7,33490,Bo Hoag,40.91,18,44
2020,7,46435,Austin Cook,40.54,15,37
2020,7,26596,Ryan Moore,40.0,10,25
2020,7,27556,Ted Potter Jr.,40.0,12,30
2020,7,30110,Kyle Stanley,40.0,14,35
2020,7,32333,Kevin Tway,40.0,14,35
2020,7,46441,Robby Shelton,39.13,18,46
2020,7,34314,Sebastian Cappelen,38.71,12,31
2020,7,40042,Tyler McCumber,38.24,13,34
2020,7,48045,Michael Gellerman,38.1,8,21
2020,7,39997,Corey Conners,38.0,19,50
2020,7,27974,Sung Kang,37.68,26,69
2020,7,47504,Sam Burns,37.5,18,48
2020,7,27936,Martin Laird,34.78,8,23
2020,7,49298,Kramer Hickok,34.62,9,26
2020,7,39546,Keith Mitchell,33.33,14,42
2020,7,25493,Nick Taylor,33.33,9,27
2020,7,35658,Kris Ventura,31.82,7,22
2020,7,26758,David Hearn,31.58,6,19
2020,8,25818,Scott Piercy,27.91,12,43
2020,8,51894,Vince Whaley,27.27,6,22
2020,8,28420,Ryan Brehm,24.0,6,25
2020,8,23623,Bo Van Pelt,18.18,4,22
2019,0,26758,David Hearn,76.92,20,26
2019,0,25632,Jimmy Walker,74.14,43,58
2019,0,32150,Michael Thompson,69.35,43,62
2019,0,25572,Graeme McDowell,69.23,45,65
2019,0,37189,Harold Varner III,68.85,42,61
2019,0,27644,Brian Harman,67.16,45,67
2019,0,34021,Bud Cauley,67.09,53,79
2019,0,27649,Brandt Snedeker,67.05,59,88
2019,0,24138,Ian Poulter,66.04,35,53
2019,0,30925,Dustin Johnson,65.85,27,41
2019,0,28259,Sangmoon Bae,65.71,23,35
2019,0,29221,Webb Simpson,65.28,47,72
2019,0,37275,Sam Ryder,65.15,43,66
2019,0,23325,Vaughn Taylor,65.0,52,80
2019,0,26329,Louis Oosthuizen,64.81,35,54
2019,0,35891,Cameron Smith,64.81,35,54
2019,0,28089,Jason Day,64.44,29,45
2019,0,39327,Ben Silverman,64.15,34,53
2019,0,24024,Zach Johnson,64.1,25,39
2019,0,25198,Francesco Molinari,64.1,25,39
2019,0,29420,Billy Horschel,64.0,32,50
2019,0,6522,Ernie Els,63.89,23,36
2019,0,22371,Aaron Baddeley,63.64,28,44
2019,0,21209,Sergio Garcia,63.16,24,38
2019,0,36689,Brooks Koepka,63.04,29,46
2019,0,35532,Tom Hoge,62.9,39,62
2019,0,29926,Danny Lee,62.86,44,70
2019,0,23108,Matt Kuchar,62.79,27,43
2019,0,27963,Chris Stroud,62.79,27,43
2019,0,34360,Patrick Reed,62.69,42,67
2019,0,34256,Andrew Putnam,62.5,25,40
2019,0,46402,Talor Gooch,62.22,28,45
2019,0,25900,Lucas Glover,62.03,49,79
2019,0,40026,Daniel Berger,61.82,34,55
2019,0,23621,Rory Sabbatini,61.76,42,68
2019,0,30978,Kiradech Aphibarnrat,61.7,29,47
2019,0,22405,Justin Rose,61.36,27,44
2019,0,27141,J.B. Holmes,61.22,30,49
2019,0,39546,Keith Mitchell,61.19,41,67
2019,0,34363,Tyrrell Hatton,60.98,25,41
2019,0,33122,Russell Knox,60.98,25,41
2019,0,30911,Tommy Fleetwood,60.87,28,46
2019,0,28252,Seamus Power,60.87,28,46
2019,0,32139,Danny Willett,60.71,34,56
2019,0,33948,Byeong Hun An,60.61,40,66
2019,0,21528,Henrik Stenson,60.53,23,38
2019,0,40009,Dominic Bozzelli,60.42,29,48
2019,0,29908,C.T. Pan,60.34,35,58
2019,0,31420,Anirban Lahiri,60.0,36,60
2019,0,32791,K.H. Lee,60.0,36,60
2019,0,45486,Joaquin Niemann,59.76,49,82
2019,0,37455,Si Woo Kim,59.7,40,67
2019,0,24361,Pat Perez,59.46,22,37
2019,0,26851,Marc Leishman,59.42,41,69
2019,0,33667,Carlos Ortiz,59.32,35,59
2019,0,30944,Jason Kokrak,59.26,32,54
2019,0,21961,Charles Howell III,58.82,30,51
2019,0,33486,Roger Sloan,58.73,37,63
2019,0,35450,Patrick Cantlay,58.62,34,58
2019,0,25818,Scott Piercy,58.49,31,53
2019,0,35879,Kelly Kraft,58.33,35,60
2019,0,32102,Rickie Fowler,57.53,42,73
2019,0,32839,Hideki Matsuyama,57.53,42,73
2019,0,29484,Peter Uihlein,57.38,35,61
2019,0,24924,Bill Haas,57.14,28,49
2019,0,34046,Jordan Spieth,57.14,40,70
2019,0,49964,Aaron Wise,57.14,20,35
2019,0,39997,Corey Conners,56.92,37,65
2019,0,32200,Roberto Castro,56.82,25,44
2019,0,30191,Julián Etulain,56.67,34,60
2019,0,51766,Wyndham Clark,56.36,31,55
2019,0,39971,Sungjae Im,56.25,54,96
2019,0,34076,Joel Dahmen,56.16,41,73
2019,0,25804,Bubba Watson,56.1,23,41
2019,0,35461,Beau Hossler,56.06,37,66
2019,0,24925,Jonathan Byrd,56.0,14,25
2019,0,36799,Stephan Jaeger,56.0,28,50
2019,0,34264,Hudson Swafford,56.0,28,50
2019,0,34099,Harris English,55.95,47,84
2019,0,32640,Troy Merritt,55.81,24,43
2019,0,34466,Peter Malnati,55.7,44,79
2019,0,49771,J.T. Poston,55.67,54,97
2019,0,48081,Xander Schauffele,55.56,30,54
2019,0,26300,Matt Jones,55.38,36,65
2019,0,34261,Scott Langley,55.38,36,65
2019,0,46501,Ollie Schniederjans,55.36,31,56
2019,0,35421,Brandon Harkins,55.13,43,78
2019,0,34563,Chesson Hadley,55.1,27,49
2019,0,25396,Kevin Na,55.0,22,40
2019,0,19803,Ryan Armour,54.93,39,71
2019,0,39324,J.J. Spaun,54.76,23,42
2019,0,26499,Rafa Cabrera Bello,54.39,31,57
2019,0,19846,Brian Gay,54.39,31,57
2019,0,28775,Nate Lashley,54.35,25,46
2019,0,31560,Brian Stuard,54.1,33,61
2019,0,27958,Ryan Blaum,54.0,27,50
2019,0,27895,Jonas Blixt,54.0,27,50
2019,0,39975,Michael Kim,54.0,27,50
2019,0,27095,Nick Watney,53.97,34,63
2019,0,23353,J.J. Henry,53.57,15,28
2019,0,10809,Jim Furyk,53.49,23,43
2019,0,27129,Luke List,53.33,32,60
2019,0,29535,Brice Garnett,53.23,33,62
2019,0,27936,Martin Laird,53.19,25,47
2019,0,33399,Adam Hadwin,53.16,42,79
2019,0,46435,Austin Cook,53.06,26,49
2019,0,31323,Gary Woodland,52.83,28,53
2019,0,28237,Rory McIlroy,52.73,29,55
2019,0,48822,Sebastián Muñoz,52.63,30,57
2019,0,40098,Matt Fitzpatrick,52.5,21,40
2019,0,35617,Martin Trainer,52.5,21,40
2019,0,47959,Bryson DeChambeau,52.31,34,65
2019,0,49303,Anders Albertson,52.27,23,44
2019,0,30110,Kyle Stanley,52.08,25,48
2019,0,47993,Denny McCarthy,51.92,27,52
2019,0,29970,Dylan Frittelli,51.85,28,54
2019,0,30692,Scott Stallings,51.79,29,56
2019,0,32333,Kevin Tway,51.79,29,56
2019,0,30786,Brady Schnell,51.72,15,29
2019,0,24781,Hunter Mahan,51.52,17,33
2019,0,31557,Jim Herman,51.28,20,39
2019,0,32757,Patton Kizzire,51.16,22,43
2019,0,1810,Phil Mickelson,51.06,24,47
2019,0,49298,Kramer Hickok,51.02,25,49
2019,0,24502,Adam Scott,50.98,26,51
2019,0,26476,Chez Reavie,50.75,34,67
2019,0,25493,Nick Taylor,50.63,40,79
2019,0,25364,Paul Casey,50.0,23,46
2019,0,45609,Tyler Duncan,50.0,20,40
2019,0,46523,Joey Garber,50.0,20,40
2019,0,39954,Cody Gribble,50.0,19,38
2019,0,33418,Shawn Stefani,50.0,21,42
2019,0,27214,Kevin Streelman,50.0,36,72
2019,0,33448,Justin Thomas,50.0,18,36
2019,0,33419,Cameron Tringale,50.0,17,34
2019,0,29479,Scott Brown,49.25,33,67
2019,0,45157,Cam Davis,48.89,22,45
2019,0,32816,Satoshi Kodaira,48.78,20,41
2019,0,47347,Adam Schenk,48.48,32,66
2019,0,27974,Sung Kang,48.44,31,64
2019,0,29223,Sam Saunders,48.33,29,60
2019,0,26596,Ryan Moore,48.28,28,58
2019,0,34431,Robert Streb,48.21,27,56
2019,0,31646,Emiliano Grillo,48.0,24,50
2019,0,49960,Sepp Straka,47.92,23,48
2019,0,20572,Rod Pampling,47.62,20,42
2019,0,25686,Jason Dufner,47.46,28,59
2019,0,32058,José de Jesús Rodríguez,47.37,27,57
2019,0,36852,Jim Knous,47.06,16,34
2019,0,37454,Whee Kim,46.34,19,41
2019,0,49766,Hank Lebioda,46.34,19,41
2019,0,27064,Jhonattan Vegas,46.34,19,41
2019,0,33410,Andrew Landry,45.83,22,48
2019,0,26951,Johnson Wagner,45.71,16,35
2019,0,37340,Chase Wright,45.65,21,46
2019,0,46601,Trey Mullinax,45.61,26,57
2019,0,37380,Curtis Luck,45.45,20,44
2019,0,47128,Richy Werenski,45.31,29,64
2019,0,33141,Keegan Bradley,45.16,28,62
2019,0,35376,Roberto Díaz,45.0,18,40
2019,0,34098,Russell Henley,45.0,27,60
2019,0,35449,Adam Long,45.0,27,60
2019,0,36699,Patrick Rodgers,44.44,20,45
2019,0,29725,Tony Finau,44.29,31,70
