YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL 3 PUTTS,TOTAL HOLES (OVERALL)
2016,100,0,30944,Jason Kokrak,3.0,48,1602
2016,100,0,27942,Rob Oppenheim,3.0,34,1134
2016,100,0,28132,Tyrone Van Aswegen,3.0,55,1836
2016,103,0,33448,Justin Thomas,3.01,52,1728
2016,104,0,6522,Ernie Els,3.03,36,1188
2016,104,0,23353,J.J. Henry,3.03,36,1188
2016,106,0,24924,Bill Haas,3.05,45,1476
2016,106,0,24490,George McNeill,3.05,28,918
2016,106,0,27214,Kevin Streelman,3.05,45,1476
2016,109,0,37454,Whee Kim,3.06,43,1404
2016,110,0,30926,Chris Kirk,3.07,47,1530
2016,111,0,26329,Louis Oosthuizen,3.08,31,1008
2016,112,0,6567,Vijay Singh,3.09,40,1296
2016,113,0,25900,Lucas Glover,3.11,42,1350
2016,113,0,22046,Geoff Ogilvy,3.11,33,1062
2016,113,0,31560,Brian Stuard,3.11,37,1188
2016,116,0,33141,Keegan Bradley,3.12,46,1476
2016,117,0,24912,Will MacKenzie,3.13,45,1440
2016,117,0,33418,Shawn Stefani,3.13,49,1566
2016,119,0,35891,Cameron Smith,3.14,39,1242
2016,120,0,34264,Hudson Swafford,3.15,59,1872
2016,121,0,33419,Cameron Tringale,3.17,44,1386
2016,122,0,35545,Blayne Barber,3.19,46,1440
2016,123,0,25274,Steven Bowditch,3.21,41,1278
2016,123,0,29720,Andres Gonzales,3.21,45,1404
2016,125,0,25892,Steve Wheatcroft,3.22,47,1458
2016,126,0,29745,Tyler Aldridge,3.23,46,1422
2016,126,0,25364,Paul Casey,3.23,43,1332
2016,126,0,34563,Chesson Hadley,3.23,46,1422
2016,126,0,21878,Mark Wilson,3.23,36,1116
2016,130,0,29223,Sam Saunders,3.25,38,1170
2016,130,0,25632,Jimmy Walker,3.25,48,1476
2016,132,0,28158,Steve Marino,3.27,40,1224
2016,133,0,24781,Hunter Mahan,3.28,36,1098
2016,133,0,33413,Ben Martin,3.28,52,1584
2016,135,0,29461,Jamie Lovemark,3.3,54,1638
2016,136,0,33122,Russell Knox,3.31,53,1602
2016,136,0,25818,Scott Piercy,3.31,50,1512
2016,138,0,33461,Morgan Hoffmann,3.32,40,1206
2016,139,0,29420,Billy Horschel,3.33,42,1260
2016,139,0,25572,Graeme McDowell,3.33,36,1080
2016,141,0,32839,Hideki Matsuyama,3.35,44,1314
2016,141,0,27064,Jhonattan Vegas,3.35,56,1674
2016,143,0,45526,Abraham Ancer,3.36,29,864
2016,144,0,20229,Stewart Cink,3.37,37,1098
2016,145,0,35532,Tom Hoge,3.39,47,1386
2016,146,0,31646,Emiliano Grillo,3.4,55,1620
2016,147,0,12716,Charley Hoffman,3.41,54,1584
2016,147,0,26289,Boo Weekley,3.41,51,1494
2016,149,0,26476,Chez Reavie,3.42,53,1548
2016,150,0,2206,David Toms,3.49,39,1116
2016,151,0,31557,Jim Herman,3.52,59,1674
2016,152,0,35300,Andrew Loupe,3.56,48,1350
2016,153,0,20848,Ángel Cabrera,3.58,40,1116
2016,153,0,24502,Adam Scott,3.58,49,1368
2016,155,0,28679,Fabián Gómez,3.59,51,1422
2016,156,0,22892,Jason Gore,3.6,48,1332
2016,156,0,33204,Shane Lowry,3.6,35,972
2016,158,0,23320,Ryan Palmer,3.62,56,1548
2016,159,0,22405,Justin Rose,3.67,41,1116
2016,160,0,27436,Graham DeLaet,3.7,44,1188
2016,160,0,25686,Jason Dufner,3.7,68,1836
2016,160,0,34431,Robert Streb,3.7,56,1512
2016,163,0,26331,Charl Schwartzel,3.73,47,1260
2016,163,0,29221,Webb Simpson,3.73,47,1260
2016,165,0,24461,Thomas Aiken,3.79,45,1188
2016,165,0,36699,Patrick Rodgers,3.79,58,1530
2016,167,0,10885,Robert Allenby,3.81,35,918
2016,167,0,20104,Ken Duke,3.81,37,972
2016,167,0,21209,Sergio Garcia,3.81,35,918
2016,167,0,36689,Brooks Koepka,3.81,48,1260
2016,171,0,24358,Robert Garrigus,3.85,45,1170
2016,171,0,28237,Rory McIlroy,3.85,43,1116
2016,173,0,29926,Danny Lee,3.89,63,1620
2016,174,0,28475,Jeff Overton,3.93,46,1170
2016,175,0,27141,J.B. Holmes,3.98,53,1332
2016,175,0,10213,Dicky Pride,3.98,38,954
2016,177,0,37273,Derek Ernst,4.0,41,1026
2016,177,0,32150,Michael Thompson,4.0,49,1224
2016,179,0,32618,Rhein Gibson,4.12,40,972
2016,180,0,35451,Scott Pinckney,4.18,64,1530
2016,181,0,25240,D.A. Points,4.25,39,918
2016,182,0,27129,Luke List,4.33,60,1386
2016,183,0,37189,Harold Varner III,4.41,73,1656
2016,184,0,20691,Greg Owen,4.6,67,1458
2016,185,0,23621,Rory Sabbatini,4.63,45,972
2015,1,0,25834,Daniel Summerhays,1.65,30,1818
2015,2,0,24507,Jason Bohn,1.7,29,1710
2015,3,0,29222,Billy Hurley III,1.76,25,1422
2015,4,0,31560,Brian Stuard,1.79,30,1674
2015,5,0,29478,Kevin Kisner,1.87,35,1872
2015,5,0,30711,Colt Knost,1.87,29,1548
2015,7,0,24846,Ricky Barnes,1.92,27,1404
2015,8,0,24024,Zach Johnson,1.98,31,1566
2015,9,0,21961,Charles Howell III,2.01,38,1890
2015,10,0,23800,Bryce Molder,2.04,32,1566
2015,11,0,26758,David Hearn,2.06,36,1746
2015,12,0,30925,Dustin Johnson,2.08,27,1296
2015,13,0,27895,Jonas Blixt,2.1,28,1332
2015,14,0,25720,Chad Collins,2.11,30,1422
2015,15,0,23048,Eric Axley,2.12,21,990
2015,16,0,33461,Morgan Hoffmann,2.16,33,1530
2015,17,0,34360,Patrick Reed,2.17,39,1800
2015,18,0,27214,Kevin Streelman,2.2,36,1638
2015,18,0,2206,David Toms,2.2,23,1044
2015,20,0,34099,Harris English,2.23,41,1836
2015,20,0,28475,Jeff Overton,2.23,37,1656
2015,22,0,22371,Aaron Baddeley,2.25,30,1332
2015,23,0,24140,Sean O'Hair,2.26,35,1548
2015,23,0,28132,Tyrone Van Aswegen,2.26,22,972
2015,25,0,25349,Tim Wilkinson,2.27,29,1278
2015,26,0,21209,Sergio Garcia,2.28,23,1008
2015,26,0,10860,Justin Leonard,2.28,25,1098
2015,28,0,34261,Scott Langley,2.29,38,1656
2015,29,0,36699,Patrick Rodgers,2.31,22,954
2015,30,0,37454,Whee Kim,2.33,29,1242
2015,31,0,40058,Zac Blair,2.35,44,1872
2015,31,0,23983,Luke Donald,2.35,30,1278
2015,33,0,23638,Brendon de Jonge,2.36,45,1908
2015,34,0,31416,Derek Fathauer,2.38,33,1386
2015,34,0,32640,Troy Merritt,2.38,39,1638
2015,36,0,28089,Jason Day,2.39,31,1296
2015,37,0,34046,Jordan Spieth,2.4,38,1584
2015,38,0,20771,Steven Alker,2.41,26,1080
2015,38,0,25198,Francesco Molinari,2.41,23,954
2015,40,0,26596,Ryan Moore,2.42,34,1404
2015,41,0,29720,Andres Gonzales,2.45,38,1548
2015,41,0,35541,John Peterson,2.45,37,1512
2015,43,0,12510,Chad Campbell,2.46,43,1746
2015,43,0,34264,Hudson Swafford,2.46,42,1710
2015,45,0,32102,Rickie Fowler,2.47,32,1296
2015,45,0,34431,Robert Streb,2.47,49,1980
2015,47,0,33418,Shawn Stefani,2.48,42,1692
2015,48,0,26300,Matt Jones,2.52,39,1548
2015,48,0,27466,Spencer Levin,2.52,44,1746
2015,50,0,27644,Brian Harman,2.53,41,1620
2015,50,0,23353,J.J. Henry,2.53,41,1620
2015,52,0,26851,Marc Leishman,2.54,32,1260
2015,53,0,24361,Pat Perez,2.55,44,1728
2015,54,0,27436,Graham DeLaet,2.56,30,1170
2015,55,0,24494,Erik Compton,2.58,40,1548
2015,55,0,34098,Russell Henley,2.58,39,1512
2015,57,0,34409,David Lingmerth,2.59,42,1620
2015,58,0,24357,K.J. Choi,2.6,29,1116
2015,59,0,29725,Tony Finau,2.62,50,1908
2015,59,0,22056,Cameron Percy,2.62,33,1260
2015,61,0,25396,Kevin Na,2.63,45,1710
2015,61,0,25493,Nick Taylor,2.63,43,1638
2015,63,0,31202,William McGirt,2.64,49,1854
2015,64,0,24781,Hunter Mahan,2.65,40,1512
2015,65,0,12716,Charley Hoffman,2.66,45,1692
2015,65,0,33122,Russell Knox,2.66,46,1728
2015,65,0,23108,Matt Kuchar,2.66,45,1692
2015,68,0,32200,Roberto Castro,2.67,24,900
2015,69,0,33399,Adam Hadwin,2.69,45,1674
2015,69,0,27649,Brandt Snedeker,2.69,46,1710
2015,69,0,30927,Brendon Todd,2.69,45,1674
2015,72,0,25274,Steven Bowditch,2.7,50,1854
2015,72,0,34174,John Huh,2.7,49,1818
2015,72,0,26951,Johnson Wagner,2.7,33,1224
2015,75,0,30946,Alex Prugh,2.71,39,1440
2015,76,0,20472,Alex Cejka,2.72,45,1656
2015,76,0,32448,James Hahn,2.72,46,1692
2015,78,0,29926,Danny Lee,2.73,59,2160
2015,79,0,8075,Jerry Kelly,2.74,39,1422
2015,80,0,24490,George McNeill,2.75,46,1674
2015,81,0,33667,Carlos Ortiz,2.78,48,1728
2015,82,0,30926,Chris Kirk,2.82,37,1314
2015,83,0,1706,Davis Love III,2.83,26,918
2015,83,0,25345,Carl Pettersson,2.83,54,1908
2015,85,0,30944,Jason Kokrak,2.84,45,1584
2015,86,0,29479,Scott Brown,2.86,50,1746
2015,87,0,34262,Jon Curran,2.88,41,1422
2015,87,0,30736,Oscar Fraustro,2.88,28,972
2015,89,0,10809,Jim Furyk,2.95,34,1152
2015,89,0,34256,Andrew Putnam,2.95,34,1152
2015,91,0,20593,Greg Chalmers,2.98,29,972
2015,91,0,29518,Brendan Steele,2.98,45,1512
2015,93,0,33448,Justin Thomas,2.99,57,1908
2015,94,0,25892,Steve Wheatcroft,3.01,45,1494
2015,95,0,36689,Brooks Koepka,3.02,44,1458
2015,96,0,30852,Ryo Ishikawa,3.03,48,1584
2015,96,0,23320,Ryan Palmer,3.03,42,1386
2015,98,0,25632,Jimmy Walker,3.04,47,1548
2015,99,0,28259,Sangmoon Bae,3.06,54,1764
2015,100,0,25369,Jamie Donaldson,3.07,26,846
2015,101,0,35451,Scott Pinckney,3.09,49,1584
2015,102,0,34358,Jonathan Randolph,3.1,39,1260
2015,102,0,33486,Roger Sloan,3.1,29,936
2015,104,0,32839,Hideki Matsuyama,3.11,51,1638
2015,104,0,25562,Andres Romero,3.11,37,1188
2015,104,0,22405,Justin Rose,3.11,37,1188
2015,107,0,35539,Luke Guthrie,3.12,46,1476
2015,108,0,21878,Mark Wilson,3.14,48,1530
2015,109,0,28679,Fabián Gómez,3.15,47,1494
2015,110,0,24925,Jonathan Byrd,3.16,37,1170
2015,110,0,29535,Brice Garnett,3.16,45,1422
2015,110,0,35532,Tom Hoge,3.16,45,1422
2015,110,0,24138,Ian Poulter,3.16,37,1170
2015,114,0,25191,Gonzalo Fernandez-Castaño,3.17,44,1386
2015,114,0,24924,Bill Haas,3.17,49,1548
2015,116,0,25364,Paul Casey,3.18,47,1476
2015,116,0,21753,Brian Davis,3.18,47,1476
2015,118,0,34265,Will Wilcox,3.19,31,972
2015,119,0,31557,Jim Herman,3.22,51,1584
2015,120,0,39977,Max Homa,3.23,43,1332
2015,120,0,27064,Jhonattan Vegas,3.23,50,1548
2015,122,0,20848,Ángel Cabrera,3.25,31,954
2015,122,0,36801,Mark Hubbard,3.25,45,1386
2015,122,0,29289,S.Y. Noh,3.25,38,1170
2015,125,0,23541,Ben Crane,3.26,34,1044
2015,126,0,25818,Scott Piercy,3.27,53,1620
2015,126,0,26476,Chez Reavie,3.27,33,1008
2015,128,0,27936,Martin Laird,3.32,46,1386
2015,128,0,29476,Kyle Reifers,3.32,55,1656
2015,130,0,1810,Phil Mickelson,3.33,42,1260
2015,131,0,25804,Bubba Watson,3.35,41,1224
2015,132,0,28500,Martin Flores,3.36,55,1638
2015,133,0,27963,Chris Stroud,3.37,51,1512
2015,134,0,20157,Retief Goosen,3.39,47,1386
2015,135,0,27141,J.B. Holmes,3.4,52,1530
2015,135,0,33413,Ben Martin,3.4,55,1620
2015,137,0,28307,Matt Every,3.41,43,1260
2015,137,0,20645,John Senden,3.41,46,1350
2015,139,0,32366,Kevin Chappell,3.42,53,1548
2015,140,0,29223,Sam Saunders,3.43,50,1458
2015,140,0,32150,Michael Thompson,3.43,50,1458
2015,142,0,26329,Louis Oosthuizen,3.44,39,1134
2015,143,0,26289,Boo Weekley,3.45,49,1422
2015,143,0,31323,Gary Woodland,3.45,46,1332
2015,145,0,34130,Sung Joon Park,3.46,48,1386
2015,146,0,34563,Chesson Hadley,3.47,63,1818
2015,147,0,40026,Daniel Berger,3.49,61,1746
2015,147,0,6567,Vijay Singh,3.49,49,1404
2015,149,0,30692,Scott Stallings,3.52,38,1080
2015,150,0,31193,Jim Renner,3.54,42,1188
2015,150,0,28023,Byron Smith,3.54,35,990
2015,152,0,23621,Rory Sabbatini,3.57,52,1458
2015,153,0,29420,Billy Horschel,3.59,62,1728
2015,153,0,33419,Cameron Tringale,3.59,62,1728
2015,155,0,35545,Blayne Barber,3.6,48,1332
2015,155,0,27095,Nick Watney,3.6,59,1638
2015,157,0,20691,Greg Owen,3.64,38,1044
2015,158,0,28486,Michael Putnam,3.66,56,1530
2015,159,0,22892,Jason Gore,3.7,48,1296
2015,159,0,20766,Padraig Harrington,3.7,40,1080
2015,159,0,29425,Andrew Svoboda,3.7,52,1404
2015,162,0,22293,Heath Slocum,3.77,36,954
2015,163,0,20104,Ken Duke,3.81,61,1602
2015,163,0,28780,Nicholas Thompson,3.81,59,1548
2015,165,0,23548,Bill Lunde,3.86,32,828
2015,166,0,23623,Bo Van Pelt,3.87,55,1422
2015,167,0,21528,Henrik Stenson,3.89,42,1080
2015,168,0,33141,Keegan Bradley,3.9,59,1512
2015,169,0,10885,Robert Allenby,3.95,42,1062
2015,170,0,25240,D.A. Points,4.05,51,1260
2015,171,0,26331,Charl Schwartzel,4.06,46,1134
2015,171,0,29221,Webb Simpson,4.06,57,1404
2015,171,0,20396,Lee Westwood,4.06,38,936
2015,174,0,6522,Ernie Els,4.09,42,1026
2015,175,0,24358,Robert Garrigus,4.12,49,1188
2015,176,0,27933,John Merrick,4.13,55,1332
2015,177,0,37273,Derek Ernst,4.15,53,1278
2015,178,0,20229,Stewart Cink,4.18,58,1386
2015,179,0,27770,Camilo Villegas,4.35,65,1494
2015,180,0,25686,Jason Dufner,4.41,58,1314
2015,181,0,32334,Charlie Beljan,4.71,61,1296
2015,182,0,22046,Geoff Ogilvy,4.75,41,864
2015,183,0,24502,Adam Scott,4.86,42,864
2015,184,0,25900,Lucas Glover,5.49,78,1422
2014,1,0,21731,Freddie Jacobson,1.65,27,1638
2014,2,0,28089,Jason Day,1.74,15,864
2014,3,0,29478,Kevin Kisner,1.76,27,1530
2014,4,0,24507,Jason Bohn,1.85,27,1458
2014,4,0,10860,Justin Leonard,1.85,25,1350
2014,6,0,8075,Jerry Kelly,1.88,27,1440
2014,6,0,25572,Graeme McDowell,1.88,21,1116
2014,8,0,27644,Brian Harman,1.9,38,1998
2014,8,0,23800,Bryce Molder,1.9,25,1314
2014,10,0,27895,Jonas Blixt,1.97,22,1116
2014,10,0,24024,Zach Johnson,1.97,34,1728
2014,12,0,25804,Bubba Watson,1.98,26,1314
2014,13,0,28237,Rory McIlroy,2.0,23,1152
2014,14,0,23108,Matt Kuchar,2.02,32,1584
2014,14,0,20645,John Senden,2.02,36,1782
2014,16,0,31202,William McGirt,2.03,35,1728
2014,17,0,20593,Greg Chalmers,2.06,30,1458
2014,18,0,27963,Chris Stroud,2.08,33,1584
2014,19,0,30927,Brendon Todd,2.11,41,1944
2014,20,0,26758,David Hearn,2.12,37,1746
2014,21,0,23541,Ben Crane,2.13,31,1458
2014,22,0,23638,Brendon de Jonge,2.14,42,1962
2014,22,0,30925,Dustin Johnson,2.14,22,1026
2014,22,0,25632,Jimmy Walker,2.14,37,1728
2014,25,0,34261,Scott Langley,2.15,36,1674
2014,26,0,22371,Aaron Baddeley,2.16,28,1296
2014,27,0,25349,Tim Wilkinson,2.17,32,1476
2014,28,0,25834,Daniel Summerhays,2.21,39,1764
2014,29,0,24357,K.J. Choi,2.22,32,1440
2014,29,0,30852,Ryo Ishikawa,2.22,30,1350
2014,31,0,31560,Brian Stuard,2.23,35,1566
2014,32,0,25720,Chad Collins,2.25,30,1332
2014,33,0,33141,Keegan Bradley,2.27,36,1584
2014,33,0,24494,Erik Compton,2.27,36,1584
2014,35,0,26851,Marc Leishman,2.29,33,1440
2014,35,0,33413,Ben Martin,2.29,33,1440
2014,37,0,30944,Jason Kokrak,2.31,27,1170
2014,38,0,32102,Rickie Fowler,2.35,36,1530
2014,39,0,26951,Johnson Wagner,2.39,28,1170
2014,40,0,26300,Matt Jones,2.41,36,1494
2014,41,0,32640,Troy Merritt,2.42,27,1116
2014,42,0,22621,Ben Curtis,2.44,32,1314
2014,43,0,23983,Luke Donald,2.48,25,1008
2014,43,0,24781,Hunter Mahan,2.48,38,1530
2014,43,0,25396,Kevin Na,2.48,42,1692
2014,46,0,21209,Sergio Garcia,2.49,26,1044
2014,46,0,34265,Will Wilcox,2.49,22,882
2014,48,0,33419,Cameron Tringale,2.5,50,1998
2014,49,0,33122,Russell Knox,2.54,42,1656
2014,49,0,27466,Spencer Levin,2.54,27,1062
2014,49,0,31323,Gary Woodland,2.54,42,1656
2014,52,0,24925,Jonathan Byrd,2.55,33,1296
2014,52,0,27649,Brandt Snedeker,2.55,40,1566
2014,54,0,28132,Tyrone Van Aswegen,2.56,36,1404
2014,55,0,25364,Paul Casey,2.58,26,1008
2014,56,0,24140,Sean O'Hair,2.6,36,1386
2014,56,0,2206,David Toms,2.6,29,1116
2014,58,0,22405,Justin Rose,2.61,32,1224
2014,59,0,35139,Richard Lee,2.64,37,1404
2014,60,0,20098,Stuart Appleby,2.65,43,1620
2014,60,0,20157,Retief Goosen,2.65,43,1620
2014,60,0,26596,Ryan Moore,2.65,40,1512
2014,60,0,10423,Mike Weir,2.65,31,1170
2014,64,0,32366,Kevin Chappell,2.66,46,1728
2014,64,0,34098,Russell Henley,2.66,44,1656
2014,64,0,34046,Jordan Spieth,2.66,47,1764
2014,67,0,30926,Chris Kirk,2.67,50,1872
2014,68,0,33461,Morgan Hoffmann,2.69,48,1782
2014,68,0,26331,Charl Schwartzel,2.69,30,1116
2014,70,0,32200,Roberto Castro,2.7,36,1332
2014,70,0,24502,Adam Scott,2.7,33,1224
2014,72,0,27141,J.B. Holmes,2.71,42,1548
2014,73,0,23135,Tim Clark,2.74,37,1350
2014,73,0,23409,James Driscoll,2.74,35,1278
2014,75,0,24924,Bill Haas,2.75,52,1890
2014,76,0,24846,Ricky Barnes,2.78,44,1584
2014,76,0,10809,Jim Furyk,2.78,40,1440
2014,76,0,29535,Brice Garnett,2.78,44,1584
2014,76,0,29222,Billy Hurley III,2.78,43,1548
2014,76,0,27408,Martin Kaymer,2.78,32,1152
2014,76,0,36689,Brooks Koepka,2.78,28,1008
2014,76,0,24912,Will MacKenzie,2.78,41,1476
2014,76,0,22913,John Rollins,2.78,40,1440
2014,76,0,27330,Josh Teater,2.78,44,1584
2014,76,0,24663,Y.E. Yang,2.78,39,1404
2014,86,0,24361,Pat Perez,2.84,43,1512
2014,87,0,34409,David Lingmerth,2.85,39,1368
2014,88,0,27936,Martin Laird,2.87,32,1116
2014,89,0,21961,Charles Howell III,2.88,55,1908
2014,90,0,29479,Scott Brown,2.89,52,1800
2014,90,0,29740,Brad Fritsch,2.89,25,864
2014,92,0,25345,Carl Pettersson,2.93,48,1638
2014,92,0,26679,Kevin Stadler,2.93,47,1602
2014,94,0,27556,Ted Potter Jr.,2.94,36,1224
2014,95,0,19846,Brian Gay,2.95,42,1422
2014,96,0,34360,Patrick Reed,2.96,48,1620
2014,96,0,33418,Shawn Stefani,2.96,32,1080
2014,98,0,1810,Phil Mickelson,2.97,38,1278
2014,99,0,21528,Henrik Stenson,2.98,29,972
2014,100,0,7867,Woody Austin,3.01,32,1062
2014,100,0,32334,Charlie Beljan,3.01,39,1296
2014,100,0,35539,Luke Guthrie,3.01,46,1530
2014,100,0,34174,John Huh,3.01,45,1494
2014,104,0,6522,Ernie Els,3.02,43,1422
2014,104,0,34099,Harris English,3.02,50,1656
2014,104,0,20160,Charlie Wi,3.02,38,1260
2014,107,0,29221,Webb Simpson,3.04,46,1512
2014,108,0,12716,Charley Hoffman,3.05,51,1674
2014,109,0,23353,J.J. Henry,3.07,48,1566
2014,109,0,23320,Ryan Palmer,3.07,47,1530
2014,111,0,34021,Bud Cauley,3.08,31,1008
2014,111,0,27933,John Merrick,3.08,46,1494
2014,113,0,29425,Andrew Svoboda,3.1,43,1386
2014,114,0,21753,Brian Davis,3.11,52,1674
2014,114,0,28092,D.H. Lee,3.11,28,900
2014,116,0,29926,Danny Lee,3.13,45,1440
2014,116,0,34431,Robert Streb,3.13,40,1278
2014,118,0,28475,Jeff Overton,3.14,43,1368
2014,119,0,24490,George McNeill,3.16,45,1422
2014,120,0,34563,Chesson Hadley,3.17,48,1512
2014,120,0,24138,Ian Poulter,3.17,32,1008
2014,120,0,20396,Lee Westwood,3.17,32,1008
2014,123,0,25444,Justin Hicks,3.2,57,1782
2014,124,0,29420,Billy Horschel,3.21,52,1620
2014,124,0,23623,Bo Van Pelt,3.21,48,1494
2014,126,0,27770,Camilo Villegas,3.22,55,1710
2014,127,0,20229,Stewart Cink,3.24,53,1638
2014,128,0,25191,Gonzalo Fernandez-Castaño,3.25,48,1476
2014,129,0,22378,Trevor Immelman,3.26,47,1440
2014,130,0,30692,Scott Stallings,3.29,45,1368
2014,131,0,30750,Tommy Gainey,3.3,41,1242
2014,132,0,28307,Matt Every,3.33,51,1530
2014,132,0,32448,James Hahn,3.33,48,1440
2014,132,0,29518,Brendan Steele,3.33,51,1530
2014,135,0,25240,D.A. Points,3.35,44,1314
2014,135,0,27214,Kevin Streelman,3.35,47,1404
2014,137,0,28259,Sangmoon Bae,3.36,46,1368
2014,138,0,32150,Michael Thompson,3.38,45,1332
2014,139,0,21878,Mark Wilson,3.42,40,1170
2014,140,0,26956,Bronson La'Cassie,3.43,29,846
2014,141,0,29289,S.Y. Noh,3.44,57,1656
2014,142,0,27120,Troy Matteson,3.45,36,1044
2014,143,0,12510,Chad Campbell,3.46,33,954
2014,143,0,25562,Andres Romero,3.46,48,1386
2014,145,0,27436,Graham DeLaet,3.52,50,1422
2014,145,0,29461,Jamie Lovemark,3.52,38,1080
2014,145,0,35541,John Peterson,3.52,38,1080
2014,145,0,34264,Hudson Swafford,3.52,45,1278
2014,149,0,31557,Jim Herman,3.54,37,1044
2014,150,0,28500,Martin Flores,3.59,55,1530
2014,151,0,6567,Vijay Singh,3.61,54,1494
2014,152,0,1706,Davis Love III,3.63,47,1296
2014,153,0,25686,Jason Dufner,3.7,36,972
2014,154,0,20104,Ken Duke,3.77,53,1404
2014,155,0,20848,Ángel Cabrera,3.78,47,1242
2014,156,0,32333,Kevin Tway,3.8,41,1080
2014,157,0,28486,Michael Putnam,3.81,70,1836
2014,158,0,24358,Robert Garrigus,3.82,55,1440
2014,158,0,22046,Geoff Ogilvy,3.82,55,1440
2014,160,0,35300,Andrew Loupe,3.83,42,1098
2014,161,0,27095,Nick Watney,3.85,52,1350
2014,162,0,22293,Heath Slocum,3.86,48,1242
2014,163,0,20498,Briny Baird,3.89,35,900
2014,164,0,27064,Jhonattan Vegas,4.0,54,1350
2014,165,0,1724,Jeff Maggert,4.01,39,972
2014,165,0,26289,Boo Weekley,4.01,52,1296
2014,167,0,31193,Jim Renner,4.05,43,1062
2014,168,0,25274,Steven Bowditch,4.12,69,1674
2014,169,0,37273,Derek Ernst,4.17,57,1368
2014,169,0,32839,Hideki Matsuyama,4.17,60,1440
2014,171,0,35732,Wes Roach,4.41,50,1134
2014,172,0,10885,Robert Allenby,4.46,65,1458
2014,173,0,23621,Rory Sabbatini,4.49,63,1404
2014,174,0,28780,Nicholas Thompson,4.53,66,1458
2014,175,0,26329,Louis Oosthuizen,4.59,38,828
2014,176,0,30110,Kyle Stanley,5.42,81,1494
2014,177,0,25900,Lucas Glover,5.47,65,1188
2013,1,0,20593,Greg Chalmers,1.83,24,1314
2013,2,0,23108,Matt Kuchar,1.85,29,1566
2013,3,0,19846,Brian Gay,1.9,27,1422
2013,4,0,10860,Justin Leonard,2.0,31,1548
2013,5,0,1320,Bob Estes,2.1,25,1188
2013,6,0,23800,Bryce Molder,2.15,31,1440
2013,7,0,26758,David Hearn,2.27,36,1584
2013,8,0,27644,Brian Harman,2.29,35,1530
2013,8,0,26331,Charl Schwartzel,2.29,28,1224
2013,10,0,26476,Chez Reavie,2.31,30,1296
2013,10,0,23497,Tag Ridings,2.31,27,1170
2013,12,0,22792,Peter Hanson,2.33,18,774
2013,13,0,33141,Keegan Bradley,2.36,37,1566
2013,14,0,31202,William McGirt,2.37,32,1350
2013,15,0,24507,Jason Bohn,2.38,30,1260
2013,15,0,21209,Sergio Garcia,2.38,27,1134
2013,15,0,20572,Rod Pampling,2.38,18,756
2013,18,0,23983,Luke Donald,2.39,25,1044
2013,18,0,30711,Colt Knost,2.39,28,1170
2013,20,0,27963,Chris Stroud,2.4,38,1584
2013,21,0,25834,Daniel Summerhays,2.41,36,1494
2013,22,0,24924,Bill Haas,2.45,37,1512
2013,23,0,23638,Brendon de Jonge,2.47,49,1980
2013,23,0,32698,Bobby Gates,2.47,20,810
2013,25,0,28475,Jeff Overton,2.49,35,1404
2013,25,0,10423,Mike Weir,2.49,26,1044
2013,27,0,6522,Ernie Els,2.51,28,1116
2013,28,0,32448,James Hahn,2.55,34,1332
2013,29,0,27895,Jonas Blixt,2.56,35,1368
2013,29,0,29479,Scott Brown,2.56,30,1170
2013,29,0,21753,Brian Davis,2.56,42,1638
2013,29,0,28679,Fabián Gómez,2.56,30,1170
2013,33,0,25632,Jimmy Walker,2.58,39,1512
2013,34,0,8075,Jerry Kelly,2.59,35,1350
2013,34,0,24502,Adam Scott,2.59,28,1080
2013,36,0,23320,Ryan Palmer,2.6,37,1422
2013,37,0,6004,Stephen Ames,2.61,23,882
2013,37,0,23353,J.J. Henry,2.61,38,1458
2013,37,0,21961,Charles Howell III,2.61,40,1530
2013,40,0,26497,Casey Wittenberg,2.62,33,1260
2013,41,0,31560,Brian Stuard,2.63,35,1332
2013,42,0,25345,Carl Pettersson,2.64,38,1440
2013,43,0,29425,Andrew Svoboda,2.65,21,792
2013,44,0,22371,Aaron Baddeley,2.69,32,1188
2013,45,0,28089,Jason Day,2.71,39,1440
2013,45,0,29221,Webb Simpson,2.71,43,1584
2013,47,0,31323,Gary Woodland,2.72,44,1620
2013,48,0,21099,David Lynn,2.74,34,1242
2013,48,0,27649,Brandt Snedeker,2.74,39,1422
2013,50,0,23409,James Driscoll,2.78,36,1296
2013,50,0,32102,Rickie Fowler,2.78,37,1332
2013,50,0,10809,Jim Furyk,2.78,39,1404
2013,50,0,21731,Freddie Jacobson,2.78,30,1080
2013,50,0,24663,Y.E. Yang,2.78,28,1008
2013,55,0,26300,Matt Jones,2.81,42,1494
2013,55,0,35139,Richard Lee,2.81,39,1386
2013,55,0,27933,John Merrick,2.81,40,1422
2013,58,0,24358,Robert Garrigus,2.82,33,1170
2013,58,0,10213,Dicky Pride,2.82,34,1206
2013,58,0,22913,John Rollins,2.82,37,1314
2013,61,0,20766,Padraig Harrington,2.83,25,882
2013,62,0,27120,Troy Matteson,2.86,34,1188
2013,63,0,30926,Chris Kirk,2.87,46,1602
2013,63,0,8793,Tiger Woods,2.87,31,1080
2013,65,0,29420,Billy Horschel,2.89,50,1728
