YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL STROKES,TOTAL HOLES
2015,0,21209,Sergio Garcia,4.01,606,151
2015,0,33461,Morgan Hoffmann,4.01,927,231
2015,0,26300,Matt Jones,4.01,578,144
2015,0,30711,Colt Knost,4.01,999,249
2015,0,34261,Scott Langley,4.01,761,190
2015,0,24781,Hunter Mahan,4.01,681,170
2015,0,1810,Phil Mickelson,4.01,646,161
2015,0,29289,S.Y. Noh,4.01,337,84
2015,0,33667,Carlos Ortiz,4.01,814,203
2015,0,23320,Ryan Palmer,4.01,401,100
2015,0,35451,Scott Pinckney,4.01,935,233
2015,0,26331,Charl Schwartzel,4.01,429,107
2015,0,27649,Brandt Snedeker,4.01,867,216
2015,0,28780,Nicholas Thompson,4.01,875,218
2015,0,25364,Paul Casey,4.02,534,133
2015,0,34262,Jon Curran,4.02,711,177
2015,0,34098,Russell Henley,4.02,712,177
2015,0,36801,Mark Hubbard,4.02,704,175
2015,0,29222,Billy Hurley III,4.02,873,217
2015,0,8075,Jerry Kelly,4.02,519,129
2015,0,23108,Matt Kuchar,4.02,813,202
2015,0,35541,John Peterson,4.02,740,184
2015,0,28486,Michael Putnam,4.02,703,175
2015,0,34360,Patrick Reed,4.02,1044,260
2015,0,29221,Webb Simpson,4.02,583,145
2015,0,34264,Hudson Swafford,4.02,920,229
2015,0,25493,Nick Taylor,4.02,833,207
2015,0,30927,Brendon Todd,4.02,506,126
2015,0,32366,Kevin Chappell,4.03,600,149
2015,0,20229,Stewart Cink,4.03,713,177
2015,0,25720,Chad Collins,4.03,987,245
2015,0,23638,Brendon de Jonge,4.03,734,182
2015,0,6522,Ernie Els,4.03,600,149
2015,0,29420,Billy Horschel,4.03,1088,270
2015,0,21961,Charles Howell III,4.03,815,202
2015,0,34174,John Huh,4.03,886,220
2015,0,1706,Davis Love III,4.03,709,176
2015,0,23800,Bryce Molder,4.03,597,148
2015,0,30946,Alex Prugh,4.03,601,149
2015,0,31560,Brian Stuard,4.03,902,224
2015,0,40026,Daniel Berger,4.04,768,190
2015,0,40058,Zac Blair,4.04,763,189
2015,0,27895,Jonas Blixt,4.04,686,170
2015,0,29479,Scott Brown,4.04,683,169
2015,0,37273,Derek Ernst,4.04,436,108
2015,0,31557,Jim Herman,4.04,961,238
2015,0,27466,Spencer Levin,4.04,840,208
2015,0,25396,Kevin Na,4.04,727,180
2015,0,28475,Jeff Overton,4.04,1235,306
