YEAR,MOVEMENT,PLAYER_ID,PLAYER,%,PAR 3 BIRDIES OR BETTER,PAR 3 HOLES
2017,0,35879,Kelly Kraft,14.19,41,289
2017,0,33399,Adam Hadwin,14.11,56,397
2017,0,46970,Jon Rahm,14.11,47,333
2017,0,32150,Michael Thompson,14.1,32,227
2017,0,29720,Andres Gonzales,14.08,39,277
2017,0,23800,Bryce Molder,14.05,42,299
2017,0,27895,Jonas Blixt,14.04,40,285
2017,0,30944,Jason Kokrak,14.03,54,385
2017,0,27936,Martin Laird,14.03,47,335
2017,0,34360,Patrick Reed,13.97,56,401
2017,0,29221,Webb Simpson,13.97,56,401
2017,0,46732,Rick Lamb,13.93,28,201
2017,0,25349,Tim Wilkinson,13.92,33,237
2017,0,29926,Danny Lee,13.89,50,360
2017,0,23983,Luke Donald,13.85,27,195
2017,0,29908,C.T. Pan,13.83,48,347
2017,0,37454,Whee Kim,13.79,40,290
2017,0,20593,Greg Chalmers,13.78,39,283
2017,0,29223,Sam Saunders,13.78,39,283
2017,0,28132,Tyrone Van Aswegen,13.74,54,393
2017,0,27466,Spencer Levin,13.7,47,343
2017,0,12716,Charley Hoffman,13.69,59,431
2017,0,29725,Tony Finau,13.67,57,417
2017,0,33122,Russell Knox,13.67,38,278
2017,0,23108,Matt Kuchar,13.67,51,373
2017,0,25364,Paul Casey,13.61,49,360
2017,0,30110,Kyle Stanley,13.61,55,404
2017,0,29420,Billy Horschel,13.58,47,346
2017,0,29222,Billy Hurley III,13.48,43,319
2017,0,28500,Martin Flores,13.46,44,327
2017,0,25345,Carl Pettersson,13.45,32,238
2017,0,34358,Jonathan Randolph,13.44,34,253
2017,0,33120,Mark Anderson,13.4,28,209
2017,0,24924,Bill Haas,13.37,46,344
2017,0,39954,Cody Gribble,13.36,41,307
2017,0,28420,Ryan Brehm,13.27,41,309
2017,0,20229,Stewart Cink,13.26,50,377
2017,0,34213,Grayson Murray,13.22,48,363
2017,0,33204,Shane Lowry,13.2,26,197
2017,0,46443,Brian Campbell,13.17,27,205
2017,0,27141,J.B. Holmes,13.11,40,305
2017,0,28093,Miguel Angel Carballo,13.1,30,229
2017,0,23353,J.J. Henry,12.93,45,348
2017,0,25191,Gonzalo Fernandez-Castaño,12.89,29,225
2017,0,27214,Kevin Streelman,12.89,46,357
2017,0,25198,Francesco Molinari,12.85,37,288
2017,0,22371,Aaron Baddeley,12.83,29,226
2017,0,29479,Scott Brown,12.81,47,367
2017,0,32366,Kevin Chappell,12.74,46,361
2017,0,25493,Nick Taylor,12.73,49,385
2017,0,31416,Derek Fathauer,12.54,38,303
2017,0,30926,Chris Kirk,12.54,42,335
2017,0,26758,David Hearn,12.46,43,345
2017,0,1810,Phil Mickelson,12.46,40,321
2017,0,30692,Scott Stallings,12.46,39,313
2017,0,46601,Trey Mullinax,12.39,41,331
2017,0,19846,Brian Gay,12.38,39,315
2017,0,29461,Jamie Lovemark,12.37,48,388
2017,0,34021,Bud Cauley,12.36,44,356
2017,0,24357,K.J. Choi,12.36,33,267
2017,0,24138,Ian Poulter,12.32,34,276
2017,0,23325,Vaughn Taylor,12.31,41,333
2017,0,12510,Chad Campbell,12.24,48,392
2017,0,32333,Kevin Tway,12.18,43,353
2017,0,31202,William McGirt,12.16,40,329
2017,0,21209,Sergio Garcia,12.1,30,248
2017,0,39975,Michael Kim,12.09,44,364
2017,0,21961,Charles Howell III,12.05,40,332
2017,0,46501,Ollie Schniederjans,12.0,42,350
2017,0,31557,Jim Herman,11.96,36,301
2017,0,29478,Kevin Kisner,11.96,47,393
2017,0,27974,Sung Kang,11.92,49,411
2017,0,23541,Ben Crane,11.88,38,320
2017,0,34431,Robert Streb,11.87,45,379
2017,0,24846,Ricky Barnes,11.86,44,371
2017,0,24140,Sean O'Hair,11.8,40,339
2017,0,36801,Mark Hubbard,11.71,35,299
2017,0,37189,Harold Varner III,11.56,46,398
2017,0,27064,Jhonattan Vegas,11.52,41,356
2017,0,20472,Alex Cejka,11.5,36,313
2017,0,22056,Cameron Percy,11.49,30,261
2017,0,32448,James Hahn,11.43,44,385
2017,0,31323,Gary Woodland,11.36,41,361
2017,0,33418,Shawn Stefani,11.31,31,274
2017,0,25900,Lucas Glover,11.26,41,364
2017,0,34264,Hudson Swafford,11.26,41,364
2017,0,29518,Brendan Steele,11.14,37,332
2017,0,48081,Xander Schauffele,11.11,41,369
2017,0,28252,Seamus Power,11.08,36,325
2017,0,24024,Zach Johnson,11.04,34,308
2017,0,10809,Jim Furyk,11.0,23,209
2017,0,25892,Steve Wheatcroft,10.99,21,191
2017,0,6522,Ernie Els,10.95,23,210
2017,0,33461,Morgan Hoffmann,10.92,39,357
2017,0,35300,Andrew Loupe,10.9,23,211
2017,0,24507,Jason Bohn,10.8,31,287
2017,0,20104,Ken Duke,10.8,31,287
2017,0,23320,Ryan Palmer,10.8,23,213
2017,0,36699,Patrick Rodgers,10.74,32,298
2017,0,24361,Pat Perez,10.64,38,357
2017,0,20572,Rod Pampling,10.53,30,285
2017,0,22986,Søren Kjeldsen,10.5,21,200
2017,0,28679,Fabián Gómez,10.34,24,232
2017,0,26331,Charl Schwartzel,10.25,25,244
2017,0,26289,Boo Weekley,10.2,30,294
2017,0,25632,Jimmy Walker,10.12,26,257
2017,0,29476,Kyle Reifers,10.11,36,356
2017,0,25274,Steven Bowditch,9.87,22,223
2017,0,46550,Brandon Hagy,9.71,30,309
2017,0,26329,Louis Oosthuizen,9.68,24,248
2017,0,30852,Ryo Ishikawa,9.65,22,228
2017,0,25804,Bubba Watson,9.6,24,250
2017,0,26596,Ryan Moore,9.49,30,316
2017,0,28237,Rory McIlroy,9.38,18,192
2017,0,24781,Hunter Mahan,9.34,27,289
2017,0,29974,Branden Grace,9.27,23,248
2017,0,25720,Chad Collins,8.37,21,251
2017,0,37455,Si Woo Kim,7.72,23,298
2017,0,32200,Roberto Castro,7.69,21,273
2016,0,33399,Adam Hadwin,19.25,72,374
2016,0,8075,Jerry Kelly,17.8,55,309
2016,0,1810,Phil Mickelson,17.65,51,289
2016,0,24358,Robert Garrigus,17.62,46,261
2016,0,21731,Freddie Jacobson,17.58,61,347
2016,0,26329,Louis Oosthuizen,17.11,39,228
2016,0,24846,Ricky Barnes,17.07,64,375
2016,0,26596,Ryan Moore,17.02,56,329
2016,0,26331,Charl Schwartzel,16.9,48,284
2016,0,2206,David Toms,16.73,42,251
2016,0,33204,Shane Lowry,16.59,36,217
2016,0,34174,John Huh,16.57,57,344
2016,0,26758,David Hearn,16.45,63,383
2016,0,30110,Kyle Stanley,16.34,59,361
2016,0,32640,Troy Merritt,16.29,50,307
2016,0,21209,Sergio Garcia,16.18,33,204
2016,0,28114,Dawie van der Walt,16.01,45,281
2016,0,30925,Dustin Johnson,16.0,52,325
2016,0,30163,Henrik Norlander,15.99,43,269
2016,0,32366,Kevin Chappell,15.92,60,377
2016,0,24024,Zach Johnson,15.88,54,340
2016,0,25349,Tim Wilkinson,15.75,43,273
2016,0,28679,Fabián Gómez,15.71,49,312
2016,0,27214,Kevin Streelman,15.71,52,331
2016,0,33122,Russell Knox,15.69,56,357
2016,0,29268,Bronson Burgoon,15.67,50,319
2016,0,25493,Nick Taylor,15.67,50,319
2016,0,22405,Justin Rose,15.66,39,249
2016,0,34098,Russell Henley,15.64,48,307
2016,0,20157,Retief Goosen,15.63,35,224
2016,0,27936,Martin Laird,15.61,49,314
2016,0,33667,Carlos Ortiz,15.46,47,304
2016,0,24502,Adam Scott,15.46,47,304
2016,0,10809,Jim Furyk,15.38,32,208
2016,0,39975,Michael Kim,15.28,59,386
2016,0,20472,Alex Cejka,15.09,40,265
2016,0,21878,Mark Wilson,15.08,38,252
2016,0,34466,Peter Malnati,15.04,51,339
2016,0,28089,Jason Day,15.02,41,273
2016,0,27141,J.B. Holmes,15.02,44,293
2016,0,25720,Chad Collins,14.92,44,295
2016,0,25396,Kevin Na,14.85,56,377
2016,0,26951,Johnson Wagner,14.83,51,344
2016,0,36689,Brooks Koepka,14.8,41,277
2016,0,31560,Brian Stuard,14.72,39,265
2016,0,28158,Steve Marino,14.65,40,273
2016,0,34563,Chesson Hadley,14.64,47,321
2016,0,25240,D.A. Points,14.63,30,205
2016,0,35451,Scott Pinckney,14.62,50,342
2016,0,23320,Ryan Palmer,14.61,51,349
2016,0,34431,Robert Streb,14.58,49,336
2016,0,22371,Aaron Baddeley,14.57,52,357
2016,0,34262,Jon Curran,14.54,58,399
2016,0,20848,Ángel Cabrera,14.52,36,248
2016,0,35300,Andrew Loupe,14.52,44,303
2016,0,33419,Cameron Tringale,14.52,45,310
2016,0,34046,Jordan Spieth,14.43,44,305
2016,0,27466,Spencer Levin,14.39,58,403
2016,0,32839,Hideki Matsuyama,14.38,42,292
2016,0,27770,Camilo Villegas,14.38,46,320
2016,0,33448,Justin Thomas,14.32,55,384
2016,0,6522,Ernie Els,14.29,38,266
2016,0,32150,Michael Thompson,14.29,39,273
2016,0,29478,Kevin Kisner,14.25,53,372
2016,0,25900,Lucas Glover,14.19,43,303
2016,0,32757,Patton Kizzire,14.17,51,360
2016,0,30926,Chris Kirk,14.12,48,340
2016,0,28132,Tyrone Van Aswegen,14.11,58,411
2016,0,10213,Dicky Pride,14.08,30,213
2016,0,26289,Boo Weekley,14.07,47,334
2016,0,12716,Charley Hoffman,14.04,50,356
2016,0,36699,Patrick Rodgers,14.04,48,342
2016,0,35539,Luke Guthrie,14.03,31,221
2016,0,34409,David Lingmerth,14.02,45,321
2016,0,45526,Abraham Ancer,13.99,27,193
2016,0,31202,William McGirt,13.99,55,393
2016,0,28092,D.H. Lee,13.97,32,229
2016,0,23800,Bryce Molder,13.97,44,315
2016,0,20572,Rod Pampling,13.93,28,201
2016,0,33413,Ben Martin,13.88,49,353
2016,0,25572,Graeme McDowell,13.87,33,238
2016,0,40058,Zac Blair,13.84,53,383
2016,0,27942,Rob Oppenheim,13.83,35,253
2016,0,34360,Patrick Reed,13.83,56,405
2016,0,6527,Steve Stricker,13.82,30,217
2016,0,46440,Smylie Kaufman,13.79,48,348
2016,0,25274,Steven Bowditch,13.78,39,283
2016,0,23325,Vaughn Taylor,13.75,40,291
2016,0,29479,Scott Brown,13.73,49,357
2016,0,24924,Bill Haas,13.68,45,329
2016,0,25686,Jason Dufner,13.56,56,413
2016,0,30711,Colt Knost,13.54,47,347
2016,0,20691,Greg Owen,13.54,44,325
2016,0,35532,Tom Hoge,13.5,42,311
2016,0,24357,K.J. Choi,13.47,40,297
2016,0,29745,Tyler Aldridge,13.4,43,321
2016,0,29476,Kyle Reifers,13.39,60,448
2016,0,20229,Stewart Cink,13.36,33,247
2016,0,29720,Andres Gonzales,13.33,42,315
2016,0,34264,Hudson Swafford,13.33,56,420
2016,0,22892,Jason Gore,13.29,40,301
2016,0,25834,Daniel Summerhays,13.22,53,401
2016,0,31646,Emiliano Grillo,13.2,47,356
2016,0,26476,Chez Reavie,13.18,46,349
2016,0,24140,Sean O'Hair,13.13,47,358
2016,0,30944,Jason Kokrak,13.09,47,359
2016,0,26300,Matt Jones,13.08,42,321
2016,0,23541,Ben Crane,13.07,40,306
2016,0,40026,Daniel Berger,13.06,47,360
2016,0,34261,Scott Langley,13.04,33,253
2016,0,32448,James Hahn,12.98,44,339
2016,0,6567,Vijay Singh,12.97,38,293
2016,0,35545,Blayne Barber,12.96,42,324
2016,0,25818,Scott Piercy,12.95,43,332
2016,0,37454,Whee Kim,12.93,41,317
2016,0,28237,Rory McIlroy,12.9,32,248
2016,0,34099,Harris English,12.82,50,390
2016,0,25804,Bubba Watson,12.82,35,273
2016,0,29926,Danny Lee,12.78,46,360
2016,0,23983,Luke Donald,12.77,42,329
2016,0,27974,Sung Kang,12.75,45,353
2016,0,27649,Brandt Snedeker,12.75,45,353
2016,0,33141,Keegan Bradley,12.73,42,330
2016,0,12510,Chad Campbell,12.71,46,362
2016,0,35879,Kelly Kraft,12.66,30,237
2016,0,23108,Matt Kuchar,12.63,49,388
2016,0,27895,Jonas Blixt,12.62,39,309
2016,0,23638,Brendon de Jonge,12.58,41,326
2016,0,22046,Geoff Ogilvy,12.55,30,239
2016,0,29420,Billy Horschel,12.5,35,280
2016,0,29223,Sam Saunders,12.45,33,265
2016,0,20766,Padraig Harrington,12.44,27,217
2016,0,29221,Webb Simpson,12.41,35,282
2016,0,30692,Scott Stallings,12.41,35,282
2016,0,27064,Jhonattan Vegas,12.33,46,373
2016,0,35732,Wes Roach,12.22,27,221
2016,0,33410,Andrew Landry,12.18,24,197
2016,0,27747,Hiroshi Iwata,12.17,41,337
2016,0,31416,Derek Fathauer,12.14,46,379
2016,0,20645,John Senden,12.14,42,346
2016,0,37455,Si Woo Kim,12.07,53,439
2016,0,24490,George McNeill,12.02,25,208
2016,0,24912,Will MacKenzie,12.0,39,325
2016,0,32618,Rhein Gibson,11.98,26,217
2016,0,21961,Charles Howell III,11.96,44,368
2016,0,36801,Mark Hubbard,11.96,47,393
2016,0,24507,Jason Bohn,11.9,32,269
2016,0,29974,Branden Grace,11.89,29,244
2016,0,33461,Morgan Hoffmann,11.85,32,270
2016,0,25892,Steve Wheatcroft,11.85,39,329
2016,0,28475,Jeff Overton,11.83,31,262
2016,0,25364,Paul Casey,11.82,35,296
2016,0,37273,Derek Ernst,11.79,27,229
2016,0,32200,Roberto Castro,11.76,46,391
2016,0,27644,Brian Harman,11.72,49,418
2016,0,34265,Will Wilcox,11.7,31,265
2016,0,29485,Brett Stegmaier,11.59,40,345
2016,0,20098,Stuart Appleby,11.51,32,278
2016,0,27963,Chris Stroud,11.46,37,323
2016,0,27129,Luke List,11.25,35,311
2016,0,31420,Anirban Lahiri,11.23,31,276
2016,0,27436,Graham DeLaet,11.19,30,268
2016,0,24461,Thomas Aiken,11.15,30,269
2016,0,32876,Martin Piller,10.92,25,229
2016,0,23621,Rory Sabbatini,10.86,24,221
2016,0,25198,Francesco Molinari,10.85,28,258
2016,0,37189,Harold Varner III,10.81,40,370
2016,0,33418,Shawn Stefani,10.8,38,352
2016,0,10885,Robert Allenby,10.68,22,206
2016,0,26851,Marc Leishman,10.47,36,344
2016,0,25632,Jimmy Walker,10.46,34,325
2016,0,20104,Ken Duke,10.41,23,221
2016,0,29725,Tony Finau,10.21,39,382
2016,0,29222,Billy Hurley III,10.11,27,267
2016,0,24781,Hunter Mahan,10.04,25,249
2016,0,35891,Cameron Smith,9.96,28,281
2016,0,29518,Brendan Steele,9.82,33,336
2016,0,32102,Rickie Fowler,9.54,29,304
2016,0,29461,Jamie Lovemark,9.24,34,368
2016,0,31323,Gary Woodland,9.24,34,368
2016,0,23353,J.J. Henry,9.2,24,261
2016,0,29289,S.Y. Noh,9.15,30,328
2016,0,31557,Jim Herman,9.07,34,375
2016,0,24494,Erik Compton,9.06,23,254
2016,0,30927,Brendon Todd,7.84,20,255
2015,0,28089,Jason Day,18.77,52,277
2015,0,34046,Jordan Spieth,18.47,65,352
2015,0,8075,Jerry Kelly,18.32,59,322
2015,0,34265,Will Wilcox,18.3,41,224
2015,0,35539,Luke Guthrie,18.15,61,336
2015,0,34431,Robert Streb,17.76,76,428
2015,0,29926,Danny Lee,17.7,86,486
2015,0,26951,Johnson Wagner,17.52,48,274
2015,0,25396,Kevin Na,17.41,66,379
2015,0,28780,Nicholas Thompson,17.28,61,353
2015,0,22892,Jason Gore,17.18,50,291
2015,0,27963,Chris Stroud,17.16,58,338
2015,0,32102,Rickie Fowler,17.14,48,280
2015,0,34099,Harris English,17.11,70,409
2015,0,29221,Webb Simpson,16.99,52,306
2015,0,23638,Brendon de Jonge,16.63,72,433
2015,0,28023,Byron Smith,16.59,37,223
2015,0,29725,Tony Finau,16.47,71,431
2015,0,22371,Aaron Baddeley,16.44,49,298
2015,0,20645,John Senden,16.38,48,293
2015,0,23320,Ryan Palmer,16.34,50,306
2015,0,24846,Ricky Barnes,16.3,52,319
2015,0,29425,Andrew Svoboda,16.19,51,315
2015,0,24024,Zach Johnson,16.18,55,340
2015,0,21528,Henrik Stenson,16.1,38,236
2015,0,33413,Ben Martin,16.09,56,348
2015,0,30927,Brendon Todd,16.08,59,367
2015,0,28259,Sangmoon Bae,16.03,63,393
2015,0,34098,Russell Henley,15.9,52,327
2015,0,25632,Jimmy Walker,15.77,53,336
2015,0,6567,Vijay Singh,15.63,50,320
2015,0,25892,Steve Wheatcroft,15.63,53,339
2015,0,28132,Tyrone Van Aswegen,15.53,34,219
2015,0,23623,Bo Van Pelt,15.53,50,322
2015,0,25804,Bubba Watson,15.53,41,264
2015,0,24507,Jason Bohn,15.5,60,387
2015,0,22405,Justin Rose,15.5,40,258
2015,0,31557,Jim Herman,15.45,55,356
2015,0,34256,Andrew Putnam,15.44,40,259
2015,0,30736,Oscar Fraustro,15.38,34,221
2015,0,24358,Robert Garrigus,15.38,42,273
2015,0,26758,David Hearn,15.38,60,390
2015,0,28475,Jeff Overton,15.38,58,377
2015,0,35545,Blayne Barber,15.28,46,301
2015,0,39977,Max Homa,15.28,46,301
2015,0,34264,Hudson Swafford,15.25,59,387
2015,0,12510,Chad Campbell,15.23,60,394
2015,0,28486,Michael Putnam,15.19,53,349
2015,0,34360,Patrick Reed,15.19,60,395
2015,0,28679,Fabián Gómez,15.18,51,336
2015,0,35532,Tom Hoge,15.05,48,319
2015,0,34563,Chesson Hadley,15.02,61,406
2015,0,36801,Mark Hubbard,14.97,47,314
2015,0,21753,Brian Davis,14.93,50,335
2015,0,30852,Ryo Ishikawa,14.93,53,355
2015,0,25818,Scott Piercy,14.92,54,362
2015,0,26289,Boo Weekley,14.91,48,322
2015,0,25834,Daniel Summerhays,14.88,61,410
2015,0,26476,Chez Reavie,14.85,34,229
2015,0,2206,David Toms,14.83,35,236
2015,0,28500,Martin Flores,14.82,55,371
2015,0,20593,Greg Chalmers,14.81,32,216
2015,0,32448,James Hahn,14.81,56,378
2015,0,30926,Chris Kirk,14.78,43,291
2015,0,20771,Steven Alker,14.75,36,244
2015,0,24361,Pat Perez,14.73,57,387
2015,0,33486,Roger Sloan,14.69,31,211
2015,0,31202,William McGirt,14.66,61,416
2015,0,24490,George McNeill,14.63,55,376
2015,0,10809,Jim Furyk,14.62,37,253
2015,0,24140,Sean O'Hair,14.53,51,351
2015,0,20104,Ken Duke,14.52,53,365
2015,0,34130,Sung Joon Park,14.47,46,318
2015,0,30925,Dustin Johnson,14.44,41,284
2015,0,30946,Alex Prugh,14.42,47,326
2015,0,27895,Jonas Blixt,14.38,43,299
2015,0,34409,David Lingmerth,14.33,51,356
2015,0,27770,Camilo Villegas,14.33,47,328
2015,0,24494,Erik Compton,14.25,50,351
2015,0,34174,John Huh,14.25,59,414
2015,0,32150,Michael Thompson,14.24,47,330
2015,0,26300,Matt Jones,14.2,48,338
2015,0,35451,Scott Pinckney,14.17,51,360
2015,0,29222,Billy Hurley III,14.15,46,325
2015,0,33418,Shawn Stefani,14.14,54,382
2015,0,22056,Cameron Percy,14.04,40,285
2015,0,29289,S.Y. Noh,14.01,36,257
2015,0,20848,Ángel Cabrera,13.94,29,208
2015,0,37454,Whee Kim,13.93,39,280
2015,0,30711,Colt Knost,13.92,49,352
2015,0,23048,Eric Axley,13.9,31,223
2015,0,33448,Justin Thomas,13.86,60,433
2015,0,27141,J.B. Holmes,13.81,46,333
2015,0,22046,Geoff Ogilvy,13.81,25,181
2015,0,29223,Sam Saunders,13.81,46,333
2015,0,23800,Bryce Molder,13.8,49,355
2015,0,33122,Russell Knox,13.77,53,385
2015,0,32640,Troy Merritt,13.75,51,371
2015,0,25562,Andres Romero,13.75,37,269
2015,0,20157,Retief Goosen,13.73,42,306
2015,0,25900,Lucas Glover,13.66,44,322
2015,0,25191,Gonzalo Fernandez-Castaño,13.65,43,315
2015,0,29476,Kyle Reifers,13.6,51,375
2015,0,26596,Ryan Moore,13.59,42,309
2015,0,23621,Rory Sabbatini,13.55,45,332
2015,0,26851,Marc Leishman,13.45,37,275
2015,0,27064,Jhonattan Vegas,13.43,47,350
2015,0,29479,Scott Brown,13.42,53,395
2015,0,27466,Spencer Levin,13.35,53,397
2015,0,20396,Lee Westwood,13.24,27,204
2015,0,27933,John Merrick,13.2,40,303
2015,0,20766,Padraig Harrington,13.19,31,235
2015,0,27436,Graham DeLaet,13.18,34,258
2015,0,23108,Matt Kuchar,13.14,49,373
2015,0,29535,Brice Garnett,13.13,42,320
2015,0,33419,Cameron Tringale,13.09,50,382
2015,0,25364,Paul Casey,13.08,42,321
2015,0,12716,Charley Hoffman,13.07,49,375
2015,0,34261,Scott Langley,13.07,49,375
2015,0,25720,Chad Collins,13.04,42,322
2015,0,25686,Jason Dufner,13.01,38,292
2015,0,26331,Charl Schwartzel,13.01,32,246
2015,0,31560,Brian Stuard,13.0,49,377
2015,0,27649,Brandt Snedeker,12.99,50,385
2015,0,29518,Brendan Steele,12.98,44,339
2015,0,32334,Charlie Beljan,12.97,38,293
2015,0,27214,Kevin Streelman,12.95,47,363
2015,0,23541,Ben Crane,12.93,30,232
2015,0,25493,Nick Taylor,12.84,47,366
2015,0,29420,Billy Horschel,12.8,48,375
2015,0,33667,Carlos Ortiz,12.79,50,391
2015,0,24925,Jonathan Byrd,12.78,34,266
2015,0,23548,Bill Lunde,12.77,24,188
2015,0,1810,Phil Mickelson,12.77,35,274
2015,0,29478,Kevin Kisner,12.68,53,418
2015,0,1706,Davis Love III,12.68,26,205
2015,0,35541,John Peterson,12.57,43,342
2015,0,27095,Nick Watney,12.57,47,374
2015,0,40026,Daniel Berger,12.53,49,391
2015,0,40058,Zac Blair,12.53,53,423
2015,0,30944,Jason Kokrak,12.53,45,359
2015,0,30692,Scott Stallings,12.5,30,240
2015,0,33141,Keegan Bradley,12.46,42,337
2015,0,31416,Derek Fathauer,12.46,39,313
2015,0,21878,Mark Wilson,12.43,43,346
2015,0,32366,Kevin Chappell,12.39,43,347
2015,0,27936,Martin Laird,12.38,39,315
2015,0,33399,Adam Hadwin,12.34,47,381
2015,0,34262,Jon Curran,12.31,40,325
2015,0,25274,Steven Bowditch,12.29,50,407
2015,0,29720,Andres Gonzales,12.25,43,351
2015,0,20229,Stewart Cink,12.13,37,305
2015,0,27644,Brian Harman,12.04,43,357
2015,0,23353,J.J. Henry,12.02,44,366
2015,0,20472,Alex Cejka,12.0,45,375
2015,0,31323,Gary Woodland,11.95,35,293
2015,0,21961,Charles Howell III,11.94,51,427
2015,0,10860,Justin Leonard,11.93,29,243
2015,0,32839,Hideki Matsuyama,11.93,42,352
2015,0,25345,Carl Pettersson,11.92,51,428
2015,0,26329,Louis Oosthuizen,11.79,29,246
2015,0,21209,Sergio Garcia,11.57,25,216
2015,0,34358,Jonathan Randolph,11.5,33,287
2015,0,32200,Roberto Castro,11.22,23,205
2015,0,6522,Ernie Els,11.21,25,223
2015,0,36699,Patrick Rodgers,11.16,24,215
2015,0,24138,Ian Poulter,11.11,29,261
2015,0,36689,Brooks Koepka,10.97,35,319
2015,0,20691,Greg Owen,10.92,25,229
2015,0,10885,Robert Allenby,10.88,26,239
2015,0,25240,D.A. Points,10.84,31,286
2015,0,22293,Heath Slocum,10.65,23,216
2015,0,25349,Tim Wilkinson,10.38,30,289
2015,0,28307,Matt Every,10.22,28,274
2015,0,31193,Jim Renner,9.74,26,267
2015,0,33461,Morgan Hoffmann,9.73,33,339
2015,0,24357,K.J. Choi,9.6,24,250
2015,0,25198,Francesco Molinari,9.52,20,210
2015,0,24924,Bill Haas,9.36,32,342
2015,0,25369,Jamie Donaldson,9.34,17,182
2015,0,23983,Luke Donald,9.25,26,281
2015,0,24502,Adam Scott,9.14,17,186
2015,0,37273,Derek Ernst,8.9,26,292
2015,0,24781,Hunter Mahan,8.84,29,328
2014,0,25632,Jimmy Walker,18.11,69,381
2014,0,26596,Ryan Moore,18.07,60,332
2014,0,30925,Dustin Johnson,17.78,40,225
2014,0,28132,Tyrone Van Aswegen,17.78,56,315
2014,0,29479,Scott Brown,17.71,71,401
2014,0,34099,Harris English,17.57,65,370
2014,0,26331,Charl Schwartzel,17.34,43,248
2014,0,23621,Rory Sabbatini,16.93,54,319
2014,0,30750,Tommy Gainey,16.67,47,282
2014,0,10885,Robert Allenby,16.41,54,329
2014,0,30927,Brendon Todd,16.4,72,439
2014,0,23623,Bo Van Pelt,16.32,55,337
2014,0,31202,William McGirt,16.2,63,389
2014,0,23135,Tim Clark,16.17,49,303
2014,0,26679,Kevin Stadler,16.16,58,359
2014,0,24912,Will MacKenzie,16.12,54,335
2014,0,28237,Rory McIlroy,16.02,41,256
2014,0,32640,Troy Merritt,16.0,40,250
2014,0,24846,Ricky Barnes,15.97,57,357
2014,0,21209,Sergio Garcia,15.95,37,232
2014,0,20229,Stewart Cink,15.76,58,368
2014,0,35732,Wes Roach,15.63,40,256
2014,0,35541,John Peterson,15.57,38,244
2014,0,30852,Ryo Ishikawa,15.36,47,306
2014,0,12716,Charley Hoffman,15.3,58,379
2014,0,27963,Chris Stroud,15.3,54,353
2014,0,33141,Keegan Bradley,15.25,54,354
2014,0,25191,Gonzalo Fernandez-Castaño,15.24,50,328
2014,0,27408,Martin Kaymer,15.23,39,256
2014,0,23541,Ben Crane,15.15,50,330
2014,0,27644,Brian Harman,15.08,68,451
2014,0,26329,Louis Oosthuizen,15.05,28,186
2014,0,25834,Daniel Summerhays,15.04,60,399
2014,0,34046,Jordan Spieth,15.01,59,393
2014,0,35139,Richard Lee,14.87,47,316
2014,0,32150,Michael Thompson,14.81,44,297
2014,0,35539,Luke Guthrie,14.78,51,345
2014,0,34261,Scott Langley,14.78,56,379
2014,0,24358,Robert Garrigus,14.72,48,326
2014,0,30944,Jason Kokrak,14.66,39,266
2014,0,24490,George McNeill,14.64,47,321
2014,0,30110,Kyle Stanley,14.63,49,335
2014,0,23320,Ryan Palmer,14.58,50,343
2014,0,27770,Camilo Villegas,14.58,56,384
2014,0,29926,Danny Lee,14.51,47,324
2014,0,26851,Marc Leishman,14.51,47,324
2014,0,31560,Brian Stuard,14.49,51,352
2014,0,29425,Andrew Svoboda,14.47,45,311
2014,0,12510,Chad Campbell,14.42,31,215
2014,0,28307,Matt Every,14.41,50,347
2014,0,1810,Phil Mickelson,14.39,41,285
2014,0,10860,Justin Leonard,14.38,44,306
2014,0,20104,Ken Duke,14.33,45,314
2014,0,26300,Matt Jones,14.33,48,335
2014,0,21731,Freddie Jacobson,14.29,53,371
2014,0,34264,Hudson Swafford,14.29,41,287
2014,0,26758,David Hearn,14.25,56,393
2014,0,24502,Adam Scott,14.18,38,268
2014,0,20098,Stuart Appleby,14.17,52,367
2014,0,36689,Brooks Koepka,14.16,32,226
2014,0,25444,Justin Hicks,14.14,57,403
2014,0,33122,Russell Knox,14.13,53,375
2014,0,27436,Graham DeLaet,14.06,45,320
2014,0,23983,Luke Donald,14.04,32,228
2014,0,34174,John Huh,14.03,47,335
2014,0,34098,Russell Henley,13.97,51,365
2014,0,27649,Brandt Snedeker,13.96,49,351
2014,0,30692,Scott Stallings,13.96,43,308
2014,0,20645,John Senden,13.9,56,403
2014,0,32366,Kevin Chappell,13.88,54,389
2014,0,24024,Zach Johnson,13.87,53,382
2014,0,25720,Chad Collins,13.86,42,303
2014,0,30926,Chris Kirk,13.8,57,413
2014,0,20498,Briny Baird,13.79,28,203
2014,0,32839,Hideki Matsuyama,13.75,44,320
2014,0,29420,Billy Horschel,13.69,49,358
2014,0,20848,Ángel Cabrera,13.67,38,278
2014,0,22293,Heath Slocum,13.67,38,278
2014,0,2206,David Toms,13.55,34,251
2014,0,29222,Billy Hurley III,13.54,47,347
2014,0,6522,Ernie Els,13.52,43,318
2014,0,28486,Michael Putnam,13.49,56,415
2014,0,33461,Morgan Hoffmann,13.47,54,401
2014,0,24361,Pat Perez,13.41,46,343
