YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG RTP
2016,0,23621,Rory Sabbatini,+.400
2016,0,29478,Kevin Kisner,+.404
2016,0,33419,Cameron Tringale,+.407
2016,0,31557,Jim Herman,+.413
2016,0,20848,Ángel Cabrera,+.414
2016,0,28158,Steve Marino,+.415
2016,0,21209,Sergio Garcia,+.417
2016,0,28092,D.H. Lee,+.417
2016,0,34409,David Lingmerth,+.424
2016,0,23353,J.J. Henry,+.432
2016,0,30110,Kyle Stanley,+.442
2016,0,32150,Michael Thompson,+.444
2016,0,20766,Padraig Harrington,+.448
2016,0,27141,J.B. Holmes,+.448
2016,0,24490,George McNeill,+.455
2016,0,25274,Steven Bowditch,+.468
2016,0,30163,Henrik Norlander,+.474
2016,0,37189,Harold Varner III,+.480
2016,0,35732,Wes Roach,+.500
2015,0,34265,Will Wilcox,-.125
2015,0,10809,Jim Furyk,-.040
2015,0,28089,Jason Day,-.030
2015,0,29926,Danny Lee,-.015
2015,0,36689,Brooks Koepka,E
2015,0,23621,Rory Sabbatini,E
2015,0,34130,Sung Joon Park,+.031
2015,0,36699,Patrick Rodgers,+.036
2015,0,21528,Henrik Stenson,+.043
2015,0,34431,Robert Streb,+.061
2015,0,34264,Hudson Swafford,+.067
2015,0,29725,Tony Finau,+.070
2015,0,30736,Oscar Fraustro,+.071
2015,0,27644,Brian Harman,+.081
2015,0,1810,Phil Mickelson,+.081
2015,0,27064,Jhonattan Vegas,+.081
2015,0,32640,Troy Merritt,+.082
2015,0,29720,Andres Gonzales,+.091
2015,0,23108,Matt Kuchar,+.098
2015,0,31560,Brian Stuard,+.105
2015,0,26951,Johnson Wagner,+.105
2015,0,33667,Carlos Ortiz,+.106
2015,0,40026,Daniel Berger,+.111
2015,0,21209,Sergio Garcia,+.111
2015,0,32102,Rickie Fowler,+.115
2015,0,34046,Jordan Spieth,+.118
2015,0,25369,Jamie Donaldson,+.120
2015,0,21961,Charles Howell III,+.121
2015,0,20157,Retief Goosen,+.125
2015,0,23320,Ryan Palmer,+.125
2015,0,24138,Ian Poulter,+.125
2015,0,33448,Justin Thomas,+.130
2015,0,34262,Jon Curran,+.135
2015,0,31416,Derek Fathauer,+.140
2015,0,33122,Russell Knox,+.140
2015,0,23983,Luke Donald,+.146
2015,0,29420,Billy Horschel,+.147
2015,0,24357,K.J. Choi,+.150
2015,0,27436,Graham DeLaet,+.152
2015,0,12716,Charley Hoffman,+.156
2015,0,27214,Kevin Streelman,+.156
2015,0,36801,Mark Hubbard,+.159
2015,0,25345,Carl Pettersson,+.163
2015,0,27770,Camilo Villegas,+.164
2015,0,25900,Lucas Glover,+.167
2015,0,24502,Adam Scott,+.167
2015,0,29518,Brendan Steele,+.167
2015,0,34098,Russell Henley,+.171
2015,0,25720,Chad Collins,+.174
2015,0,30927,Brendon Todd,+.174
2015,0,26596,Ryan Moore,+.176
2015,0,35541,John Peterson,+.178
2015,0,22371,Aaron Baddeley,+.179
2015,0,10860,Justin Leonard,+.179
2015,0,25198,Francesco Molinari,+.179
2015,0,25396,Kevin Na,+.179
2015,0,28132,Tyrone Van Aswegen,+.179
2015,0,31202,William McGirt,+.182
2015,0,27649,Brandt Snedeker,+.182
2015,0,35545,Blayne Barber,+.185
2015,0,37273,Derek Ernst,+.188
2015,0,26289,Boo Weekley,+.189
