YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,DISTANCE,TOURNAMENT,ROUND- COURSE,HOLE
2018,51,0,27141,J.B. Holmes,143,Travelers Champ,3,14 - Par 4
2018,52,0,35506,Mackenzie Hughes,143,the Memorial,2,11 - Par 5
2018,53,0,24748,WC Liang,141,U.S. Open,2,1 - Par 4 -
2018,54,0,29926,Danny Lee,140,RBC Heritage,3,12 - Par 4
2018,55,0,29268,Bronson Burgoon,140,Dell Tech Champ,2,17 - Par 4
2018,56,0,30911,Tommy Fleetwood,140,Honda Classic,3,4 - Par 4 -
2018,57,0,53165,Doc Redman,140,Quicken Loans,4,1 - Par 4 -
2018,58,0,27644,Brian Harman,139,U.S. Open,3,12 - Par 4
2018,59,0,23638,Brendon de Jonge,138,The RSM Classic,2,13 - Par 4
2018,61,0,32839,Hideki Matsuyama,137,the Memorial,1,17 - Par 4
2018,62,0,35174,Matthew Southgate,136,U.S. Open,2,15 - Par 4
2018,63,0,23621,Rory Sabbatini,134,Fort Worth Invt,3,18 - Par 4
2018,65,0,32640,Troy Merritt,133,Barbasol Champ,4,8 - Par 4 -
2018,66,0,27936,Martin Laird,132,THE PLAYERS,1,4 - Par 4 -
2018,70,0,31560,Brian Stuard,129,the Memorial,3,5 - Par 5 -
2018,71,0,37338,Zecheng Dou,129,AT&T Pebble,4,2 - Par 5 -
2018,72,0,28679,Fabián Gómez,128,Houston Open,2,1 - Par 4 -
2018,73,0,39954,Cody Gribble,127,Byron Nelson,3,15 - Par 4
2018,74,0,27958,Ryan Blaum,125,Shriners Hosp,4,7 - Par 4 -
2018,75,0,33419,Cameron Tringale,125,Wyndham Champ,1,4 - Par 4 -
2018,76,0,32333,Kevin Tway,125,Dell Tech Champ,2,13 - Par 4
2018,77,0,30978,Kiradech Aphibarnrat,123,Honda Classic,3,1 - Par 4 -
2018,79,0,47287,Ethan Tracy,121,Texas Open,1,12 - Par 4
2018,80,0,27963,Chris Stroud,121,Houston Open,2,10 - Par 4
2018,81,0,33122,Russell Knox,121,Fort Worth Invt,3,3 - Par 4 -
2018,82,0,31416,Derek Fathauer,120,Genesis Open,3,3 - Par 4 -
2018,83,0,22405,Justin Rose,120,Valspar Champ,3,11 - Par 5
2018,84,0,23541,Ben Crane,120,Houston Open,2,3 - Par 4 -
2018,85,0,32757,Patton Kizzire,120,The RSM Classic,1,10 - Par 4
2018,86,0,45609,Tyler Duncan,119,Safeway Open,1,10 - Par 4
2018,87,0,25686,Jason Dufner,118,U.S. Open,2,9 - Par 4 -
2018,88,0,33491,Brittany Lincicome,116,Barbasol Champ,2,17 - Par 5
2018,98,0,25818,Scott Piercy,110,Wyndham Champ,4,10 - Par 4
2018,99,0,33410,Andrew Landry,110,Sanderson Farms,1,14 - Par 5
2018,101,0,34256,Andrew Putnam,109,Texas Open,1,11 - Par 4
2018,102,0,46501,Ollie Schniederjans,109,Fort Worth Invt,3,6 - Par 4 -
2018,103,0,22371,Aaron Baddeley,109,Barbasol Champ,2,10 - Par 4
2018,105,0,19803,Ryan Armour,105,Dell Tech Champ,1,18 - Par 5
2018,107,0,34363,Tyrrell Hatton,104,Wells Fargo,1,8 - Par 4 -
2018,108,0,33974,Dean Burmester,103,U.S. Open,1,18 - Par 4
2018,109,0,40026,Daniel Berger,103,Dell Tech Champ,4,10 - Par 4
2018,110,0,35541,John Peterson,103,Wells Fargo,1,8 - Par 4 -
2018,113,0,47959,Bryson DeChambeau,100,TOUR Champ,3,17 - Par 4
2018,116,0,28158,Steve Marino,99,Texas Open,2,2 - Par 5 -
2018,117,0,24925,Jonathan Byrd,98,Barbasol Champ,4,10 - Par 4
2018,118,0,32150,Michael Thompson,97,Quicken Loans,1,1 - Par 4 -
2018,119,0,29484,Peter Uihlein,97,WGC-Mexico,3,6 - Par 5 -
2018,121,0,8793,Tiger Woods,95,the Memorial,2,11 - Par 5
2018,122,0,40058,Zac Blair,94,CareerBuilder,2,12 - Par 4
2018,123,0,39975,Michael Kim,94,Texas Open,2,2 - Par 5 -
2018,124,0,30926,Chris Kirk,93,Canadian Open,2,13 - Par 5
2018,128,0,35461,Beau Hossler,85,Quicken Loans,4,5 - Par 4 -
2018,129,0,49964,Aaron Wise,85,BMW Champ,2,13 - Par 4
2018,130,0,34431,Robert Streb,84,Wyndham Champ,2,18 - Par 4
2018,132,0,35421,Brandon Harkins,80,Texas Open,2,8 - Par 5 -
2018,134,0,29908,C.T. Pan,77,THE PLAYERS,1,9 - Par 5 -
2018,135,0,10375,Sean McCarty,73,John Deere,2,10 - Par 5
2018,139,0,34021,Bud Cauley,69,Farmers Ins,3,6 - Par 5 -
2018,140,0,6527,Steve Stricker,68,Canadian Open,3,2 - Par 5 -
2018,141,0,37189,Harold Varner III,67,THE PLAYERS,2,11 - Par 5
2018,142,0,33948,Byeong Hun An,63,Houston Open,2,12 - Par 4
2018,143,0,6522,Ernie Els,62,Houston Open,3,13 - Par 5
2018,144,0,52330,Dylan Meyer,62,Quicken Loans,1,1 - Par 4 -
2018,145,0,27349,Alex Noren,61,BMW Champ,2,9 - Par 5 -
2018,147,0,23320,Ryan Palmer,61,NORTHERN TRUST,4,3 - Par 5 -
2018,151,0,34358,Jonathan Randolph,58,AT&T Pebble,4,4 - Par 4 -
2018,153,0,35891,Cameron Smith,54,U.S. Open,2,16 - Par 5
2018,154,0,51600,Jimmy Stanger,53,Shriners Hosp,1,15 - Par 4
2018,157,0,39327,Ben Silverman,50,The Greenbrier,1,17 - Par 5
2018,158,0,29222,Billy Hurley III,50,RBC Heritage,2,9 - Par 4 -
2018,159,0,29420,Billy Horschel,49,Arnold Palmer,4,4 - Par 5 -
2018,162,0,29479,Scott Brown,47,Sony Open,3,10 - Par 4
2018,164,0,37455,Si Woo Kim,45,Texas Open,3,8 - Par 5 -
2018,166,0,33399,Adam Hadwin,41,Genesis Open,2,17 - Par 5
2018,168,0,35376,Roberto Díaz,40,Wells Fargo,2,15 - Par 5
2018,169,0,26300,Matt Jones,40,Sanderson Farms,2,11 - Par 5
2018,170,0,40009,Dominic Bozzelli,40,Wyndham Champ,2,5 - Par 5 -
2018,172,0,39384,Alex Kang,39,Shriners Hosp,4,13 - Par 5
2018,174,0,21961,Charles Howell III,39,St. Jude,4,12 - Par 4
2018,177,0,27214,Kevin Streelman,37,Texas Open,4,13 - Par 3
2018,179,0,46402,Talor Gooch,36,Wells Fargo,2,8 - Par 4 -
2018,180,0,46585,Brian Norman,35,Byron Nelson,2,7 - Par 5 -
2018,181,0,32366,Kevin Chappell,35,Arnold Palmer,4,10 - Par 4
2018,183,0,34360,Patrick Reed,34,Farmers Ins,3,15 - Par 4
2018,186,0,39546,Keith Mitchell,34,Texas Open,1,1 - Par 4 -
2018,190,0,34046,Jordan Spieth,33,Genesis Open,1,5 - Par 4 -
2018,192,0,28089,Jason Day,33,Wells Fargo,2,10 - Par 5
2018,196,0,20157,Retief Goosen,32,Genesis Open,4,4 - Par 3 -
2018,197,0,24024,Zach Johnson,32,WGC-Bridgestone,4,8 - Par 4 -
2018,201,0,28307,Matt Every,32,John Deere,1,17 - Par 5
2018,204,0,46601,Trey Mullinax,32,Texas Open,3,14 - Par 5
2018,207,0,20104,Ken Duke,31,Safeway Open,1,6 - Par 4 -
2018,208,0,39324,J.J. Spaun,31,Byron Nelson,1,2 - Par 3 -
2018,209,0,25396,Kevin Na,31,Fort Worth Invt,1,9 - Par 4 -
2018,216,0,45526,Abraham Ancer,30,Genesis Open,1,4 - Par 3 -
2018,217,0,28775,Nate Lashley,29,Farmers Ins,1,4 - Par 4 -
2018,218,0,24490,George McNeill,29,Sanderson Farms,3,1 - Par 4 -
2018,219,0,20098,Stuart Appleby,29,Sanderson Farms,1,11 - Par 5
2018,220,0,28259,Sangmoon Bae,29,Wyndham Champ,3,11 - Par 4
2018,222,0,36699,Patrick Rodgers,29,Genesis Open,2,14 - Par 3
2018,223,0,25493,Nick Taylor,29,THE PLAYERS,2,8 - Par 3 -
2018,229,0,30692,Scott Stallings,29,Houston Open,2,13 - Par 5
2018,230,0,27330,Josh Teater,29,The RSM Classic,1,4 - Par 4 -
2018,233,0,39480,T.J. Vogel,28,Byron Nelson,1,1 - Par 5 -
2018,235,0,52144,Braden Thornberry,28,St. Jude,2,6 - Par 4 -
2018,236,0,27942,Rob Oppenheim,28,Houston Open,4,13 - Par 5
2018,237,0,54687,Broc Everett,28,John Deere,1,2 - Par 5 -
2018,239,0,29478,Kevin Kisner,28,The RSM Classic,1,3 - Par 3 -
2018,241,0,31323,Gary Woodland,28,WGC-Mexico,4,11 - Par 5
2018,242,0,22056,Cameron Percy,28,Wyndham Champ,1,5 - Par 5 -
2018,244,0,34099,Harris English,28,CareerBuilder,4,16 - Par 5
2018,247,0,24361,Pat Perez,27,Genesis Open,2,15 - Par 4
2018,249,0,32698,Bobby Gates,27,Houston Open,4,15 - Par 5
2018,254,0,29485,Brett Stegmaier,27,Canadian Open,1,5 - Par 4 -
2018,255,0,26499,Rafa Cabrera Bello,27,U.S. Open,1,2 - Par 3 -
2018,256,0,31420,Anirban Lahiri,27,the Memorial,3,2 - Par 4 -
2018,258,0,20472,Alex Cejka,27,Valspar Champ,2,6 - Par 4 -
2018,260,0,1810,Phil Mickelson,26,TOUR Champ,1,13 - Par 4
2018,266,0,52372,Cameron Champ,26,Texas Open,1,3 - Par 3 -
2018,268,0,46442,Maverick McNealy,26,Byron Nelson,3,15 - Par 4
2018,269,0,33413,Ben Martin,26,The RSM Classic,4,11 - Par 4
2018,273,0,23409,James Driscoll,26,Wyndham Champ,2,4 - Par 4 -
2018,276,0,35546,J.T. Griffin,25,Wells Fargo,2,15 - Par 5
2018,283,0,28252,Seamus Power,25,Sony Open,4,9 - Par 5 -
2018,284,0,25198,Francesco Molinari,25,U.S. Open,3,10 - Par 4
2018,287,0,30944,Jason Kokrak,24,Valspar Champ,2,16 - Par 4
2018,290,0,26596,Ryan Moore,24,Honda Classic,3,18 - Par 5
2018,312,0,39328,Conrad Shindler,23,Safeway Open,1,5 - Par 5 -
2018,313,0,29461,Jamie Lovemark,23,The Greenbrier,3,11 - Par 4
2018,320,0,34579,Alexander Levy,23,THE PLAYERS,2,2 - Par 5 -
2018,321,0,28132,Tyrone Van Aswegen,23,Sanderson Farms,2,7 - Par 3 -
2018,323,0,23108,Matt Kuchar,23,Byron Nelson,1,2 - Par 3 -
2018,325,0,12510,Chad Campbell,23,Phoenix Open,2,8 - Par 4 -
2018,326,0,8075,Jerry Kelly,23,Sony Open,1,4 - Par 3 -
2018,327,0,20594,David Bransdon,23,U.S. Open,1,9 - Par 4 -
2018,329,0,12716,Charley Hoffman,23,RBC Heritage,3,10 - Par 4
2018,330,0,23353,J.J. Henry,23,RBC Heritage,2,18 - Par 4
2018,333,0,26476,Chez Reavie,22,Safeway Open,1,7 - Par 3 -
2018,335,0,27064,Jhonattan Vegas,22,U.S. Open,3,15 - Par 4
2018,337,0,24924,Bill Haas,22,the Memorial,2,13 - Par 4
2018,338,0,34098,Russell Henley,22,The Greenbrier,4,3 - Par 3 -
2018,340,0,29377,Tatsuya Kodai,22,Sony Open,2,16 - Par 4
2018,342,0,30110,Kyle Stanley,22,NORTHERN TRUST,3,8 - Par 4 -
2018,343,0,29974,Branden Grace,22,Byron Nelson,4,14 - Par 5
2018,345,0,27770,Camilo Villegas,22,Honda Classic,1,8 - Par 4 -
2018,347,0,35310,Lanto Griffin,22,Honda Classic,2,12 - Par 4
2018,352,0,33204,Shane Lowry,22,St. Jude,3,13 - Par 4
2018,354,0,24358,Robert Garrigus,22,CareerBuilder,1,6 - Par 3 -
2018,363,0,20160,Charlie Wi,22,Sanderson Farms,2,10 - Par 3
2018,367,0,37278,Nicholas Lindheim,22,John Deere,2,18 - Par 4
2018,369,0,10809,Jim Furyk,21,Texas Open,2,2 - Par 5 -
2018,370,0,29223,Sam Saunders,21,Valspar Champ,2,6 - Par 4 -
2018,374,0,27974,Sung Kang,21,St. Jude,1,5 - Par 4 -
2018,376,0,28237,Rory McIlroy,21,Valspar Champ,1,7 - Par 4 -
2018,387,0,24846,Ricky Barnes,21,Sanderson Farms,4,15 - Par 4
2018,390,0,37454,Whee Kim,21,Genesis Open,1,3 - Par 4 -
2018,394,0,20593,Greg Chalmers,21,RBC Heritage,1,3 - Par 4 -
2018,396,0,31202,William McGirt,21,Arnold Palmer,1,17 - Par 3
2018,403,0,26392,Chris Wilson,20,Barbasol Champ,1,7 - Par 3 -
2018,404,0,46970,Jon Rahm,20,Dell Tech Champ,1,4 - Par 4 -
2018,412,0,37380,Curtis Luck,20,Arnold Palmer,1,3 - Par 4 -
2018,429,0,39953,Chase Seiffert,20,Travelers Champ,4,5 - Par 3 -
2018,435,0,26418,Adam Bland,20,WGC-Mexico,1,10 - Par 4
2018,436,0,32102,Rickie Fowler,20,Fort Worth Invt,2,16 - Par 3
2018,437,0,35544,Andrew Yun,20,Canadian Open,1,5 - Par 4 -
2018,438,0,29970,Dylan Frittelli,20,WGC-Mexico,3,4 - Par 4 -
2018,441,0,50526,Tom Lovelady,19,Wells Fargo,1,12 - Par 4
2018,444,0,22913,John Rollins,19,St. Jude,1,18 - Par 4
2018,446,0,30750,Tommy Gainey,19,Barbasol Champ,1,4 - Par 4 -
2018,448,0,25892,Steve Wheatcroft,19,Sanderson Farms,2,3 - Par 5 -
2018,449,0,25804,Bubba Watson,19,Dell Tech Champ,3,18 - Par 5
2018,454,0,24781,Hunter Mahan,19,Sanderson Farms,3,15 - Par 4
2018,456,0,21633,Steve Allan,19,Sony Open,1,18 - Par 5
2018,469,0,46507,Bobby Wyatt,19,Safeway Open,2,9 - Par 5 -
2018,490,0,25834,Daniel Summerhays,18,Texas Open,1,14 - Par 5
2018,493,0,29518,Brendan Steele,18,Dell Tech Champ,2,11 - Par 3
2018,496,0,34264,Hudson Swafford,18,Byron Nelson,2,5 - Par 4 -
2018,502,0,25572,Graeme McDowell,18,Genesis Open,2,4 - Par 3 -
2018,505,0,55421,Chip McDaniel,18,Barbasol Champ,1,17 - Par 5
2018,506,0,34262,Jon Curran,18,Sony Open,2,9 - Par 5 -
2018,507,0,1200,Keith Clearwater,18,Fort Worth Invt,2,14 - Par 4
2018,514,0,35532,Tom Hoge,18,THE PLAYERS,2,13 - Par 3
2018,524,0,37275,Sam Ryder,18,Valspar Champ,3,16 - Par 4
2018,533,0,40098,Matt Fitzpatrick,18,Arnold Palmer,1,11 - Par 4
2018,542,0,12782,Tim Herron,17,Sanderson Farms,2,4 - Par 3 -
2018,543,0,46440,Smylie Kaufman,17,Arnold Palmer,2,11 - Par 4
2018,545,0,20848,Ángel Cabrera,17,Byron Nelson,2,5 - Par 4 -
2018,546,0,39971,Sungjae Im,17,PGA Championshi,2,12 - Par 4
2018,548,0,35819,Vince India,17,John Deere,1,15 - Par 4
2018,566,0,20766,Padraig Harrington,17,Farmers Ins,2,10 - Par 4
2018,568,0,47347,Adam Schenk,17,Byron Nelson,2,1 - Par 5 -
2018,571,0,46435,Austin Cook,17,AT&T Pebble,1,12 - Par 3
2018,576,0,47125,Matt Atkins,17,Texas Open,3,16 - Par 3
2018,598,0,45478,Julian Suri,17,Houston Open,1,7 - Par 3 -
2018,604,0,27895,Jonas Blixt,17,Wells Fargo,3,6 - Par 3 -
2018,608,0,10423,Mike Weir,17,Canadian Open,2,2 - Par 5 -
2018,609,0,51975,Zach Cabra,16,Houston Open,2,13 - Par 5
2018,610,0,24138,Ian Poulter,16,RBC Heritage,1,10 - Par 4
2018,617,0,33293,Thomas Pieters,16,Houston Open,2,4 - Par 5 -
2018,637,0,26758,David Hearn,16,John Deere,3,15 - Par 4
2018,641,0,26331,Charl Schwartzel,16,WGC-Bridgestone,4,14 - Par 4
2018,651,0,23325,Vaughn Taylor,16,AT&T Pebble,2,12 - Par 3
2018,654,0,26329,Louis Oosthuizen,16,Honda Classic,1,9 - Par 4 -
2018,657,0,35545,Blayne Barber,16,Travelers Champ,1,15 - Par 4
2018,659,0,1249,John Daly,16,Safeway Open,2,14 - Par 4
2018,671,0,24502,Adam Scott,16,Arnold Palmer,2,4 - Par 5 -
2018,688,0,33418,Shawn Stefani,15,Quicken Loans,2,12 - Par 3
2018,701,0,24449,Parker McLachlin,15,Barbasol Champ,4,14 - Par 5
2018,717,0,46567,Paul Dunne,15,Houston Open,4,16 - Par 3
2018,719,0,21407,Arjun Atwal,15,John Deere,1,12 - Par 3
2018,720,0,27408,Martin Kaymer,15,Wells Fargo,4,4 - Par 3 -
2018,740,0,1619,Skip Kendall,15,Barbasol Champ,1,9 - Par 4 -
2018,743,0,23048,Eric Axley,15,Safeway Open,1,9 - Par 5 -
2018,747,0,1706,Davis Love III,15,Barbasol Champ,1,4 - Par 4 -
2018,749,0,23614,Rich Beem,15,PGA Championshi,2,1 - Par 4 -
2018,758,0,35437,Carter Jenkins,15,Wells Fargo,1,18 - Par 4
2018,762,0,48081,Xander Schauffele,15,WGC-Mexico,1,1 - Par 4 -
2018,782,0,32367,Jorge Campillo,14,WGC-Mexico,4,14 - Par 4
2018,795,0,23821,Yusaku Miyazato,14,the Memorial,1,4 - Par 3 -
2018,798,0,30163,Henrik Norlander,14,The RSM Classic,1,1 - Par 4 -
2018,799,0,22582,Kyle Thompson,14,Wells Fargo,2,18 - Par 4
2018,813,0,24357,K.J. Choi,14,RBC Heritage,1,11 - Par 4
2018,814,0,45486,Joaquin Niemann,14,Texas Open,1,4 - Par 4 -
2018,822,0,25900,Lucas Glover,14,Safeway Open,3,2 - Par 3 -
2018,866,0,32334,Charlie Beljan,13,CareerBuilder,3,10 - Par 4
2018,876,0,35139,Richard Lee,13,Genesis Open,1,12 - Par 4
2018,879,0,45858,Russell Budd,13,Canadian Open,2,11 - Par 4
2018,899,0,24507,Jason Bohn,13,Wyndham Champ,2,18 - Par 4
2018,905,0,50525,Collin Morikawa,13,Arnold Palmer,1,16 - Par 5
2018,922,0,8385,Omar Uresti,13,PGA Championshi,1,1 - Par 4 -
2018,929,0,27120,Troy Matteson,13,Texas Open,1,6 - Par 4 -
2018,938,0,23788,D.J. Trahan,13,Byron Nelson,2,16 - Par 4
2018,947,0,32813,Shota Akiyoshi,13,U.S. Open,1,11 - Par 3
2018,948,0,51766,Wyndham Clark,13,Sanderson Farms,2,7 - Par 3 -
2018,975,0,54314,Tyler Strafaci,13,Valspar Champ,2,11 - Par 5
2018,980,0,47988,Nick Hardy,13,Travelers Champ,2,3 - Par 4 -
2018,983,0,47993,Denny McCarthy,12,The Greenbrier,4,2 - Par 4 -
2018,991,0,36799,Stephan Jaeger,12,Canadian Open,4,11 - Par 4
2017,1,0,33461,Morgan Hoffmann,251,Safeway Open,1,18 - Par 5
2017,2,0,28093,Miguel Angel Carballo,233,Shriners Hosp.,2,16 - Par 5
2017,3,0,33448,Justin Thomas,233,WGC-Mexico,3,13 - Par 3
2017,4,0,20848,Ángel Cabrera,220,Shell Houston,4,9 - Par 3 -
2017,5,0,34264,Hudson Swafford,214,WGC-Bridgestone,2,15 - Par 3
2017,6,0,26951,Johnson Wagner,214,Wyndham Champ,2,5 - Par 5 -
2017,7,0,20771,Steven Alker,212,Sanderson Farms,4,10 - Par 3
2017,8,0,31416,Derek Fathauer,209,St. Jude,2,5 - Par 4 -
2017,9,0,26476,Chez Reavie,197,Sony Open,4,17 - Par 3
2017,10,0,34213,Grayson Murray,196,Dell Tech Champ,2,8 - Par 3 -
2017,11,0,32333,Kevin Tway,195,Dell Tech Champ,1,11 - Par 3
2017,12,0,22405,Justin Rose,194,Genesis Open,4,12 - Par 4
2017,13,0,29518,Brendan Steele,194,Phoenix Open,1,14 - Par 4
2017,14,0,20593,Greg Chalmers,191,Shriners Hosp.,2,5 - Par 3 -
2017,15,0,31560,Brian Stuard,190,DEAN & DELUCA,4,16 - Par 3
2017,16,0,40058,Zac Blair,190,Wells Fargo,1,8 - Par 4 -
2017,17,0,25686,Jason Dufner,189,Valspar Champ,1,3 - Par 4 -
2017,18,0,28089,Jason Day,189,BMW Champ,2,17 - Par 3
2017,19,0,12716,Charley Hoffman,185,BMW Champ,3,4 - Par 4 -
2017,20,0,30692,Scott Stallings,185,Honda Classic,1,15 - Par 3
2017,21,0,28420,Ryan Brehm,185,Texas Open,2,4 - Par 4 -
2017,22,0,28300,Joost Luiten,181,PGA Championshi,1,4 - Par 3 -
2017,23,0,30926,Chris Kirk,181,Dell Tech Champ,4,9 - Par 4 -
2017,24,0,26499,Rafa Cabrera Bello,181,THE PLAYERS,4,16 - Par 5
2017,25,0,27933,John Merrick,181,Barbasol Champ,4,8 - Par 3 -
2017,26,0,34466,Peter Malnati,180,RBC Heritage,4,17 - Par 3
2017,27,0,27064,Jhonattan Vegas,180,Honda Classic,4,15 - Par 3
2017,29,0,25900,Lucas Glover,177,Dell Tech Champ,2,16 - Par 3
2017,30,0,33418,Shawn Stefani,176,Shriners Hosp.,1,6 - Par 4 -
2017,32,0,32200,Roberto Castro,174,Wyndham Champ,4,3 - Par 3 -
2017,33,0,46970,Jon Rahm,173,Safeway Open,1,11 - Par 3
2017,34,0,27408,Martin Kaymer,173,RBC Heritage,4,8 - Par 4 -
2017,35,0,24361,Pat Perez,173,TOUR Champ,2,16 - Par 4
2017,36,0,20104,Ken Duke,173,Safeway Open,4,11 - Par 3
2017,37,0,23541,Ben Crane,172,Wyndham Champ,4,16 - Par 3
2017,38,0,28500,Martin Flores,172,Wyndham Champ,4,16 - Par 3
2017,39,0,26289,Boo Weekley,170,Travelers Champ,2,10 - Par 4
2017,40,0,27214,Kevin Streelman,165,Shell Houston,3,17 - Par 4
2017,41,0,37189,Harold Varner III,164,the Memorial,4,8 - Par 3 -
2017,42,0,36801,Mark Hubbard,163,Travelers Champ,1,10 - Par 4
2017,44,0,25345,Carl Pettersson,162,Sanderson Farms,1,16 - Par 4
2017,45,0,24781,Hunter Mahan,162,Wyndham Champ,1,11 - Par 4
2017,46,0,27770,Camilo Villegas,161,NORTHERN TRUST,1,18 - Par 4
2017,47,0,23983,Luke Donald,161,Honda Classic,2,12 - Par 4
2017,48,0,36852,Jim Knous,160,Phoenix Open,1,18 - Par 4
2017,49,0,34431,Robert Streb,156,PGA Championshi,3,12 - Par 4
2017,51,0,29476,Kyle Reifers,154,Barbasol Champ,2,15 - Par 4
2017,52,0,27936,Martin Laird,154,Arnold Palmer,4,11 - Par 4
2017,53,0,48822,Sebastián Muñoz,153,Farmers Ins.,4,17 - Par 4
2017,54,0,20157,Retief Goosen,152,Barbasol Champ,1,9 - Par 4 -
2017,55,0,21528,Henrik Stenson,152,U.S. Open,1,11 - Par 4
2017,56,0,28237,Rory McIlroy,152,WGC-Mexico,2,14 - Par 4
2017,57,0,35110,Brett Drewitt,152,Barbasol Champ,3,3 - Par 4 -
2017,59,0,10809,Jim Furyk,151,The RSM Classic,4,11 - Par 4
2017,60,0,33141,Keegan Bradley,149,Farmers Ins.,4,14 - Par 4
2017,61,0,12510,Chad Campbell,148,Valspar Champ,1,10 - Par 4
2017,62,0,25396,Kevin Na,146,Sony Open,3,12 - Par 4
2017,64,0,25834,Daniel Summerhays,140,RBC Heritage,2,13 - Par 4
2017,65,0,29720,Andres Gonzales,139,Canadian Open,4,5 - Par 4 -
2017,67,0,39953,Chase Seiffert,138,Travelers Champ,2,3 - Par 4 -
2017,68,0,40026,Daniel Berger,135,Shell Houston,2,5 - Par 4 -
2017,69,0,20572,Rod Pampling,134,Shriners Hosp.,1,6 - Par 4 -
2017,70,0,26596,Ryan Moore,133,Wyndham Champ,3,9 - Par 4 -
2017,71,0,35314,Andy Sullivan,133,WGC-Mexico,2,9 - Par 4 -
2017,72,0,25191,Gonzalo Fernandez-Castaño,131,Barbasol Champ,2,14 - Par 4
2017,73,0,24924,Bill Haas,131,Wyndham Champ,2,1 - Par 4 -
2017,74,0,48081,Xander Schauffele,131,Sanderson Farms,4,2 - Par 4 -
2017,75,0,2106,Chris Smith,131,Barbasol Champ,2,2 - Par 4 -
2017,79,0,34265,Will Wilcox,129,Barbasol Champ,1,11 - Par 4
2017,80,0,45486,Joaquin Niemann,128,The Greenbrier,4,10 - Par 4
2017,81,0,35450,Patrick Cantlay,128,PGA Championshi,1,7 - Par 5 -
2017,82,0,23800,Bryce Molder,128,RBC Heritage,2,2 - Par 5 -
2017,83,0,49298,Kramer Hickok,126,Canadian Open,3,17 - Par 4
2017,84,0,25198,Francesco Molinari,124,Shriners Hosp.,4,11 - Par 4
2017,85,0,28307,Matt Every,124,The Greenbrier,2,1 - Par 4 -
2017,86,0,47989,Sam Horsfield,123,Quicken Loans,2,11 - Par 4
2017,87,0,24140,Sean O'Hair,123,Phoenix Open,2,13 - Par 5
2017,88,0,25364,Paul Casey,123,WGC-Bridgestone,2,17 - Par 4
2017,89,0,47959,Bryson DeChambeau,123,Sony Open,1,5 - Par 4 -
2017,91,0,46550,Brandon Hagy,122,Sanderson Farms,2,1 - Par 4 -
2017,92,0,21209,Sergio Garcia,122,THE PLAYERS,1,17 - Par 3
2017,93,0,28679,Fabián Gómez,120,Safeway Open,3,10 - Par 4
2017,97,0,37157,Renato Paratore,118,WGC-Bridgestone,4,16 - Par 5
2017,98,0,37454,Whee Kim,118,St. Jude,3,16 - Par 5
2017,100,0,27129,Luke List,116,St. Jude,3,13 - Par 4
2017,102,0,35300,Andrew Loupe,115,St. Jude,2,9 - Par 4 -
2017,104,0,40009,Dominic Bozzelli,113,CareerBuilder,1,14 - Par 4
2017,105,0,27330,Josh Teater,113,The RSM Classic,2,8 - Par 4 -
2017,106,0,30191,Julián Etulain,112,Sanderson Farms,2,9 - Par 4 -
2017,107,0,37278,Nicholas Lindheim,110,Barbasol Champ,1,10 - Par 4
2017,108,0,30925,Dustin Johnson,109,THE PLAYERS,2,11 - Par 5
2017,109,0,27436,Graham DeLaet,109,RBC Heritage,2,9 - Par 4 -
2017,110,0,35532,Tom Hoge,108,Travelers Champ,1,2 - Par 4 -
2017,111,0,32640,Troy Merritt,105,John Deere,2,10 - Par 5
2017,112,0,27141,J.B. Holmes,105,WGC-Bridgestone,4,18 - Par 4
2017,113,0,29725,Tony Finau,105,Texas Open,2,11 - Par 4
2017,116,0,26851,Marc Leishman,105,Travelers Champ,2,17 - Par 4
2017,118,0,32839,Hideki Matsuyama,103,U.S. Open,1,15 - Par 4
2017,119,0,34021,Bud Cauley,103,CareerBuilder,4,11 - Par 5
2017,124,0,24912,Will MacKenzie,98,Farmers Ins.,2,6 - Par 5 -
2017,125,0,34363,Tyrrell Hatton,98,U.S. Open,2,1 - Par 5 -
2017,126,0,30852,Ryo Ishikawa,98,Farmers Ins.,4,18 - Par 5
2017,127,0,29461,Jamie Lovemark,97,Byron Nelson,2,6 - Par 4 -
2017,128,0,32366,Kevin Chappell,95,Arnold Palmer,4,6 - Par 5 -
2017,132,0,22046,Geoff Ogilvy,93,Wyndham Champ,4,8 - Par 4 -
2017,133,0,34046,Jordan Spieth,93,TOUR Champ,4,10 - Par 4
2017,134,0,25240,D.A. Points,93,Wells Fargo,4,12 - Par 5
2017,138,0,25349,Tim Wilkinson,90,John Deere,1,14 - Par 4
2017,139,0,35891,Cameron Smith,90,Wyndham Champ,4,1 - Par 4 -
2017,141,0,34262,Jon Curran,88,CareerBuilder,4,16 - Par 5
2017,146,0,33419,Cameron Tringale,82,Genesis Open,2,18 - Par 4
2017,147,0,52091,Blake Kennedy,82,Wells Fargo,2,3 - Par 4 -
2017,148,0,29479,Scott Brown,81,John Deere,2,10 - Par 5
2017,151,0,31557,Jim Herman,79,Sony Open,3,18 - Par 5
2017,152,0,35879,Kelly Kraft,78,The Greenbrier,2,16 - Par 4
2017,153,0,23497,Tag Ridings,77,Travelers Champ,1,12 - Par 4
