YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DISTANCE (FEET),# OF ATTEMPTS,RELATIVE TO PAR
2023,19,0,29908,C.T. Pan,"12' 8""",151.917,12,-2
2023,22,0,22371,Aaron Baddeley,"12' 9""",230.083,18,-1
2023,22,0,32640,Troy Merritt,"12' 9""",217.0,17,-2
2023,24,0,24925,Jonathan Byrd,"12' 10""",218.833,17,E
2023,24,0,37455,Si Woo Kim,"12' 10""",320.667,25,-10
2023,26,0,37338,Zecheng Dou,"12' 11""",361.917,28,-7
2023,26,0,55182,Tom Kim,"12' 11""",244.75,19,-4
2023,28,0,35532,Tom Hoge,"13' 1""",352.5,27,-3
2023,28,0,26596,Ryan Moore,"13' 1""",261.75,20,-5
2023,30,0,28237,Rory McIlroy,"13' 2""",315.583,24,-5
2023,30,0,53165,Doc Redman,"13' 2""",250.583,19,-3
2023,32,0,23108,Matt Kuchar,"13' 3""",372.0,28,-8
2023,32,0,22405,Justin Rose,"13' 3""",225.25,17,-1
2023,34,0,39997,Corey Conners,"13' 4""",346.833,26,-7
2023,34,0,34099,Harris English,"13' 4""",160.083,12,-5
2023,34,0,34409,David Lingmerth,"13' 4""",332.417,25,-12
2023,34,0,45242,Kevin Yu,"13' 4""",239.917,18,-3
2023,38,0,39546,Keith Mitchell,"13' 5""",457.083,34,-4
2023,39,0,39971,Sungjae Im,"13' 6""",363.5,27,-4
2023,40,0,32816,Satoshi Kodaira,"13' 7""",230.417,17,-5
2023,41,0,48119,Ben Taylor,"13' 8""",300.083,22,+1
2023,42,0,28775,Nate Lashley,"13' 9""",151.333,11,-6
2023,43,0,45157,Cam Davis,"13' 11""",388.5,28,-3
2023,43,0,36326,David Lipsky,"13' 11""",348.917,25,+1
2023,43,0,54783,Dylan Wu,"13' 11""",222.0,16,-3
2023,46,0,59018,Ryan Gerard,"14' 0""",280.417,20,-2
2023,46,0,37275,Sam Ryder,"14' 0""",224.333,16,-1
2023,48,0,33413,Ben Martin,"14' 1""",309.083,22,-7
2023,49,0,22056,Cameron Percy,"14' 2""",283.833,20,-5
2023,50,0,34363,Tyrrell Hatton,"14' 3""",327.583,23,-6
2023,50,0,47983,Chad Ramey,"14' 3""",328.0,23,-8
2023,52,0,46435,Austin Cook,"14' 4""",359.0,25,-4
2023,52,0,30926,Chris Kirk,"14' 4""",315.167,22,-5
2023,52,0,40250,Taylor Pendrith,"14' 4""",300.917,21,-2
2023,52,0,47128,Richy Werenski,"14' 4""",243.167,17,-6
2023,56,0,31202,William McGirt,"14' 5""",144.25,10,-3
2023,57,0,33448,Justin Thomas,"14' 6""",319.083,22,-7
2023,58,0,32102,Rickie Fowler,"14' 7""",349.083,24,-5
2023,58,0,30163,Henrik Norlander,"14' 7""",174.833,12,-2
2023,60,0,33141,Keegan Bradley,"14' 8""",366.5,25,-3
2023,60,0,58696,Peter Kuest,"14' 8""",234.5,16,-3
2023,62,0,45522,Christiaan Bezuidenhout,"14' 9""",250.5,17,-5
2023,62,0,52372,Cameron Champ,"14' 9""",192.0,13,-1
2023,64,0,55454,Carl Yuan,"14' 10""",429.333,29,-1
2023,65,0,29221,Webb Simpson,"14' 11""",179.0,12,E
2023,66,0,34076,Joel Dahmen,"15' 1""",346.083,23,-6
2023,66,0,49766,Hank Lebioda,"15' 1""",120.75,8,+1
2023,68,0,47079,Harrison Endycott,"15' 2""",485.417,32,-9
2023,68,0,32757,Patton Kizzire,"15' 2""",394.583,26,-5
2023,70,0,33948,Byeong Hun An,"15' 3""",351.0,23,-9
2023,70,0,32139,Danny Willett,"15' 3""",458.583,30,-4
2023,72,0,29289,S.Y. Noh,"15' 4""",275.583,18,-2
2023,72,0,36724,Augusto Núñez,"15' 4""",337.5,22,-7
2023,72,0,58967,Trevor Werbylo,"15' 4""",291.667,19,E
2023,75,0,52955,Ludvig Åberg,"15' 5""",247.083,16,-2
2023,75,0,54591,Ben Griffin,"15' 5""",508.417,33,-7
2023,75,0,57366,Cameron Young,"15' 5""",230.917,15,-5
2023,78,0,56762,Will Gordon,"15' 6""",417.667,27,-1
2023,78,0,51950,Max McGreevy,"15' 6""",247.417,16,+5
2023,78,0,27349,Alex Noren,"15' 6""",310.417,20,-3
2023,81,0,39977,Max Homa,"15' 7""",419.667,27,-2
2023,82,0,35449,Adam Long,"15' 8""",439.75,28,+4
2023,82,0,30927,Brendon Todd,"15' 8""",282.5,18,+3
2023,82,0,48887,Matt Wallace,"15' 8""",406.333,26,-3
2023,85,0,40162,Justin Lower,"15' 9""",299.75,19,-6
