YEAR,MOVEMENT,PLAYER_ID,PLAYER,%,# SAVES,# BUNKERS,TOTAL O/U PAR
2023,0,46340,Alex Smalley,54.00%,81,150,51.0
2023,0,40115,Adam Svensson,53.89%,90,167,38.0
2023,0,51950,Max McGreevy,53.85%,84,156,39.0
2023,0,34255,Joseph Bramlett,53.78%,64,119,22.0
2023,0,33408,Tyson Alexander,53.55%,83,155,41.0
2023,0,47128,Richy Werenski,53.50%,84,157,58.0
2023,0,27963,Chris Stroud,53.42%,39,73,17.0
2023,0,50525,Collin Morikawa,53.33%,64,120,32.0
2023,0,40058,Zac Blair,53.28%,73,137,41.0
2023,0,36799,Stephan Jaeger,53.07%,95,179,25.0
2023,0,49298,Kramer Hickok,52.94%,63,119,37.0
2023,0,33410,Andrew Landry,52.89%,64,121,39.0
2023,0,35901,Paul Haley II,52.82%,75,142,48.0
2023,0,48117,Kurt Kitayama,52.78%,57,108,46.0
2023,0,33204,Shane Lowry,52.75%,48,91,21.0
2023,0,36801,Mark Hubbard,52.69%,98,186,36.0
2023,0,35461,Beau Hossler,52.51%,94,179,40.0
2023,0,28089,Jason Day,52.50%,63,120,30.0
2023,0,47347,Adam Schenk,52.38%,99,189,52.0
2023,0,29289,S.Y. Noh,52.27%,46,88,15.0
2023,0,33399,Adam Hadwin,52.05%,76,146,46.0
2023,0,32791,K.H. Lee,52.05%,76,146,37.0
2023,0,12716,Charley Hoffman,52.04%,51,98,27.0
2023,0,56762,Will Gordon,51.92%,81,156,36.0
2023,0,55789,Taylor Montgomery,51.85%,84,162,48.0
2023,0,39546,Keith Mitchell,51.67%,62,120,24.0
2023,0,39067,MJ Daffue,51.50%,86,167,35.0
2023,0,48887,Matt Wallace,51.45%,71,138,62.0
2023,0,53165,Doc Redman,51.43%,54,105,37.0
2023,0,32757,Patton Kizzire,51.39%,74,144,52.0
2023,0,36871,Matt NeSmith,51.35%,76,148,37.0
2023,0,34363,Tyrrell Hatton,51.30%,59,115,24.0
2023,0,30163,Henrik Norlander,51.24%,62,121,35.0
2023,0,33597,Harry Higgs,51.08%,71,139,57.0
2023,0,58967,Trevor Werbylo,51.01%,76,149,47.0
2023,0,55893,Sam Stevens,50.97%,79,155,29.0
2023,0,29908,C.T. Pan,50.77%,33,65,11.0
2023,0,48084,Wesley Bryan,50.72%,35,69,17.0
2023,0,54421,Garrick Higgo,50.66%,77,152,42.0
2023,0,28237,Rory McIlroy,50.57%,44,87,14.0
2023,0,29725,Tony Finau,50.46%,55,109,23.0
2023,0,49453,Trevor Cone,50.42%,60,119,34.0
2023,0,33413,Ben Martin,50.34%,74,147,51.0
2023,0,29535,Brice Garnett,50.00%,67,134,34.0
2023,0,29420,Billy Horschel,50.00%,43,86,35.0
2023,0,35449,Adam Long,50.00%,91,182,55.0
2023,0,25493,Nick Taylor,50.00%,75,150,36.0
2023,0,33448,Justin Thomas,50.00%,54,108,39.0
2023,0,51997,Andrew Novak,49.65%,71,143,35.0
2023,0,32640,Troy Merritt,49.62%,65,131,45.0
2023,0,51890,Greyson Sigg,49.62%,65,131,34.0
2023,0,25686,Jason Dufner,49.54%,54,109,29.0
2023,0,46970,Jon Rahm,49.51%,51,103,25.0
2023,0,27214,Kevin Streelman,49.38%,80,162,45.0
2023,0,47983,Chad Ramey,49.25%,66,134,41.0
2023,0,23320,Ryan Palmer,49.15%,58,118,29.0
2023,0,47988,Nick Hardy,49.14%,86,175,57.0
2023,0,47079,Harrison Endycott,48.98%,72,147,49.0
2023,0,52375,Doug Ghim,48.94%,46,94,20.0
2023,0,49766,Hank Lebioda,48.94%,46,94,29.0
2023,0,51414,Brent Grant,48.70%,56,115,23.0
2023,0,32366,Kevin Chappell,48.68%,37,76,20.0
2023,0,40250,Taylor Pendrith,48.63%,71,146,36.0
2023,0,49947,Taylor Moore,48.61%,70,144,51.0
2023,0,34099,Harris English,48.57%,68,140,43.0
2023,0,25632,Jimmy Walker,48.57%,68,140,41.0
2023,0,27936,Martin Laird,48.46%,63,130,32.0
2023,0,26476,Chez Reavie,48.46%,63,130,38.0
2023,0,57362,Austin Eckroat,48.41%,76,157,35.0
2023,0,22056,Cameron Percy,48.39%,45,93,23.0
2023,0,48119,Ben Taylor,48.37%,74,153,59.0
2023,0,51070,Vincent Norrman,48.28%,56,116,29.0
2023,0,29221,Webb Simpson,48.28%,42,87,27.0
2023,0,34610,Matthias Schwab,48.15%,78,162,56.0
2023,0,33122,Russell Knox,48.12%,64,133,54.0
2023,0,36724,Augusto Núñez,48.00%,60,125,36.0
2023,0,25818,Scott Piercy,47.95%,70,146,45.0
2023,0,39954,Cody Gribble,47.92%,46,96,31.0
2023,0,54628,Lee Hodges,47.92%,69,144,38.0
2023,0,35879,Kelly Kraft,47.76%,64,134,53.0
2023,0,37275,Sam Ryder,47.65%,81,170,59.0
2023,0,28775,Nate Lashley,47.62%,70,147,41.0
2023,0,27095,Nick Watney,47.62%,50,105,42.0
2023,0,35450,Patrick Cantlay,47.27%,52,110,29.0
2023,0,31646,Emiliano Grillo,47.24%,77,163,55.0
2023,0,48867,Matti Schmid,47.17%,50,106,48.0
2023,0,39997,Corey Conners,47.15%,58,123,31.0
2023,0,51349,Nico Echavarria,47.11%,57,121,44.0
2023,0,30692,Scott Stallings,47.11%,57,121,40.0
2023,0,28420,Ryan Brehm,46.92%,61,130,46.0
2023,0,52955,Ludvig Åberg,46.81%,22,47,11.0
2023,0,33141,Keegan Bradley,46.55%,54,116,34.0
2023,0,39335,Kevin Roy,46.53%,47,101,27.0
2023,0,50493,Justin Suh,46.51%,80,172,62.0
2023,0,32333,Kevin Tway,46.40%,58,125,36.0
2023,0,34098,Russell Henley,46.39%,45,97,36.0
2023,0,36326,David Lipsky,46.11%,77,167,52.0
2023,0,22371,Aaron Baddeley,46.09%,53,115,37.0
2023,0,46601,Trey Mullinax,46.08%,47,102,32.0
2023,0,35532,Tom Hoge,46.00%,69,150,66.0
2023,0,55708,Hayden Buckley,45.90%,56,122,43.0
2023,0,28252,Seamus Power,45.87%,50,109,38.0
2023,0,50095,Austin Smotherman,45.70%,69,151,57.0
2023,0,55182,Tom Kim,45.45%,55,121,41.0
2023,0,35506,Mackenzie Hughes,45.26%,62,137,42.0
2023,0,52411,Kyle Westmoreland,45.08%,55,122,40.0
2023,0,45609,Tyler Duncan,44.88%,57,127,28.0
2023,0,19803,Ryan Armour,44.36%,59,133,49.0
2023,0,59018,Ryan Gerard,44.33%,43,97,32.0
2023,0,46046,Scottie Scheffler,44.21%,42,95,25.0
2023,0,40006,Erik van Rooyen,43.88%,43,98,39.0
2023,0,49960,Sepp Straka,43.80%,53,121,59.0
2023,0,57366,Cameron Young,43.75%,49,112,41.0
2023,0,24925,Jonathan Byrd,43.68%,38,87,36.0
2023,0,27129,Luke List,43.45%,63,145,43.0
2023,0,52513,Carson Young,43.24%,64,148,53.0
2023,0,48699,Callum Tarren,43.06%,62,144,51.0
2023,0,39058,Lucas Herbert,42.99%,46,107,46.0
2023,0,34431,Robert Streb,42.55%,60,141,47.0
2023,0,52374,Brandon Wu,42.11%,56,133,48.0
2023,0,35617,Martin Trainer,42.00%,42,100,44.0
2023,0,20229,Stewart Cink,41.96%,47,112,39.0
2023,0,24024,Zach Johnson,41.28%,45,109,50.0
2023,0,31323,Gary Woodland,41.13%,51,124,53.0
2023,0,45242,Kevin Yu,41.00%,41,100,27.0
2023,0,52372,Cameron Champ,40.83%,49,120,46.0
2023,0,32662,Michael Gligic,39.83%,47,118,50.0
2023,0,31557,Jim Herman,39.64%,44,111,53.0
2023,0,46414,Aaron Rai,39.07%,59,151,51.0
2023,0,29970,Dylan Frittelli,38.93%,51,131,59.0
2023,0,47995,Davis Riley,38.89%,56,144,63.0
2023,0,37338,Zecheng Dou,36.21%,42,116,48.0
2023,0,51491,Brandon Matthews,34.04%,32,94,46.0
2023,0,32448,James Hahn,31.68%,32,101,55.0
2022,0,33204,Shane Lowry,67.09,53,79,14.0
2022,0,48081,Xander Schauffele,64.95,63,97,12.0
2022,0,23108,Matt Kuchar,64.93,87,134,13.0
2022,0,45522,Christiaan Bezuidenhout,64.71,66,102,20.0
2022,0,19803,Ryan Armour,64.0,32,50,12.0
2022,0,40098,Matt Fitzpatrick,63.86,53,83,18.0
2022,0,39058,Lucas Herbert,63.73,65,102,29.0
2022,0,33448,Justin Thomas,62.71,74,118,22.0
2022,0,30911,Tommy Fleetwood,62.22,56,90,14.0
2022,0,27644,Brian Harman,61.87,86,139,29.0
2022,0,32150,Michael Thompson,61.65,82,133,23.0
2022,0,28237,Rory McIlroy,61.63,53,86,8.0
2022,0,21961,Charles Howell III,60.0,51,85,9.0
2022,0,29908,C.T. Pan,59.66,71,119,27.0
2022,0,33399,Adam Hadwin,59.2,74,125,30.0
2022,0,27349,Alex Noren,59.0,59,100,16.0
2022,0,34363,Tyrrell Hatton,58.89,53,90,28.0
2022,0,46402,Talor Gooch,58.87,73,124,28.0
2022,0,34610,Matthias Schwab,58.25,60,103,16.0
2022,0,48084,Wesley Bryan,58.23,46,79,26.0
2022,0,34256,Andrew Putnam,57.94,73,126,28.0
2022,0,35450,Patrick Cantlay,57.73,56,97,22.0
2022,0,47993,Denny McCarthy,57.69,90,156,38.0
2022,0,23983,Luke Donald,57.43,58,101,30.0
2022,0,34360,Patrick Reed,57.38,70,122,30.0
2022,0,39971,Sungjae Im,56.9,66,116,27.0
2022,0,29420,Billy Horschel,56.3,67,119,27.0
2022,0,39436,Joshua Creel,56.1,46,82,32.0
2022,0,23325,Vaughn Taylor,56.06,37,66,17.0
2022,0,24361,Pat Perez,56.0,56,100,24.0
2022,0,30926,Chris Kirk,55.97,75,134,37.0
2022,0,40250,Taylor Pendrith,55.91,52,93,14.0
2022,0,24024,Zach Johnson,55.86,62,111,39.0
2022,0,27974,Sung Kang,55.73,73,131,27.0
2022,0,22056,Cameron Percy,55.56,35,63,16.0
2022,0,51766,Wyndham Clark,55.47,76,137,38.0
2022,0,30944,Jason Kokrak,55.45,56,101,23.0
2022,0,32333,Kevin Tway,55.2,69,125,28.0
2022,0,45486,Joaquin Niemann,55.17,64,116,31.0
2022,0,30692,Scott Stallings,55.13,86,156,39.0
2022,0,48822,Sebastián Muñoz,55.12,70,127,30.0
2022,0,37189,Harold Varner III,54.95,61,111,25.0
2022,0,29974,Branden Grace,54.93,39,71,23.0
2022,0,32839,Hideki Matsuyama,54.92,67,122,28.0
2022,0,45157,Cam Davis,54.81,74,135,38.0
2022,0,35449,Adam Long,54.74,75,137,29.0
2022,0,24138,Ian Poulter,54.65,47,86,21.0
2022,0,39546,Keith Mitchell,54.62,71,130,32.0
2022,0,48117,Kurt Kitayama,54.44,49,90,21.0
2022,0,34174,John Huh,54.39,62,114,37.0
2022,0,49298,Kramer Hickok,54.31,63,116,48.0
2022,0,24924,Bill Haas,54.3,82,151,44.0
2022,0,36801,Mark Hubbard,53.77,57,106,16.0
2022,0,32791,K.H. Lee,53.42,86,161,38.0
2022,0,49771,J.T. Poston,53.28,73,137,41.0
2022,0,46601,Trey Mullinax,53.27,57,107,34.0
2022,0,30927,Brendon Todd,52.89,64,121,43.0
2022,0,29221,Webb Simpson,52.88,55,104,25.0
2022,0,28252,Seamus Power,52.85,65,123,47.0
2022,0,30978,Kiradech Aphibarnrat,52.75,48,91,33.0
2022,0,32448,James Hahn,52.73,58,110,28.0
2022,0,24502,Adam Scott,52.73,58,110,31.0
2022,0,27214,Kevin Streelman,52.7,78,148,39.0
2022,0,24925,Jonathan Byrd,52.44,43,82,14.0
2022,0,34264,Hudson Swafford,52.38,55,105,46.0
2022,0,25493,Nick Taylor,52.34,67,128,41.0
2022,0,35891,Cameron Smith,52.24,35,67,20.0
2022,0,29289,S.Y. Noh,52.13,49,94,31.0
2022,0,46550,Brandon Hagy,51.97,66,127,40.0
2022,0,35532,Tom Hoge,51.97,79,152,47.0
2022,0,32757,Patton Kizzire,51.85,70,135,54.0
2022,0,46340,Alex Smalley,51.75,59,114,27.0
2022,0,34563,Chesson Hadley,51.64,63,122,40.0
2022,0,30163,Henrik Norlander,51.61,48,93,25.0
2022,0,39977,Max Homa,51.59,65,126,39.0
2022,0,34046,Jordan Spieth,51.35,57,111,13.0
2022,0,26300,Matt Jones,51.3,59,115,24.0
2022,0,25198,Francesco Molinari,51.25,41,80,29.0
2022,0,51894,Vince Whaley,51.22,63,123,39.0
2022,0,35506,Mackenzie Hughes,51.13,68,133,53.0
2022,0,29725,Tony Finau,51.06,48,94,15.0
2022,0,20229,Stewart Cink,51.04,49,96,33.0
2022,0,36799,Stephan Jaeger,51.02,75,147,51.0
2022,0,45609,Tyler Duncan,50.98,52,102,39.0
2022,0,32139,Danny Willett,50.68,37,73,27.0
2022,0,46435,Austin Cook,50.5,51,101,38.0
2022,0,52375,Doug Ghim,50.5,51,101,32.0
2022,0,26851,Marc Leishman,50.43,58,115,38.0
