YEAR,MOVEMENT,PLAYER_ID,PLAYER,STATUS,PAR 5 AVG,TOTAL PAR
2023,0,48887,Matt Wallace,-91,4.66,1320.0
2023,0,52955,Ludvig Åberg,-89,4.44,800.0
2023,0,22056,Cameron Percy,-88,4.62,1150.0
2023,0,19803,Ryan Armour,-87,4.72,1550.0
2023,0,22371,Aaron Baddeley,-86,4.67,1290.0
2023,0,48699,Callum Tarren,-86,4.73,1600.0
2023,0,32448,James Hahn,-84,4.69,1360.0
2023,0,33410,Andrew Landry,-84,4.69,1340.0
2023,0,35617,Martin Trainer,-84,4.63,1120.0
2023,0,55708,Hayden Buckley,-83,4.68,1280.0
2023,0,24502,Adam Scott,-83,4.6,1040.0
2023,0,29970,Dylan Frittelli,-82,4.68,1295.0
2023,0,28237,Rory McIlroy,-82,4.55,920.0
2023,0,27349,Alex Noren,-82,4.72,1480.0
2023,0,26476,Chez Reavie,-82,4.74,1555.0
2023,0,51349,Nico Echavarria,-80,4.69,1290.0
2023,0,24925,Jonathan Byrd,-79,4.62,1030.0
2023,0,32366,Kevin Chappell,-79,4.6,980.0
2023,0,29221,Webb Simpson,-79,4.55,870.0
2023,0,39954,Cody Gribble,-78,4.68,1200.0
2023,0,46601,Trey Mullinax,-78,4.67,1170.0
2023,0,51491,Brandon Matthews,-77,4.62,1005.0
2023,0,53165,Doc Redman,-77,4.7,1270.0
2023,0,32662,Michael Gligic,-76,4.7,1260.0
2023,0,29289,S.Y. Noh,-76,4.67,1160.0
2023,0,32816,Satoshi Kodaira,-75,4.66,1090.0
2023,0,33204,Shane Lowry,-75,4.6,930.0
2023,0,35310,Lanto Griffin,-74,4.63,1005.0
2023,0,31560,Brian Stuard,-72,4.71,1260.0
2023,0,32139,Danny Willett,-72,4.67,1085.0
2023,0,24024,Zach Johnson,-71,4.66,1030.0
2023,0,46442,Maverick McNealy,-71,4.64,995.0
2023,0,48117,Kurt Kitayama,-70,4.67,1050.0
2023,0,58696,Peter Kuest,-70,4.53,740.0
2023,0,48084,Wesley Bryan,-67,4.59,820.0
2023,0,27963,Chris Stroud,-66,4.67,990.0
2023,0,52453,Nicolai Hojgaard,-65,4.56,740.0
2023,0,29420,Billy Horschel,-65,4.65,940.0
2023,0,31557,Jim Herman,-64,4.73,1205.0
2023,0,31202,William McGirt,-62,4.66,920.0
2023,0,49766,Hank Lebioda,-60,4.73,1100.0
2023,0,24140,Sean O'Hair,-59,4.68,910.0
2023,0,27095,Nick Watney,-56,4.79,1310.0
2023,0,29908,C.T. Pan,-55,4.68,855.0
2023,0,27974,Sung Kang,-53,4.7,870.0
2023,0,39058,Lucas Herbert,-45,4.77,970.0
2022,0,51634,Sahith Theegala,-165,4.55,1830.0
2022,0,37455,Si Woo Kim,-140,4.55,1570.0
2022,0,39971,Sungjae Im,-133,4.51,1370.0
2022,0,46442,Maverick McNealy,-132,4.53,1410.0
2022,0,46046,Scottie Scheffler,-132,4.48,1270.0
2022,0,39977,Max Homa,-127,4.5,1270.0
2022,0,35532,Tom Hoge,-125,4.59,1520.0
2022,0,33448,Justin Thomas,-124,4.47,1170.0
