YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,% MADE,ATTEMPTS,PUTTS MADE
2024,134,0,34374,Erik Barnes,10.34%,58,6.0
2024,135,0,33399,Adam Hadwin,10.28%,107,11.0
2024,136,0,46414,Aaron Rai,10.26%,117,12.0
2024,137,0,47806,Raul Pereda,10.20%,49,5.0
2024,138,0,33486,Roger Sloan,10.14%,69,7.0
2024,139,0,48319,Tom Whitney,10.13%,79,8.0
2024,140,0,50095,Austin Smotherman,10.00%,70,7.0
2024,141,0,52453,Nicolai Højgaard,9.84%,61,6.0
2024,141,0,33968,Thorbjørn Olesen,9.84%,61,6.0
2024,143,0,57362,Austin Eckroat,9.76%,123,12.0
2024,144,0,52955,Ludvig Åberg,9.68%,93,9.0
2024,145,0,56630,Akshay Bhatia,9.65%,114,11.0
2024,146,0,59866,Nick Dunlap,9.52%,84,8.0
2024,147,0,32367,Jorge Campillo,9.38%,64,6.0
2024,148,0,51696,Rico Hoey,9.35%,107,10.0
2024,149,0,34046,Jordan Spieth,9.30%,86,8.0
2024,150,0,12716,Charley Hoffman,9.18%,98,9.0
2024,151,0,31646,Emiliano Grillo,9.09%,132,12.0
2024,151,0,30163,Henrik Norlander,9.09%,77,7.0
2024,151,0,27139,David Skinns,9.09%,110,10.0
2024,151,0,49960,Sepp Straka,9.09%,121,11.0
2024,155,0,47663,Kevin Dougherty,8.57%,70,6.0
2024,156,0,34587,Chan Kim,8.49%,106,9.0
2024,157,0,52666,Sami Valimaki,8.45%,71,6.0
2024,158,0,59143,Mac Meissner,8.43%,83,7.0
2024,159,0,40026,Daniel Berger,8.33%,96,8.0
2024,159,0,28420,Ryan Brehm,8.33%,60,5.0
2024,161,0,52375,Doug Ghim,8.27%,133,11.0
2024,162,0,48117,Kurt Kitayama,8.25%,97,8.0
2024,163,0,34076,Joel Dahmen,8.20%,122,10.0
2024,164,0,39546,Keith Mitchell,8.08%,99,8.0
2024,165,0,52372,Cameron Champ,8.05%,87,7.0
2024,166,0,47483,Will Zalatoris,8.00%,75,6.0
2024,167,0,33448,Justin Thomas,7.92%,101,8.0
2024,168,0,39997,Corey Conners,7.89%,114,9.0
2024,169,0,36871,Matt NeSmith,7.77%,103,8.0
2024,170,0,33141,Keegan Bradley,7.69%,104,8.0
2024,171,0,47995,Davis Riley,7.61%,92,7.0
2024,172,0,34256,Andrew Putnam,7.48%,107,8.0
2024,173,0,29221,Webb Simpson,7.41%,54,4.0
2024,173,0,39324,J.J. Spaun,7.41%,108,8.0
2024,175,0,32333,Kevin Tway,7.35%,68,5.0
2024,176,0,55708,Hayden Buckley,7.32%,82,6.0
2024,177,0,33948,Byeong Hun An,7.07%,99,7.0
2024,178,0,23108,Matt Kuchar,6.86%,102,7.0
2024,179,0,27330,Josh Teater,6.78%,59,4.0
2024,180,0,37378,Min Woo Lee,6.19%,97,6.0
2024,181,0,47988,Nick Hardy,6.03%,116,7.0
2024,181,0,31323,Gary Woodland,6.03%,116,7.0
2024,183,0,34021,Bud Cauley,4.17%,72,3.0
2024,184,0,51070,Vincent Norrman,3.90%,77,3.0
2023,1,0,22405,Justin Rose,24.69%,81,20.0
2023,2,0,28252,Seamus Power,17.50%,80,14.0
2023,3,0,34363,Tyrrell Hatton,17.27%,110,19.0
2023,4,0,48887,Matt Wallace,17.20%,93,16.0
2023,5,0,52955,Ludvig Åberg,17.19%,64,11.0
2023,6,0,29289,S.Y. Noh,17.14%,70,12.0
2023,7,0,39975,Michael Kim,17.12%,111,19.0
2023,8,0,45242,Kevin Yu,16.95%,59,10.0
2023,9,0,25493,Nick Taylor,16.94%,124,21.0
2023,10,0,56762,Will Gordon,16.87%,166,28.0
2023,11,0,20229,Stewart Cink,16.84%,95,16.0
2023,12,0,32448,James Hahn,16.82%,107,18.0
2023,13,0,34610,Matthias Schwab,16.81%,113,19.0
2023,14,0,51491,Brandon Matthews,16.67%,60,10.0
2023,15,0,51766,Wyndham Clark,16.49%,97,16.0
2023,16,0,27936,Martin Laird,16.36%,110,18.0
2023,17,0,50188,S.H. Kim,16.31%,141,23.0
2023,18,0,33408,Tyson Alexander,16.30%,92,15.0
2023,19,0,47504,Sam Burns,16.00%,125,20.0
2023,19,0,47983,Chad Ramey,16.00%,125,20.0
2023,21,0,51634,Sahith Theegala,15.87%,126,20.0
2023,22,0,31557,Jim Herman,15.84%,101,16.0
2023,23,0,34256,Andrew Putnam,15.75%,146,23.0
2023,24,0,54783,Dylan Wu,15.69%,102,16.0
2023,25,0,46442,Maverick McNealy,15.58%,77,12.0
2023,26,0,27349,Alex Noren,15.57%,122,19.0
2023,27,0,39977,Max Homa,15.32%,111,17.0
2023,28,0,40162,Justin Lower,15.27%,131,20.0
2023,29,0,49771,J.T. Poston,15.13%,119,18.0
2023,30,0,35450,Patrick Cantlay,15.09%,106,16.0
2023,31,0,31646,Emiliano Grillo,15.04%,133,20.0
2023,32,0,25686,Jason Dufner,15.00%,120,18.0
2023,32,0,29535,Brice Garnett,15.00%,100,15.0
2023,34,0,36699,Patrick Rodgers,14.96%,127,19.0
2023,35,0,22371,Aaron Baddeley,14.94%,87,13.0
2023,36,0,27554,Scott Harrington,14.89%,94,14.0
2023,37,0,39546,Keith Mitchell,14.85%,101,15.0
2023,38,0,40058,Zac Blair,14.74%,95,14.0
2023,38,0,39971,Sungjae Im,14.74%,95,14.0
2023,40,0,48699,Callum Tarren,14.71%,136,20.0
2023,41,0,32102,Rickie Fowler,14.63%,123,18.0
2023,42,0,34046,Jordan Spieth,14.43%,97,14.0
2023,43,0,34563,Chesson Hadley,14.40%,125,18.0
2023,44,0,50095,Austin Smotherman,14.39%,139,20.0
2023,45,0,27974,Sung Kang,14.29%,49,7.0
2023,45,0,32791,K.H. Lee,14.29%,133,19.0
2023,45,0,37275,Sam Ryder,14.29%,133,19.0
2023,48,0,33204,Shane Lowry,14.13%,92,13.0
2023,49,0,47128,Richy Werenski,13.93%,122,17.0
2023,50,0,31560,Brian Stuard,13.89%,72,10.0
2023,51,0,54591,Ben Griffin,13.87%,137,19.0
2023,52,0,28775,Nate Lashley,13.82%,123,17.0
2023,53,0,35879,Kelly Kraft,13.79%,116,16.0
2023,54,0,47079,Harrison Endycott,13.76%,109,15.0
2023,55,0,35506,Mackenzie Hughes,13.68%,95,13.0
2023,55,0,52411,Kyle Westmoreland,13.68%,95,13.0
2023,57,0,53165,Doc Redman,13.64%,110,15.0
2023,58,0,48119,Ben Taylor,13.57%,140,19.0
2023,59,0,45609,Tyler Duncan,13.53%,133,18.0
2023,60,0,29221,Webb Simpson,13.41%,82,11.0
2023,61,0,27214,Kevin Streelman,13.38%,142,19.0
2023,62,0,35461,Beau Hossler,13.33%,105,14.0
2023,62,0,39335,Kevin Roy,13.33%,75,10.0
2023,64,0,31577,Tano Goya,13.25%,83,11.0
2023,65,0,28420,Ryan Brehm,13.21%,106,14.0
2023,65,0,29725,Tony Finau,13.21%,106,14.0
2023,65,0,34466,Peter Malnati,13.21%,106,14.0
2023,68,0,54421,Garrick Higgo,13.19%,144,19.0
2023,69,0,59018,Ryan Gerard,13.11%,61,8.0
2023,70,0,33141,Keegan Bradley,13.04%,92,12.0
2023,70,0,52513,Carson Young,13.04%,115,15.0
2023,72,0,25818,Scott Piercy,13.00%,100,13.0
2023,73,0,27644,Brian Harman,12.96%,108,14.0
2023,74,0,51890,Greyson Sigg,12.90%,155,20.0
2023,75,0,57975,Harry Hall,12.87%,101,13.0
2023,75,0,33122,Russell Knox,12.87%,171,22.0
2023,75,0,50525,Collin Morikawa,12.87%,101,13.0
2023,75,0,46970,Jon Rahm,12.87%,101,13.0
2023,79,0,54628,Lee Hodges,12.84%,109,14.0
2023,80,0,35449,Adam Long,12.80%,125,16.0
2023,81,0,39067,MJ Daffue,12.70%,126,16.0
2023,81,0,31202,William McGirt,12.70%,63,8.0
2023,83,0,48867,Matti Schmid,12.68%,71,9.0
2023,84,0,34409,David Lingmerth,12.66%,79,10.0
2023,85,0,36801,Mark Hubbard,12.61%,119,15.0
2023,85,0,33413,Ben Martin,12.61%,111,14.0
2023,87,0,25900,Lucas Glover,12.50%,136,17.0
2023,87,0,32757,Patton Kizzire,12.50%,128,16.0
2023,89,0,35532,Tom Hoge,12.40%,121,15.0
2023,90,0,47591,Eric Cole,12.35%,162,20.0
2023,90,0,29420,Billy Horschel,12.35%,81,10.0
2023,92,0,47993,Denny McCarthy,12.32%,138,17.0
2023,93,0,23320,Ryan Palmer,12.28%,114,14.0
2023,94,0,36799,Stephan Jaeger,12.27%,163,20.0
2023,95,0,34255,Joseph Bramlett,12.20%,82,10.0
2023,96,0,40115,Adam Svensson,12.16%,148,18.0
2023,97,0,32333,Kevin Tway,12.15%,107,13.0
2023,98,0,57362,Austin Eckroat,12.12%,99,12.0
2023,98,0,30911,Tommy Fleetwood,12.12%,66,8.0
2023,98,0,27963,Chris Stroud,12.12%,66,8.0
2023,101,0,39324,J.J. Spaun,12.10%,124,15.0
2023,102,0,34431,Robert Streb,12.09%,91,11.0
2023,103,0,37338,Zecheng Dou,12.07%,116,14.0
2023,104,0,33653,Thomas Detry,12.00%,100,12.0
2023,104,0,24024,Zach Johnson,12.00%,75,9.0
2023,104,0,25632,Jimmy Walker,12.00%,100,12.0
2023,107,0,32816,Satoshi Kodaira,11.94%,67,8.0
2023,108,0,35310,Lanto Griffin,11.86%,59,7.0
2023,109,0,36871,Matt NeSmith,11.85%,135,16.0
2023,110,0,39954,Cody Gribble,11.84%,76,9.0
2023,111,0,40098,Matt Fitzpatrick,11.76%,102,12.0
2023,111,0,46601,Trey Mullinax,11.76%,102,12.0
2023,113,0,55893,Sam Stevens,11.72%,128,15.0
2023,114,0,37455,Si Woo Kim,11.67%,120,14.0
2023,115,0,51950,Max McGreevy,11.58%,95,11.0
2023,116,0,51070,Vincent Norrman,11.54%,104,12.0
2023,116,0,27095,Nick Watney,11.54%,78,9.0
