YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,%,# HIT,TOTAL ATTEMPTS
2018,22,0,27644,Brian Harman,85.23,1079,1266
2018,23,0,34264,Hudson Swafford,85.21,801,940
2018,24,0,45526,Abraham Ancer,85.1,1142,1342
2018,25,0,31323,Gary Woodland,85.02,1084,1275
2018,26,0,25198,Francesco Molinari,84.86,835,984
2018,27,0,22405,Justin Rose,84.85,784,924
2018,28,0,19846,Brian Gay,84.83,1197,1411
2018,29,0,24138,Ian Poulter,84.82,760,896
2018,30,0,39324,J.J. Spaun,84.81,938,1106
2018,31,0,35545,Blayne Barber,84.8,792,934
2018,32,0,12510,Chad Campbell,84.66,933,1102
2018,32,0,34046,Jordan Spieth,84.66,905,1069
2018,34,0,32102,Rickie Fowler,84.58,883,1044
2018,35,0,26758,David Hearn,84.51,709,839
2018,36,0,32448,James Hahn,84.48,969,1147
2018,37,0,45609,Tyler Duncan,84.45,1097,1299
2018,38,0,28679,Fabián Gómez,84.37,988,1171
2018,39,0,46435,Austin Cook,84.34,1266,1501
2018,40,0,26329,Louis Oosthuizen,84.26,637,756
2018,41,0,29221,Webb Simpson,84.24,1085,1288
2018,42,0,25900,Lucas Glover,84.12,715,850
2018,43,0,34409,David Lingmerth,84.01,914,1088
2018,44,0,30926,Chris Kirk,83.98,1242,1479
2018,45,0,40058,Zac Blair,83.97,681,811
2018,45,0,29268,Bronson Burgoon,83.97,812,967
2018,47,0,23621,Rory Sabbatini,83.96,1042,1241
2018,48,0,24502,Adam Scott,83.87,915,1091
2018,49,0,30925,Dustin Johnson,83.86,873,1041
2018,50,0,35450,Patrick Cantlay,83.85,945,1127
2018,51,0,34256,Andrew Putnam,83.83,1042,1243
2018,51,0,29518,Brendan Steele,83.83,793,946
2018,51,0,26951,Johnson Wagner,83.83,809,965
2018,54,0,39997,Corey Conners,83.81,1087,1297
2018,55,0,33141,Keegan Bradley,83.79,1091,1302
2018,56,0,32254,Xinjun Zhang,83.76,877,1047
2018,57,0,32839,Hideki Matsuyama,83.53,847,1014
2018,58,0,29535,Brice Garnett,83.47,1106,1325
2018,59,0,20472,Alex Cejka,83.45,802,961
2018,60,0,33399,Adam Hadwin,83.44,1043,1250
2018,61,0,24361,Pat Perez,83.35,881,1057
2018,62,0,30911,Tommy Fleetwood,83.3,773,928
2018,63,0,27556,Ted Potter Jr.,83.29,1012,1215
2018,63,0,39327,Ben Silverman,83.29,977,1173
2018,65,0,32640,Troy Merritt,83.24,988,1187
2018,66,0,35532,Tom Hoge,83.14,1080,1299
2018,67,0,21961,Charles Howell III,83.05,1161,1398
2018,68,0,32366,Kevin Chappell,83.03,866,1043
2018,69,0,33448,Justin Thomas,83.02,958,1154
2018,70,0,32150,Michael Thompson,83.0,674,812
2018,71,0,40026,Daniel Berger,82.99,888,1070
2018,72,0,22056,Cameron Percy,82.98,580,699
2018,73,0,29725,Tony Finau,82.97,1140,1374
2018,73,0,36799,Stephan Jaeger,82.97,867,1045
2018,75,0,34174,John Huh,82.91,1043,1258
2018,76,0,49964,Aaron Wise,82.89,1017,1227
2018,77,0,47128,Richy Werenski,82.88,1065,1285
2018,78,0,30978,Kiradech Aphibarnrat,82.87,537,648
2018,79,0,30944,Jason Kokrak,82.86,1146,1383
2018,80,0,35461,Beau Hossler,82.84,1207,1457
2018,81,0,25572,Graeme McDowell,82.83,680,821
2018,82,0,23541,Ben Crane,82.79,683,825
2018,83,0,25364,Paul Casey,82.78,822,993
2018,84,0,34363,Tyrrell Hatton,82.76,629,760
2018,85,0,29974,Branden Grace,82.75,739,893
2018,86,0,35879,Kelly Kraft,82.72,1063,1285
2018,87,0,25686,Jason Dufner,82.71,746,902
2018,87,0,29478,Kevin Kisner,82.71,909,1099
2018,87,0,27649,Brandt Snedeker,82.71,947,1145
2018,90,0,24925,Jonathan Byrd,82.7,717,867
2018,91,0,46970,Jon Rahm,82.67,768,929
2018,92,0,25493,Nick Taylor,82.66,1039,1257
2018,93,0,28775,Nate Lashley,82.65,543,657
2018,94,0,20229,Stewart Cink,82.58,1005,1217
2018,95,0,39546,Keith Mitchell,82.54,1120,1357
2018,96,0,39328,Conrad Shindler,82.5,646,783
2018,97,0,10809,Jim Furyk,82.49,551,668
2018,98,0,27958,Ryan Blaum,82.43,896,1087
2018,99,0,29485,Brett Stegmaier,82.42,703,853
2018,100,0,27095,Nick Watney,82.39,1034,1255
2018,101,0,12716,Charley Hoffman,82.34,923,1121
2018,102,0,34563,Chesson Hadley,82.31,1140,1385
2018,103,0,49771,J.T. Poston,82.28,817,993
2018,104,0,37455,Si Woo Kim,82.26,1201,1460
2018,105,0,29223,Sam Saunders,82.25,848,1031
2018,106,0,23108,Matt Kuchar,82.22,920,1119
2018,107,0,33410,Andrew Landry,82.17,922,1122
2018,108,0,27936,Martin Laird,82.16,746,908
2018,109,0,23320,Ryan Palmer,82.12,721,878
2018,110,0,25804,Bubba Watson,82.11,909,1107
2018,111,0,31202,William McGirt,82.06,892,1087
2018,112,0,33418,Shawn Stefani,82.03,849,1035
2018,113,0,33948,Byeong Hun An,82.0,966,1178
2018,113,0,28252,Seamus Power,82.0,893,1089
2018,115,0,47347,Adam Schenk,81.97,914,1115
2018,116,0,37189,Harold Varner III,81.96,1018,1242
2018,117,0,47993,Denny McCarthy,81.95,722,881
2018,118,0,24024,Zach Johnson,81.94,998,1218
2018,119,0,27129,Luke List,81.88,1089,1330
2018,120,0,33204,Shane Lowry,81.69,638,781
2018,121,0,26300,Matt Jones,81.59,709,869
2018,122,0,27141,J.B. Holmes,81.53,852,1045
2018,123,0,35376,Roberto Díaz,81.49,775,951
2018,124,0,24358,Robert Garrigus,81.4,862,1059
2018,124,0,27349,Alex Noren,81.4,687,844
2018,126,0,26851,Marc Leishman,81.31,1031,1268
2018,127,0,29926,Danny Lee,81.28,977,1202
2018,128,0,35310,Lanto Griffin,81.16,840,1035
2018,129,0,47287,Ethan Tracy,80.97,770,951
2018,130,0,29461,Jamie Lovemark,80.94,994,1228
2018,131,0,33413,Ben Martin,80.92,721,891
2018,132,0,27064,Jhonattan Vegas,80.91,1013,1252
2018,133,0,48081,Xander Schauffele,80.84,1059,1310
2018,134,0,29479,Scott Brown,80.83,1105,1367
2018,135,0,37278,Nicholas Lindheim,80.69,777,963
2018,136,0,24924,Bill Haas,80.62,832,1032
2018,137,0,36689,Brooks Koepka,80.59,706,876
2018,138,0,8793,Tiger Woods,80.57,767,952
2018,139,0,20572,Rod Pampling,80.55,650,807
2018,140,0,27895,Jonas Blixt,80.44,691,859
2018,141,0,34021,Bud Cauley,80.41,595,740
2018,142,0,22582,Kyle Thompson,80.4,517,643
2018,143,0,27963,Chris Stroud,80.39,824,1025
2018,144,0,50526,Tom Lovelady,80.37,909,1131
2018,145,0,31420,Anirban Lahiri,80.35,924,1150
2018,146,0,35506,Mackenzie Hughes,80.21,851,1061
2018,147,0,47125,Matt Atkins,80.19,583,727
2018,148,0,24140,Sean O'Hair,80.16,703,877
2018,149,0,37454,Whee Kim,80.03,994,1242
2018,149,0,32757,Patton Kizzire,80.03,1002,1252
2018,151,0,28237,Rory McIlroy,80.0,684,855
2018,152,0,25396,Kevin Na,79.95,965,1207
2018,153,0,32876,Martin Piller,79.91,859,1075
2018,154,0,28500,Martin Flores,79.67,956,1200
2018,155,0,22371,Aaron Baddeley,79.58,865,1087
2018,156,0,34099,Harris English,79.45,866,1090
2018,157,0,34360,Patrick Reed,79.38,955,1203
2018,158,0,36699,Patrick Rodgers,79.34,1029,1297
2018,159,0,28089,Jason Day,79.27,757,955
2018,159,0,34358,Jonathan Randolph,79.27,719,907
2018,161,0,29484,Peter Uihlein,79.25,867,1094
2018,162,0,32333,Kevin Tway,79.23,1152,1454
2018,163,0,46402,Talor Gooch,79.1,795,1005
2018,164,0,29222,Billy Hurley III,79.06,706,893
2018,165,0,35421,Brandon Harkins,79.05,1049,1327
2018,166,0,35891,Cameron Smith,79.01,866,1096
2018,167,0,32816,Satoshi Kodaira,78.99,534,676
2018,167,0,34213,Grayson Murray,78.99,797,1009
2018,169,0,46601,Trey Mullinax,78.98,759,961
2018,170,0,30692,Scott Stallings,78.8,989,1255
2018,170,0,28132,Tyrone Van Aswegen,78.8,1022,1297
2018,172,0,1810,Phil Mickelson,78.79,962,1221
2018,173,0,28307,Matt Every,78.76,823,1045
2018,173,0,27942,Rob Oppenheim,78.76,749,951
2018,175,0,39954,Cody Gribble,78.55,714,909
2018,176,0,34466,Peter Malnati,78.43,909,1159
2018,177,0,25240,D.A. Points,78.25,669,855
2018,178,0,26331,Charl Schwartzel,78.15,633,810
2018,179,0,20593,Greg Chalmers,77.93,565,725
2018,180,0,20157,Retief Goosen,77.75,566,728
2018,181,0,34431,Robert Streb,77.64,802,1033
2018,182,0,46501,Ollie Schniederjans,77.02,935,1214
2018,183,0,25632,Jimmy Walker,76.65,824,1075
2018,184,0,35544,Andrew Yun,76.63,482,629
2018,185,0,37338,Zecheng Dou,76.57,523,683
2018,186,0,27974,Sung Kang,76.55,911,1190
2018,187,0,39975,Michael Kim,76.37,750,982
2018,188,0,40009,Dominic Bozzelli,76.24,690,905
2018,189,0,48084,Wesley Bryan,76.11,717,942
2018,190,0,33419,Cameron Tringale,75.6,666,881
2018,191,0,24846,Ricky Barnes,75.39,622,825
2018,192,0,31416,Derek Fathauer,75.2,840,1117
2018,193,0,25834,Daniel Summerhays,73.77,464,629
2017,1,0,19803,Ryan Armour,88.48,730,825
2017,2,0,26289,Boo Weekley,87.75,895,1020
2017,3,0,31557,Jim Herman,86.75,910,1049
2017,4,0,26476,Chez Reavie,86.19,1142,1325
2017,5,0,30110,Kyle Stanley,86.1,1202,1396
2017,6,0,31560,Brian Stuard,85.95,1046,1217
2017,7,0,31202,William McGirt,85.84,1000,1165
2017,8,0,25900,Lucas Glover,85.43,1073,1256
2017,9,0,23325,Vaughn Taylor,85.41,1007,1179
2017,10,0,20771,Steven Alker,85.36,752,881
2017,11,0,26596,Ryan Moore,85.35,944,1106
2017,12,0,29908,C.T. Pan,85.26,1024,1201
2017,13,0,33141,Keegan Bradley,85.25,1214,1424
2017,14,0,25198,Francesco Molinari,85.22,859,1008
2017,15,0,27436,Graham DeLaet,85.09,902,1060
2017,16,0,20104,Ken Duke,85.07,843,991
2017,17,0,25364,Paul Casey,84.76,1068,1260
2017,18,0,23541,Ben Crane,84.75,934,1102
2017,19,0,12510,Chad Campbell,84.71,1147,1354
2017,20,0,40058,Zac Blair,84.67,1171,1383
2017,20,0,33204,Shane Lowry,84.67,580,685
2017,22,0,25240,D.A. Points,84.65,805,951
2017,23,0,27963,Chris Stroud,84.48,697,825
2017,24,0,23621,Rory Sabbatini,84.27,766,909
2017,25,0,46732,Rick Lamb,84.26,589,699
2017,26,0,10809,Jim Furyk,84.2,597,709
2017,27,0,29221,Webb Simpson,84.14,1162,1381
2017,28,0,47128,Richy Werenski,84.12,869,1033
2017,29,0,21209,Sergio Garcia,84.1,730,868
2017,30,0,34409,David Lingmerth,84.03,879,1046
2017,30,0,29223,Sam Saunders,84.03,821,977
2017,32,0,32200,Roberto Castro,84.02,799,951
2017,33,0,27466,Spencer Levin,83.99,997,1187
2017,34,0,20472,Alex Cejka,83.97,901,1073
2017,35,0,27936,Martin Laird,83.95,973,1159
2017,36,0,30925,Dustin Johnson,83.93,825,983
2017,36,0,39324,J.J. Spaun,83.93,1008,1201
2017,36,0,34046,Jordan Spieth,83.93,919,1095
2017,39,0,22056,Cameron Percy,83.83,762,909
2017,40,0,25892,Steve Wheatcroft,83.82,549,655
2017,41,0,27214,Kevin Streelman,83.78,1028,1227
2017,42,0,29476,Kyle Reifers,83.71,1028,1228
2017,43,0,25493,Nick Taylor,83.7,1109,1325
2017,44,0,32448,James Hahn,83.69,1124,1343
2017,45,0,35450,Patrick Cantlay,83.66,558,667
2017,45,0,29478,Kevin Kisner,83.66,1147,1371
2017,47,0,24358,Robert Garrigus,83.65,839,1003
2017,48,0,23353,J.J. Henry,83.5,1002,1200
2017,49,0,22405,Justin Rose,83.46,747,895
2017,50,0,22986,Søren Kjeldsen,83.43,569,682
2017,51,0,26951,Johnson Wagner,83.41,734,880
2017,52,0,33122,Russell Knox,83.4,819,982
2017,53,0,19846,Brian Gay,83.38,908,1089
2017,53,0,34098,Russell Henley,83.38,1129,1354
2017,55,0,34264,Hudson Swafford,83.36,1047,1256
2017,56,0,27129,Luke List,83.33,1140,1368
2017,57,0,29518,Brendan Steele,83.31,983,1180
2017,58,0,24357,K.J. Choi,83.28,767,921
2017,58,0,22046,Geoff Ogilvy,83.28,837,1005
2017,60,0,32102,Rickie Fowler,83.27,886,1064
2017,61,0,35545,Blayne Barber,83.23,824,990
2017,62,0,25572,Graeme McDowell,83.21,649,780
2017,63,0,25686,Jason Dufner,83.19,955,1148
2017,64,0,46970,Jon Rahm,83.12,965,1161
2017,65,0,24781,Hunter Mahan,83.11,822,989
2017,66,0,30926,Chris Kirk,83.09,963,1159
2017,67,0,29974,Branden Grace,83.07,736,886
2017,67,0,27649,Brandt Snedeker,83.07,584,703
2017,69,0,31646,Emiliano Grillo,83.0,1011,1218
2017,70,0,34174,John Huh,82.98,1019,1228
2017,71,0,30191,Julián Etulain,82.97,731,881
2017,72,0,24140,Sean O'Hair,82.95,973,1173
2017,72,0,26329,Louis Oosthuizen,82.95,720,868
2017,74,0,29479,Scott Brown,82.93,1054,1271
2017,74,0,24024,Zach Johnson,82.93,894,1078
2017,74,0,23108,Matt Kuchar,82.93,1064,1283
2017,77,0,28679,Fabián Gómez,82.89,688,830
2017,78,0,34021,Bud Cauley,82.82,1017,1228
2017,79,0,29420,Billy Horschel,82.78,995,1202
2017,79,0,25349,Tim Wilkinson,82.78,668,807
2017,81,0,29725,Tony Finau,82.75,1204,1455
2017,82,0,28093,Miguel Angel Carballo,82.69,659,797
2017,83,0,33399,Adam Hadwin,82.66,1130,1367
2017,84,0,33418,Shawn Stefani,82.63,785,950
2017,85,0,34466,Peter Malnati,82.56,980,1187
2017,86,0,24924,Bill Haas,82.55,979,1186
2017,86,0,12716,Charley Hoffman,82.55,1249,1513
2017,86,0,25396,Kevin Na,82.55,946,1146
2017,89,0,24138,Ian Poulter,82.49,782,948
2017,90,0,29926,Danny Lee,82.37,1023,1242
2017,91,0,49771,J.T. Poston,82.36,999,1213
2017,92,0,32150,Michael Thompson,82.33,643,781
2017,93,0,33413,Ben Martin,82.29,906,1101
2017,94,0,25834,Daniel Summerhays,82.25,1080,1313
2017,95,0,33461,Morgan Hoffmann,82.23,1009,1227
2017,96,0,24361,Pat Perez,82.19,1038,1263
2017,97,0,34358,Jonathan Randolph,82.18,724,881
2017,98,0,31323,Gary Woodland,82.11,1019,1241
2017,99,0,26758,David Hearn,82.03,972,1185
2017,100,0,40026,Daniel Berger,82.01,989,1206
2017,101,0,32640,Troy Merritt,82.0,870,1061
2017,102,0,37189,Harold Varner III,81.94,1134,1384
2017,103,0,25818,Scott Piercy,81.93,766,935
2017,104,0,33448,Justin Thomas,81.86,907,1108
2017,105,0,32839,Hideki Matsuyama,81.84,874,1068
2017,106,0,28500,Martin Flores,81.79,925,1131
2017,107,0,27958,Ryan Blaum,81.78,1095,1339
2017,108,0,29461,Jamie Lovemark,81.72,1095,1340
2017,109,0,20229,Stewart Cink,81.65,1059,1297
2017,110,0,48081,Xander Schauffele,81.59,1050,1287
2017,111,0,36801,Mark Hubbard,81.51,842,1033
2017,112,0,27095,Nick Watney,81.48,783,961
2017,113,0,29720,Andres Gonzales,81.45,786,965
2017,114,0,29485,Brett Stegmaier,81.43,864,1061
2017,115,0,35110,Brett Drewitt,81.38,603,741
2017,116,0,30944,Jason Kokrak,81.28,1077,1325
2017,117,0,30692,Scott Stallings,81.27,872,1073
2017,118,0,27974,Sung Kang,81.19,1157,1425
2017,119,0,20157,Retief Goosen,81.15,521,642
2017,120,0,31420,Anirban Lahiri,81.05,817,1008
2017,121,0,47959,Bryson DeChambeau,80.98,1005,1241
2017,122,0,33120,Mark Anderson,80.88,588,727
2017,123,0,28132,Tyrone Van Aswegen,80.86,1094,1353
2017,124,0,23497,Tag Ridings,80.85,667,825
2017,125,0,28237,Rory McIlroy,80.8,543,672
2017,126,0,46601,Trey Mullinax,80.79,925,1145
2017,127,0,32366,Kevin Chappell,80.7,1016,1259
2017,128,0,26499,Rafa Cabrera Bello,80.6,677,840
2017,129,0,21961,Charles Howell III,80.59,922,1144
2017,129,0,26300,Matt Jones,80.59,631,783
2017,131,0,39975,Michael Kim,80.57,1012,1256
2017,131,0,23320,Ryan Palmer,80.57,597,741
2017,133,0,28420,Ryan Brehm,80.5,867,1077
2017,133,0,46443,Brian Campbell,80.5,574,713
2017,135,0,20572,Rod Pampling,80.46,799,993
2017,135,0,27064,Jhonattan Vegas,80.46,1017,1264
2017,137,0,35506,Mackenzie Hughes,80.4,1173,1459
2017,138,0,33419,Cameron Tringale,80.33,931,1159
2017,139,0,24507,Jason Bohn,80.22,795,991
2017,140,0,24502,Adam Scott,80.17,651,812
2017,141,0,34431,Robert Streb,80.12,1052,1313
2017,142,0,29222,Billy Hurley III,80.11,898,1121
2017,143,0,27895,Jonas Blixt,80.1,781,975
2017,144,0,27644,Brian Harman,80.04,1119,1398
2017,145,0,46440,Smylie Kaufman,79.82,791,991
2017,146,0,20593,Greg Chalmers,79.8,794,995
2017,147,0,25804,Bubba Watson,79.75,705,884
2017,148,0,46501,Ollie Schniederjans,79.69,969,1216
2017,149,0,25720,Chad Collins,79.65,689,865
2017,150,0,28252,Seamus Power,79.64,888,1115
2017,151,0,35532,Tom Hoge,79.47,511,643
2017,152,0,26851,Marc Leishman,79.44,1001,1260
2017,153,0,33948,Byeong Hun An,79.28,796,1004
2017,154,0,35879,Kelly Kraft,79.27,784,989
2017,154,0,35891,Cameron Smith,79.27,906,1143
2017,156,0,46550,Brandon Hagy,79.11,852,1077
2017,157,0,36699,Patrick Rodgers,79.01,817,1034
2017,158,0,37278,Nicholas Lindheim,78.93,618,783
2017,159,0,34213,Grayson Murray,78.84,991,1257
2017,160,0,23800,Bryce Molder,78.8,814,1033
2017,161,0,34099,Harris English,78.77,835,1060
2017,162,0,26331,Charl Schwartzel,78.71,658,836
2017,163,0,37454,Whee Kim,78.63,791,1006
2017,164,0,29289,S.Y. Noh,78.6,955,1215
2017,165,0,24846,Ricky Barnes,78.52,1009,1285
2017,166,0,34360,Patrick Reed,78.48,1098,1399
2017,167,0,29740,Brad Fritsch,78.4,570,727
2017,168,0,36689,Brooks Koepka,78.3,877,1120
2017,169,0,39954,Cody Gribble,78.13,843,1079
2017,170,0,28089,Jason Day,78.1,724,927
2017,171,0,32333,Kevin Tway,78.07,961,1231
2017,172,0,37455,Si Woo Kim,77.95,820,1052
2017,173,0,48084,Wesley Bryan,77.8,988,1270
2017,174,0,40009,Dominic Bozzelli,77.79,704,905
2017,175,0,30852,Ryo Ishikawa,77.69,606,780
2017,176,0,48822,Sebastián Muñoz,77.66,532,685
2017,177,0,22371,Aaron Baddeley,77.63,621,800
2017,178,0,25191,Gonzalo Fernandez-Castaño,77.52,607,783
2017,179,0,32757,Patton Kizzire,77.31,821,1062
2017,180,0,1810,Phil Mickelson,77.21,864,1119
2017,181,0,31416,Derek Fathauer,77.08,807,1047
2017,182,0,23983,Luke Donald,76.98,515,669
2017,182,0,27770,Camilo Villegas,76.98,776,1008
2017,184,0,6522,Ernie Els,76.45,555,726
2017,185,0,27141,J.B. Holmes,75.45,802,1063
2017,186,0,28307,Matt Every,74.41,727,977
2017,187,0,25632,Jimmy Walker,74.26,678,913
2017,188,0,25345,Carl Pettersson,73.79,608,824
2017,189,0,35300,Andrew Loupe,73.24,531,725
2017,190,0,25274,Steven Bowditch,68.84,528,767
2016,1,0,24461,Thomas Aiken,88.14,810,919
2016,2,0,32200,Roberto Castro,86.86,1177,1355
2016,3,0,26476,Chez Reavie,86.66,1039,1199
2016,4,0,25900,Lucas Glover,86.44,905,1047
2016,5,0,26289,Boo Weekley,86.29,1001,1160
2016,6,0,30711,Colt Knost,86.26,1036,1201
2016,7,0,27214,Kevin Streelman,86.11,986,1145
2016,8,0,8075,Jerry Kelly,86.02,911,1059
2016,9,0,34174,John Huh,85.75,1017,1186
2016,10,0,26758,David Hearn,85.38,1133,1327
2016,11,0,34261,Scott Langley,85.24,751,881
2016,12,0,31202,William McGirt,85.19,1168,1371
2016,13,0,29221,Webb Simpson,85.07,832,978
2016,14,0,24507,Jason Bohn,85.06,797,937
2016,15,0,27466,Spencer Levin,85.04,1188,1397
2016,16,0,35451,Scott Pinckney,85.02,1010,1188
2016,17,0,40058,Zac Blair,85.0,1128,1327
2016,18,0,33122,Russell Knox,84.98,1058,1245
2016,19,0,28237,Rory McIlroy,84.91,737,868
2016,20,0,31557,Jim Herman,84.76,1101,1299
2016,21,0,31560,Brian Stuard,84.72,782,923
2016,22,0,25396,Kevin Na,84.66,1098,1297
2016,23,0,20472,Alex Cejka,84.59,796,941
2016,24,0,33410,Andrew Landry,84.53,579,685
2016,24,0,20645,John Senden,84.53,1016,1202
2016,26,0,34098,Russell Henley,84.45,896,1061
2016,27,0,12510,Chad Campbell,84.34,1061,1258
2016,28,0,29476,Kyle Reifers,84.32,1307,1550
2016,29,0,21209,Sergio Garcia,84.31,602,714
2016,30,0,33141,Keegan Bradley,84.29,966,1146
2016,31,0,2206,David Toms,84.28,729,865
2016,32,0,25364,Paul Casey,84.17,872,1036
2016,33,0,25686,Jason Dufner,84.12,1197,1423
2016,34,0,23108,Matt Kuchar,84.1,1127,1340
2016,35,0,36699,Patrick Rodgers,84.09,999,1188
2016,36,0,29479,Scott Brown,84.03,1031,1227
2016,37,0,30110,Kyle Stanley,83.96,1042,1241
2016,38,0,25804,Bubba Watson,83.9,813,969
2016,39,0,26951,Johnson Wagner,83.89,1010,1204
2016,40,0,29420,Billy Horschel,83.78,821,980
2016,41,0,27436,Graham DeLaet,83.7,770,920
2016,42,0,27644,Brian Harman,83.63,1216,1454
2016,43,0,45526,Abraham Ancer,83.61,561,671
2016,44,0,20691,Greg Owen,83.5,946,1133
2016,45,0,23621,Rory Sabbatini,83.49,627,751
2016,46,0,31646,Emiliano Grillo,83.47,1055,1264
2016,47,0,37454,Whee Kim,83.44,907,1087
2016,47,0,26596,Ryan Moore,83.44,942,1129
2016,49,0,27064,Jhonattan Vegas,83.32,1084,1301
2016,50,0,33204,Shane Lowry,83.31,629,755
2016,51,0,10809,Jim Furyk,83.24,606,728
2016,52,0,25198,Francesco Molinari,83.22,744,894
2016,52,0,25818,Scott Piercy,83.22,982,1180
2016,52,0,21878,Mark Wilson,83.22,719,864
2016,55,0,30944,Jason Kokrak,83.19,1034,1243
2016,56,0,32839,Hideki Matsuyama,83.17,850,1022
2016,57,0,29518,Brendan Steele,83.16,978,1176
2016,58,0,25572,Graeme McDowell,83.14,700,842
2016,58,0,30163,Henrik Norlander,83.14,779,937
2016,60,0,23353,J.J. Henry,83.06,770,927
2016,61,0,34409,David Lingmerth,83.03,944,1137
2016,62,0,31323,Gary Woodland,82.99,1054,1270
2016,63,0,20104,Ken Duke,82.96,623,751
2016,64,0,22892,Jason Gore,82.93,855,1031
2016,65,0,26331,Charl Schwartzel,82.89,809,976
2016,66,0,36689,Brooks Koepka,82.81,814,983
2016,66,0,22405,Justin Rose,82.81,718,867
2016,68,0,24357,K.J. Choi,82.79,842,1017
2016,68,0,32448,James Hahn,82.79,986,1191
2016,70,0,36801,Mark Hubbard,82.78,1120,1353
2016,70,0,34264,Hudson Swafford,82.78,1202,1452
2016,72,0,24924,Bill Haas,82.74,949,1147
2016,73,0,32366,Kevin Chappell,82.73,1073,1297
2016,74,0,29461,Jamie Lovemark,82.68,1050,1270
2016,75,0,24140,Sean O'Hair,82.64,1028,1244
2016,76,0,23541,Ben Crane,82.58,877,1062
2016,77,0,32102,Rickie Fowler,82.53,893,1082
2016,78,0,22046,Geoff Ogilvy,82.5,679,823
2016,79,0,10213,Dicky Pride,82.46,611,741
2016,80,0,27963,Chris Stroud,82.45,921,1117
2016,81,0,26329,Louis Oosthuizen,82.44,643,780
2016,82,0,35879,Kelly Kraft,82.42,680,825
2016,83,0,33399,Adam Hadwin,82.38,1071,1300
2016,84,0,23800,Bryce Molder,82.37,897,1089
2016,85,0,23638,Brendon de Jonge,82.33,932,1132
2016,85,0,25240,D.A. Points,82.33,587,713
2016,87,0,29268,Bronson Burgoon,82.32,908,1103
2016,88,0,20229,Stewart Cink,82.26,700,851
2016,89,0,27649,Brandt Snedeker,82.23,1027,1249
2016,90,0,34262,Jon Curran,82.21,1137,1383
2016,91,0,35545,Blayne Barber,82.17,917,1116
2016,92,0,24912,Will MacKenzie,82.15,916,1115
2016,93,0,28158,Steve Marino,82.12,781,951
2016,94,0,30926,Chris Kirk,82.1,977,1190
2016,95,0,29222,Billy Hurley III,81.98,755,921
2016,96,0,21961,Charles Howell III,81.89,1040,1270
2016,97,0,37189,Harold Varner III,81.88,1053,1286
2016,98,0,29478,Kevin Kisner,81.82,1080,1320
2016,98,0,23320,Ryan Palmer,81.82,981,1199
2016,100,0,26851,Marc Leishman,81.81,985,1204
2016,101,0,27936,Martin Laird,81.74,891,1090
2016,102,0,40026,Daniel Berger,81.72,1015,1242
2016,102,0,33413,Ben Martin,81.72,1006,1231
2016,104,0,29485,Brett Stegmaier,81.69,968,1185
2016,105,0,37273,Derek Ernst,81.68,651,797
2016,105,0,25834,Daniel Summerhays,81.68,1128,1381
2016,107,0,29926,Danny Lee,81.67,1029,1260
2016,108,0,35732,Wes Roach,81.66,628,769
2016,109,0,37455,Si Woo Kim,81.55,1242,1523
2016,109,0,29223,Sam Saunders,81.55,738,905
2016,111,0,20098,Stuart Appleby,81.54,786,964
2016,111,0,24024,Zach Johnson,81.54,985,1208
2016,113,0,27129,Luke List,81.49,876,1075
2016,114,0,34046,Jordan Spieth,81.47,866,1063
2016,115,0,33418,Shawn Stefani,81.38,988,1214
2016,116,0,29974,Branden Grace,81.34,680,836
2016,117,0,32618,Rhein Gibson,81.32,614,755
2016,118,0,32876,Martin Piller,81.3,648,797
2016,119,0,6527,Steve Stricker,81.28,599,737
2016,120,0,25892,Steve Wheatcroft,81.22,917,1129
2016,121,0,28092,D.H. Lee,81.18,647,797
2016,122,0,6567,Vijay Singh,81.16,814,1003
2016,123,0,27974,Sung Kang,81.12,984,1213
2016,123,0,20572,Rod Pampling,81.12,567,699
2016,125,0,32150,Michael Thompson,81.07,771,951
2016,126,0,24781,Hunter Mahan,81.04,688,849
2016,127,0,21731,Freddie Jacobson,81.02,973,1201
2016,128,0,24490,George McNeill,80.99,575,710
2016,129,0,33461,Morgan Hoffmann,80.98,758,936
2016,130,0,30925,Dustin Johnson,80.97,932,1151
2016,131,0,20848,Ángel Cabrera,80.88,702,868
2016,132,0,24502,Adam Scott,80.83,860,1064
2016,133,0,32640,Troy Merritt,80.82,872,1079
2016,134,0,23325,Vaughn Taylor,80.8,812,1005
2016,135,0,24358,Robert Garrigus,80.75,734,909
2016,136,0,39975,Michael Kim,80.7,1083,1342
2016,137,0,23983,Luke Donald,80.6,910,1129
2016,138,0,29745,Tyler Aldridge,80.56,887,1101
2016,139,0,25493,Nick Taylor,80.51,888,1103
2016,140,0,28679,Fabián Gómez,80.45,893,1110
2016,141,0,34466,Peter Malnati,80.44,958,1191
2016,141,0,34431,Robert Streb,80.44,946,1176
2016,143,0,28114,Dawie van der Walt,80.39,787,979
2016,144,0,35891,Cameron Smith,80.23,771,961
2016,145,0,34265,Will Wilcox,80.22,726,905
2016,146,0,33419,Cameron Tringale,80.2,863,1076
2016,147,0,20766,Padraig Harrington,80.13,605,755
2016,148,0,28475,Jeff Overton,80.07,727,908
