YEAR,MOVEMENT,PLAYER_ID,PLAYER,AVG,TOTAL DIST. TO IMPACT,TOTAL ATTEMPTS
2023,0,30692,Scott Stallings,288.8,158559.9,549
2023,0,58967,Trevor Werbylo,288.4,149691.2,519
2023,0,35506,Mackenzie Hughes,287.8,186191.6,647
2023,0,55789,Taylor Montgomery,287.6,164202.1,571
2023,0,33448,Justin Thomas,287.5,150937.1,525
2023,0,31577,Tano Goya,287.4,146007.1,508
2023,0,39975,Michael Kim,287.4,166968.9,581
2023,0,12716,Charley Hoffman,287.2,144160.8,502
2023,0,49947,Taylor Moore,287.2,205069.1,714
2023,0,40006,Erik van Rooyen,287.1,131759.6,459
2023,0,29289,S.Y. Noh,286.9,119071.0,415
2023,0,55708,Hayden Buckley,286.7,158808.8,554
2023,0,39335,Kevin Roy,286.7,124161.5,433
2023,0,56630,Akshay Bhatia,286.6,140157.5,489
2023,0,37338,Zecheng Dou,286.6,194048.4,677
2023,0,35310,Lanto Griffin,286.5,95115.1,332
2023,0,32448,James Hahn,286.1,161385.6,564
2023,0,39997,Corey Conners,286.0,207945.0,727
2023,0,57975,Harry Hall,285.8,165189.9,578
2023,0,33204,Shane Lowry,285.7,124003.3,434
2023,0,33408,Tyson Alexander,285.6,168481.7,590
2023,0,47591,Eric Cole,285.5,262619.2,920
2023,0,39954,Cody Gribble,285.5,117617.6,412
2023,0,31646,Emiliano Grillo,285.4,204323.9,716
2023,0,34099,Harris English,285.3,146365.9,513
2023,0,36871,Matt NeSmith,285.3,208239.8,730
2023,0,54628,Lee Hodges,285.2,229265.1,804
2023,0,28252,Seamus Power,285.2,158010.6,554
2023,0,47128,Richy Werenski,285.2,164821.5,578
2023,0,51634,Sahith Theegala,285.1,206726.5,725
2023,0,50493,Justin Suh,284.7,213785.3,751
2023,0,57362,Austin Eckroat,284.5,179526.2,631
2023,0,29221,Webb Simpson,284.4,120583.5,424
2023,0,34563,Chesson Hadley,284.3,177430.3,624
2023,0,32791,K.H. Lee,284.3,183949.4,647
2023,0,50525,Collin Morikawa,284.3,157526.0,554
2023,0,23320,Ryan Palmer,284.3,178839.5,629
2023,0,39971,Sungjae Im,283.9,236468.1,833
2023,0,46340,Alex Smalley,283.8,204367.4,720
2023,0,33597,Harry Higgs,283.7,156294.3,551
2023,0,32757,Patton Kizzire,283.6,199373.7,703
2023,0,22405,Justin Rose,283.3,113607.6,401
2023,0,49960,Sepp Straka,283.3,195179.9,689
2023,0,47983,Chad Ramey,282.8,233331.6,825
2023,0,49766,Hank Lebioda,282.6,99748.1,353
2023,0,46442,Maverick McNealy,282.6,105131.2,372
2023,0,49771,J.T. Poston,282.6,205162.4,726
2023,0,32839,Hideki Matsuyama,282.4,175644.6,622
2023,0,39324,J.J. Spaun,282.1,209000.4,741
2023,0,51349,Nico Echavarria,282.0,148325.3,526
2023,0,29420,Billy Horschel,282.0,127472.3,452
2023,0,45609,Tyler Duncan,281.9,203279.6,721
2023,0,55182,Tom Kim,281.7,193825.6,688
2023,0,54783,Dylan Wu,281.7,188760.8,670
2023,0,30926,Chris Kirk,281.5,199879.0,710
2023,0,51997,Andrew Novak,281.4,155353.8,552
2023,0,27349,Alex Noren,281.0,166098.3,591
2023,0,33399,Adam Hadwin,280.9,210966.5,751
2023,0,34466,Peter Malnati,280.9,204751.6,729
2023,0,27214,Kevin Streelman,280.9,196904.5,701
2023,0,52375,Doug Ghim,280.8,165664.1,590
2023,0,24140,Sean O'Hair,280.6,77449.3,276
2023,0,51890,Greyson Sigg,280.6,232374.8,828
2023,0,52374,Brandon Wu,280.4,234149.1,835
2023,0,27095,Nick Watney,280.3,114072.3,407
2023,0,25686,Jason Dufner,280.1,166376.4,594
2023,0,59018,Ryan Gerard,279.9,120618.3,431
2023,0,52513,Carson Young,279.6,174188.5,623
2023,0,35532,Tom Hoge,279.5,200950.6,719
2023,0,32640,Troy Merritt,279.5,181947.7,651
2023,0,40162,Justin Lower,279.4,179403.4,642
2023,0,47993,Denny McCarthy,279.2,203248.7,728
2023,0,29908,C.T. Pan,278.7,95880.6,344
2023,0,34431,Robert Streb,278.7,153827.3,552
2023,0,25493,Nick Taylor,278.7,179225.4,643
2023,0,33413,Ben Martin,278.6,189147.9,679
2023,0,40115,Adam Svensson,278.3,252687.1,908
2023,0,30163,Henrik Norlander,278.0,152049.8,547
2023,0,53165,Doc Redman,278.0,175994.0,633
2023,0,47079,Harrison Endycott,277.6,173762.9,626
2023,0,37275,Sam Ryder,277.6,224007.3,807
2023,0,34610,Matthias Schwab,277.4,204154.2,736
2023,0,24925,Jonathan Byrd,277.1,83411.5,301
2023,0,27974,Sung Kang,277.1,68440.4,247
2023,0,49298,Kramer Hickok,277.0,180848.8,653
2023,0,32139,Danny Willett,277.0,128524.3,464
2023,0,36801,Mark Hubbard,276.6,212181.9,767
2023,0,27936,Martin Laird,276.6,156540.0,566
2023,0,27644,Brian Harman,276.5,222819.8,806
2023,0,23108,Matt Kuchar,276.4,205105.9,742
2023,0,46441,Robby Shelton,276.3,187901.3,680
2023,0,25900,Lucas Glover,276.2,187526.2,679
2023,0,22056,Cameron Percy,276.1,117078.0,424
2023,0,28775,Nate Lashley,275.9,206398.4,748
2023,0,34076,Joel Dahmen,275.8,206013.0,747
2023,0,34098,Russell Henley,275.8,183160.1,664
2023,0,37455,Si Woo Kim,275.7,241524.7,876
2023,0,33410,Andrew Landry,274.8,167354.4,609
2023,0,35449,Adam Long,274.2,216102.5,788
2023,0,46414,Aaron Rai,274.1,221159.8,807
2023,0,25818,Scott Piercy,273.9,198569.7,725
2023,0,45522,Christiaan Bezuidenhout,273.6,191539.6,700
2023,0,24024,Zach Johnson,273.5,132637.0,485
2023,0,31557,Jim Herman,273.3,143464.2,525
2023,0,51950,Max McGreevy,272.8,156878.6,575
2023,0,27963,Chris Stroud,272.8,100406.5,368
2023,0,36326,David Lipsky,272.6,192159.3,705
2023,0,29535,Brice Garnett,271.0,157179.0,580
2023,0,26476,Chez Reavie,270.8,210423.5,777
2023,0,32816,Satoshi Kodaira,269.5,116706.0,433
2023,0,35901,Paul Haley II,267.6,177699.9,664
2023,0,33122,Russell Knox,267.5,199322.9,745
2023,0,22371,Aaron Baddeley,267.1,114058.4,427
2023,0,34256,Andrew Putnam,265.9,208972.5,786
2023,0,46435,Austin Cook,265.5,146305.6,551
2023,0,30927,Brendon Todd,265.0,205124.9,774
2023,0,35879,Kelly Kraft,264.3,181810.8,688
