RANK,MOVEMENT,PLAYER_ID,PLAYER,STREAK,CURRENT STREAK,ROUND,HOLE,YEAR/TOURN#
96,0,35506,Mackenzie Hughes,6,0,2,17,2019230
96,0,36799,Stephan Jaeger,6,1,4,5,2019120
96,0,26300,Matt Jones,6,2,1,17,2019230
96,0,39975,Michael Kim,6,1,1,4,2019140
96,0,33122,Russell Knox,6,0,3,14,2019340
96,0,28775,Nate Lashley,6,1,2,4,2019330
96,0,49766,Hank Lebioda,6,2,3,7,2019390
96,0,35449,Adam Long,6,0,4,15,2019300
96,0,33204,Shane Lowry,6,2,3,8,2019460
96,0,34466,Peter Malnati,6,0,3,7,2019390
96,0,28158,Steve Marino,6,0,1,4,2019120
96,0,28237,Rory McIlroy,6,1,1,14,2019300
96,0,50525,Collin Morikawa,6,0,4,8,2019460
96,0,46601,Trey Mullinax,6,1,1,14,2019200
96,0,45486,Joaquin Niemann,6,3,2,1,2019260
96,0,25240,D.A. Points,6,0,3,6,2019130
96,0,49771,J.T. Poston,6,0,2,13,2019130
96,0,24138,Ian Poulter,6,0,2,4,2019330
96,0,26476,Chez Reavie,6,1,4,7,2019030
96,0,36699,Patrick Rodgers,6,1,2,11,2019060
96,0,39324,J.J. Spaun,6,1,2,5,2019130
96,0,40115,Adam Svensson,6,0,1,2,2019140
96,0,23325,Vaughn Taylor,6,4,2,15,2019450
96,0,33448,Justin Thomas,6,0,1,11,2019470
96,0,10387,Chris Thompson,6,0,2,8,2019310
96,0,28132,Tyrone Van Aswegen,6,1,1,5,2019180
96,0,40006,Erik van Rooyen,6,1,4,10,2019320
96,0,37189,Harold Varner III,6,0,3,6,2019350
96,0,48887,Matt Wallace,6,3,4,8,2019050
96,0,27095,Nick Watney,6,0,2,5,2019310
96,0,25804,Bubba Watson,6,1,1,6,2019350
96,0,31323,Gary Woodland,6,1,2,7,2019430
96,0,08793,Tiger Woods,6,1,1,7,2019340
147,0,49303,Anders Albertson,5,1,1,3,2019400
147,0,28259,Sangmoon Bae,5,2,2,10,2019140
147,0,33803,Lucas Bjerregaard,5,1,3,16,2019270
147,0,26418,Adam Bland,5,1,1,12,2019050
147,0,33141,Keegan Bradley,5,0,1,16,2019020
147,0,29268,Bronson Burgoon,5,0,1,5,2019320
147,0,47504,Sam Burns,5,0,1,1,2019330
147,0,24925,Jonathan Byrd,5,0,2,1,2019260
147,0,26499,Rafa Cabrera Bello,5,3,1,9,2019160
147,0,20472,Alex Cejka,5,1,1,6,2019080
147,0,52372,Cameron Champ,5,1,1,11,2019460
147,0,25720,Chad Collins,5,0,2,10,2019010
147,0,01226,Fred Couples,5,4,2,5,2019010
147,0,23541,Ben Crane,5,3,2,2,2019240
147,0,34262,Jon Curran,5,0,1,15,2019010
147,0,21753,Brian Davis,5,5,1,7,2019400
147,0,47959,Bryson DeChambeau,5,0,3,13,2019430
147,0,20104,Ken Duke,5,1,2,5,2019180
147,0,31416,Derek Fathauer,5,0,3,12,2019130
147,0,29725,Tony Finau,5,1,2,14,2019070
147,0,46523,Joey Garber,5,0,1,5,2019240
147,0,28679,Fabián Gómez,5,0,2,16,2019260
147,0,29720,Andres Gonzales,5,5,1,17,2019010
147,0,39954,Cody Gribble,5,1,1,15,2019060
147,0,31646,Emiliano Grillo,5,0,2,18,2019150
147,0,24924,Bill Haas,5,0,2,18,2019310
147,0,32448,James Hahn,5,0,2,9,2019120
147,0,34363,Tyrrell Hatton,5,1,3,3,2019150
147,0,26758,David Hearn,5,1,1,7,2019350
147,0,23353,J.J. Henry,5,0,3,2,2019180
147,0,35532,Tom Hoge,5,1,1,15,2019060
147,0,29420,Billy Horschel,5,0,2,10,2019460
147,0,46717,Viktor Hovland,5,0,3,14,2019210
147,0,34174,John Huh,5,1,2,18,2019150
147,0,29222,Billy Hurley III,5,1,2,16,2019230
147,0,39971,Sungjae Im,5,4,4,12,2019390
147,0,24024,Zach Johnson,5,0,4,6,2019350
147,0,46440,Smylie Kaufman,5,2,4,7,2019380
147,0,32757,Patton Kizzire,5,0,1,3,2019150
147,0,36689,Brooks Koepka,5,0,1,7,2019480
147,0,35879,Kelly Kraft,5,2,2,7,2019010
147,0,31420,Anirban Lahiri,5,0,4,6,2019230
147,0,32791,K.H. Lee,5,0,2,14,2019330
147,0,47993,Denny McCarthy,5,2,1,8,2019060
147,0,24449,Parker McLachlin,5,1,3,17,2019160
147,0,39546,Keith Mitchell,5,0,2,14,2019120
147,0,26596,Ryan Moore,5,3,2,5,2019220
147,0,34709,Eddie Pepperell,5,0,2,14,2019220
147,0,25818,Scott Piercy,5,1,1,8,2019350
147,0,27556,Ted Potter Jr.,5,0,3,4,2019030
147,0,28252,Seamus Power,5,0,1,4,2019350
147,0,46970,Jon Rahm,5,0,1,5,2019230
147,0,47856,Seth Reeves,5,2,1,17,2019160
147,0,22913,John Rollins,5,0,1,4,2019160
147,0,29223,Sam Saunders,5,1,3,17,2019200
147,0,47347,Adam Schenk,5,2,1,15,2019450
147,0,26331,Charl Schwartzel,5,5,2,7,2019270
147,0,30110,Kyle Stanley,5,3,4,5,2019050
147,0,27963,Chris Stroud,5,4,4,4,2019140
147,0,25493,Nick Taylor,5,1,2,10,2019370
147,0,30927,Brendon Todd,5,0,1,3,2019300
147,0,23788,D.J. Trahan,5,1,2,6,2019130
147,0,49964,Aaron Wise,5,0,2,18,2019460
210,0,34387,Daniel Balin,4,4,1,4,2019320
210,0,35545,Blayne Barber,4,1,1,3,2019200
210,0,24846,Ricky Barnes,4,4,3,4,2019410
210,0,22764,Michael Block,4,0,1,10,2019170
210,0,24507,Jason Bohn,4,1,2,16,2019040
210,0,12510,Chad Campbell,4,0,1,3,2019400
210,0,34306,John Chin,4,4,4,14,2019410
210,0,24357,K.J. Choi,4,3,1,11,2019280
210,0,20850,Daniel Chopra,4,3,1,4,2019180
210,0,46435,Austin Cook,4,0,4,2,2019330
210,0,45157,Cam Davis,4,1,2,15,2019200
210,0,24610,Stuart Deane,4,3,1,4,2019310
210,0,35110,Brett Drewitt,4,0,4,16,2019010
210,0,45609,Tyler Duncan,4,2,3,13,2019200
210,0,28500,Martin Flores,4,1,1,6,2019180
210,0,10809,Jim Furyk,4,3,1,17,2019460
210,0,28483,Tyler Hall,4,4,1,11,2019320
