RANK,MOVEMENT,PLAYER_ID,PLAYER,NUMBER OF HOLES
165,0,06044,Scott Gump,1
165,0,01458,Jerry Haas,1
165,0,01468,Gary Hallberg,1
165,0,01469,Dan Halldorson,1
165,0,01475,Donnie Hammond,1
165,0,01499,Mark Hayes,1
165,0,01510,Nolan Henke,1
165,0,01527,Scott Hoch,1
165,0,01533,P.H. Horgan III,1
165,0,01553,John Huston,1
165,0,01557,John Inman,1
165,0,06483,Ricky Kawagishi,1
165,0,01639,Kenny Knox,1
165,0,06012,Greg Kraft,1
165,0,01648,Billy Kratzert,1
165,0,01678,Bob Lendzion,1
165,0,01715,Mark Lye,1
165,0,01717,Sandy Lyle,1
165,0,01725,John Mahaffey,1
165,0,01779,Gary McCord,1
165,0,01790,Pat McGowan,1
165,0,07459,Paul McIntire,1
165,0,01810,Phil Mickelson,1
165,0,01815,Johnny Miller,1
165,0,01846,Jodie Mudd,1
165,0,01861,Jim Nelford,1
165,0,01864,Larry Nelson,1
165,0,01876,Greg Norman,1
165,0,01877,Tim Norris,1
165,0,01884,Mac O'Grady,1
165,0,06373,José María Olazábal,1
165,0,06030,Rich Parker,1
165,0,01920,Craig Parry,1
165,0,10013,Zeb Patten,1
165,0,01945,Kenny Perry,1
165,0,06383,E.J. Pfister,1
165,0,01968,Nick Price,1
165,0,01971,Dillard Pruitt,1
165,0,01978,Fran Quinn,1
165,0,02002,John Riegger,1
165,0,08973,Wayne Riley,1
165,0,02023,Clarence Rose,1
165,0,10647,Harry Rudolph,1
165,0,10215,Charlie Rymer,1
165,0,02040,Mike San Filippo,1
165,0,02090,Tom Sieckmann,1
165,0,02094,Tony Sills,1
165,0,06567,Vijay Singh,1
165,0,02111,Mike Smith,1
165,0,07501,Todd Smith,1
165,0,02148,Ray Stewart,1
165,0,02159,Curtis Strange,1
165,0,02160,Ron Streck,1
165,0,06527,Steve Stricker,1
165,0,02170,Hal Sutton,1
165,0,02186,Brian Tennyson,1
165,0,06048,Dicky Thompson,1
165,0,02201,Jim Thorpe,1
165,0,06078,Esteban Toledo,1
165,0,02217,Dennis Trixler,1
165,0,06969,Mike Tschetter,1
165,0,02226,Tray Tyner,1
165,0,02230,Stan Utley,1
165,0,02241,Bobby Wadkins,1
165,0,02255,Denis Watson,1
165,0,02256,Tom Watson,1
165,0,02279,Mark Wiebe,1
165,0,06577,John Wilson,1
165,0,02294,Willie Wood,1
165,0,02300,Ian Woosnam,1
165,0,02303,Robert Wrenn,1
