RANK,MOVEMENT,PLAYER_ID,PLAYER,%,TOTAL BIRDIES,TOTAL HOLES
99,0,27644,Brian Harman,21.66,259,1196
100,0,35732,Wes Roach,21.63,122,564
101,0,34262,Jon Curran,21.62,251,1161
101,0,31416,Derek Fathauer,21.62,190,879
103,0,06527,Steve Stricker,21.59,130,602
104,0,28092,D.H. Lee,21.51,128,595
105,0,24507,Jason Bohn,21.45,175,816
106,0,33122,Russell Knox,21.44,197,919
107,0,34099,Harris English,21.40,192,897
108,0,27974,Sung Kang,21.35,196,918
108,0,39975,Michael Kim,21.35,237,1110
110,0,33667,Carlos Ortiz,21.34,156,731
111,0,45526,Abraham Ancer,21.29,109,512
112,0,35451,Scott Pinckney,21.27,198,931
113,0,26329,Louis Oosthuizen,21.21,116,547
114,0,29725,Tony Finau,21.20,188,887
115,0,29479,Scott Brown,21.16,197,931
115,0,25572,Graeme McDowell,21.16,131,619
115,0,10213,Dicky Pride,21.16,117,553
115,0,26476,Chez Reavie,21.16,223,1054
119,0,20645,John Senden,21.13,213,1008
120,0,20229,Stewart Cink,21.06,131,622
120,0,23638,Brendon de Jonge,21.06,175,831
122,0,28475,Jeff Overton,21.05,149,708
123,0,20098,Stuart Appleby,21.03,183,870
124,0,34265,Will Wilcox,21.02,152,723
125,0,26851,Marc Leishman,21.01,174,828
126,0,12510,Chad Campbell,20.95,229,1093
127,0,36801,Mark Hubbard,20.89,229,1096
128,0,25274,Steven Bowditch,20.85,123,590
129,0,28132,Tyrone Van Aswegen,20.84,229,1099
130,0,32448,James Hahn,20.82,188,903
130,0,34431,Robert Streb,20.82,173,831
132,0,29518,Brendan Steele,20.81,191,918
133,0,29476,Kyle Reifers,20.80,277,1332
133,0,29485,Brett Stegmaier,20.80,204,981
135,0,20766,Padraig Harrington,20.78,117,563
136,0,24912,Will MacKenzie,20.77,178,857
137,0,25892,Steve Wheatcroft,20.72,185,893
138,0,27770,Camilo Villegas,20.70,177,855
139,0,23983,Luke Donald,20.69,155,749
140,0,25240,D.A. Points,20.68,104,503
141,0,29289,S.Y. Noh,20.62,167,810
142,0,22892,Jason Gore,20.52,165,804
143,0,24461,Thomas Aiken,20.50,140,683
143,0,23325,Vaughn Taylor,20.50,179,873
145,0,10809,Jim Furyk,20.47,130,635
145,0,27129,Luke List,20.47,149,728
147,0,27747,Hiroshi Iwata,20.41,168,823
147,0,27942,Rob Oppenheim,20.41,128,627
149,0,34174,John Huh,20.40,223,1093
150,0,31560,Brian Stuard,20.31,173,852
151,0,37273,Derek Ernst,20.29,112,552
152,0,26300,Matt Jones,20.28,159,784
153,0,30692,Scott Stallings,20.18,156,773
154,0,40058,Zac Blair,20.09,224,1115
155,0,34466,Peter Malnati,20.00,191,955
155,0,20691,Greg Owen,20.00,171,855
157,0,32876,Martin Piller,19.97,119,596
158,0,24924,Bill Haas,19.95,167,837
159,0,33410,Andrew Landry,19.91,90,452
160,0,35891,Cameron Smith,19.90,115,578
161,0,23541,Ben Crane,19.68,173,879
162,0,20104,Ken Duke,19.63,126,642
163,0,25720,Chad Collins,19.61,159,811
164,0,24781,Hunter Mahan,19.59,123,628
165,0,02206,David Toms,19.57,146,746
166,0,29268,Bronson Burgoon,19.53,158,809
166,0,25198,Francesco Molinari,19.53,151,773
168,0,29745,Tyler Aldridge,19.52,163,835
169,0,24490,George McNeill,19.51,119,610
170,0,22046,Geoff Ogilvy,19.47,125,642
171,0,08075,Jerry Kelly,19.44,167,859
172,0,20848,Ángel Cabrera,19.25,118,613
173,0,37454,Whee Kim,19.14,161,841
174,0,33418,Shawn Stefani,19.09,184,964
175,0,34261,Scott Langley,18.97,132,696
176,0,29974,Branden Grace,18.91,97,513
177,0,20572,Rod Pampling,18.76,94,501
178,0,30711,Colt Knost,18.49,191,1033
179,0,31557,Jim Herman,18.43,176,955
180,0,23353,J.J. Henry,18.17,147,809
181,0,24494,Erik Compton,18.10,116,641
182,0,10885,Robert Allenby,16.70,86,515
183,0,30927,Brendon Todd,16.47,112,680
