object_name,field_name,field_type,field_description
Course,enabled,SCALAR,Built-in Boolean
LeaderboardMessage,messageText,NON_NULL,
LeaderboardMessage,messageIcon,NON_NULL,
LeaderboardMessage,messageLink,SCALAR,Built-in String
LeaderboardMessage,externalLink,SCALAR,Built-in Boolean
LeaderboardMessage,platforms,NON_NULL,
LeaderboardMessage,timing,SCALAR,Built-in Int
LBRound,roundNumber,NON_NULL,
LBRound,displayText,NON_NULL,
FeatureItem,name,NON_NULL,
FeatureItem,new,NON_NULL,
FeatureItem,tooltipText,SCALAR,Built-in String
FeatureItem,tooltipTitle,SCALAR,Built-in String
FeatureItem,fieldStatType,ENUM,
FeatureItem,leaderboardFeatures,ENUM,
FeatureItem,sponsor,OBJECT,
FeatureSponsor,sponsorLogoAsset,NON_NULL,
FeatureSponsor,sponsorLogoDarkAsset,NON_NULL,
FeatureSponsor,sponsorText,NON_NULL,
LeaderboardV3,id,NON_NULL,
LeaderboardV3,tournamentId,NON_NULL,
LeaderboardV3,players,NON_NULL,
LeaderboardV3,leaderboardRoundHeader,NON_NULL,
LeaderboardV3,formatType,NON_NULL,
LeaderboardV3,timezone,NON_NULL,
LeaderboardV3,winners,LIST,
LeaderboardV3,courses,NON_NULL,
LeaderboardV3,messages,NON_NULL,
LeaderboardV3,tourcastURI,SCALAR,Built-in String
LeaderboardV3,tournamentStatus,NON_NULL,
LeaderboardV3,rounds,NON_NULL,
LeaderboardV3,isPlayoffActive,NON_NULL,
LeaderboardV3,scorecardEnabled,NON_NULL,
LeaderboardV3,profileEnabled,NON_NULL,
LeaderboardV3,subEvent,NON_NULL,
LeaderboardV3,leaderboardFeatures,LIST,
LeaderboardV3,standingsEnabled,NON_NULL,
LeaderboardV3,standingsHeader,NON_NULL,
LeaderboardV3,hideSov,NON_NULL,
LeaderboardV3,disableOdds,NON_NULL,
PlayerRowV3,id,NON_NULL,
PlayerRowV3,leaderboardSortOrder,NON_NULL,
PlayerRowV3,player,NON_NULL,
PlayerRowV3,scoringData,NON_NULL,
LeaderboardScoringDataV3,groupNumber,NON_NULL,
LeaderboardScoringDataV3,currentRound,NON_NULL,
LeaderboardScoringDataV3,backNine,NON_NULL,
LeaderboardScoringDataV3,playerState,NON_NULL,
