YEAR,RANK,MOVEMENT,PLAYER_ID,PLAYER,TOTAL MONEY,OFFICIAL MONEY,WGC MONEY ONLY
2014,111,0,26360,Bubba Dickerson,$12224,1222400,
2014,112,0,24461,Thomas Aiken,$11286,1128600,
2014,113,0,37459,Ryan Sullivan,$11223,1122333,
2014,114,0,26595,Derek Tolan,$11144,1114400,
2014,115,0,22764,Michael Block,$10736,1073600,
2014,116,0,27118,Toshinori Muto,$10696,1069600,
2014,117,0,32582,Eric Dugas,$10304,1030400,
2014,118,0,36801,Mark Hubbard,$10100,1010000,
2014,119,0,46584,Kevin Lucas,$7810,781000,
2022,1,0,30925,Dustin Johnson,$2302749,1617749,685000.0
2022,2,0,34360,Patrick Reed,$1560485,1463374,97111.0
2022,3,0,25396,Kevin Na,$1155513,935513,220000.0
2022,4,0,21209,Sergio Garcia,$896343,799231,97111.0
2022,5,0,29974,Branden Grace,$791112,791112,0.0
2022,6,0,26331,Charl Schwartzel,$772030,772030,0.0
2022,7,0,25804,Bubba Watson,$610649,513538,97111.0
2022,8,0,37378,Min Woo Lee,$569732,472621,97111.0
2022,9,0,25572,Graeme McDowell,$527904,527904,0.0
2022,10,0,52215,Robert MacIntyre,$519870,461631,58239.0
2022,11,0,59095,Chris Gotterup,$502471,502471,0.0
2022,12,0,26329,Louis Oosthuizen,$502136,443897,58239.0
2022,13,0,47917,Takumi Kanaya,$479322,259322,220000.0
2022,14,0,52686,Rasmus Hojgaard,$413120,413120,0.0
2022,15,0,33653,Thomas Detry,$409974,409974,0.0
2022,16,0,33293,Thomas Pieters,$406280,309169,97111.0
2022,17,0,20396,Lee Westwood,$404798,346559,58239.0
2022,18,0,33974,Dean Burmester,$388800,388800,0.0
2022,19,0,54655,Patrick Flavin,$361749,361749,0.0
2022,20,0,54591,Ben Griffin,$357700,357700,0.0
2022,21,0,45836,Richard Bland,$334444,114444,220000.0
2022,22,0,55509,Hurly Long,$306175,306175,0.0
2022,23,0,34587,Chan Kim,$273271,273271,0.0
2022,24,0,39834,Guido Migliozzi,$272827,272827,0.0
2022,25,0,25369,Jamie Donaldson,$243700,243700,0.0
2022,26,0,31569,Jason Scrivener,$238842,238842,0.0
2022,27,0,48018,Sadom Kaewkanjana,$231000,231000,0.0
2022,28,0,56676,John Augenstein,$220850,220850,0.0
2022,29,0,57975,Harry Hall,$204750,204750,0.0
2022,30,0,55789,Taylor Montgomery,$180180,180180,0.0
2022,31,0,48372,Marcus Helligkilde,$173283,173283,0.0
2022,32,0,35296,Haotong Li,$172155,172155,0.0
2022,33,0,46798,Anthony Quayle,$165583,165583,0.0
2022,34,0,39537,Chris Naegel,$153450,153450,0.0
2022,35,0,45242,Kevin Yu,$144300,144300,0.0
2022,36,0,52096,Adri Arnaus,$143413,143413,0.0
2022,37,0,48051,Yannik Paul,$126528,126528,0.0
2022,38,0,29454,Bernd Wiesberger,$125350,125350,0.0
2022,39,0,45523,Thriston Lawrence,$124400,124400,0.0
2022,40,0,32627,Espen Kofstad,$122629,122629,0.0
2022,41,0,32775,Shugo Imahira,$118718,118718,0.0
2022,41,0,27747,Hiroshi Iwata,$118718,118718,0.0
2022,43,0,48867,Matti Schmid,$118400,118400,0.0
2022,44,0,39067,MJ Daffue,$116531,116531,0.0
2022,45,0,46732,Rick Lamb,$116358,116358,0.0
2022,46,0,46464,Jordan L Smith,$114000,114000,0.0
2022,47,0,56320,Bryson Nimmer,$112131,112131,0.0
2022,48,0,26499,Rafa Cabrera Bello,$107888,107888,0.0
2022,49,0,47154,Martin Contini,$106533,106533,0.0
2022,50,0,46594,Ricardo Gouveia,$100825,100825,0.0
2022,51,0,35986,Todd Sinnott,$100331,100331,0.0
2022,52,0,57362,Austin Eckroat,$92818,92818,0.0
2022,53,0,39524,Sean Crocker,$89898,89898,0.0
2022,54,0,54781,Grant Hirschman,$86683,86683,0.0
2022,55,0,47679,Victor Perez,$77564,77564,0.0
2022,56,0,39328,Conrad Shindler,$76231,76231,0.0
2022,57,0,33948,Byeong Hun An,$74259,74259,0.0
2022,58,0,29256,James Morrison,$73598,73598,0.0
2022,59,0,52666,Sami Valimaki,$73400,73400,0.0
2022,60,0,58168,Davis Thompson,$73077,73077,0.0
2022,61,0,58849,Turk Pettit,$72368,72368,0.0
